scenario	scenario_description	projection_class	component_index	energy_tev	luminosity_fb_inverse	signal_mode	hh_production_xsec_fb	br_h_to_bb	br_h_to_bb_squared	hh_to_4b_xsec_fb	development_generated_events	component_event_weight	produced_hh_to_4b_before_acceptance	acceptance_source	physical_interpretation
run2_138fb	CMS Run 2, 138 fb^-1 at 13 TeV	direct_run2_normalization	0	13	138.0	ggf_hh4b	30.77	0.5824	0.33918976	10.4368689152	97000	0.014848328972140204	1440.2879102975999	13TeV_Run2_frozen_v2_train_validation	direct
run2_138fb	CMS Run 2, 138 fb^-1 at 13 TeV	direct_run2_normalization	0	13	138.0	vbf_hh4b	1.687	0.5824	0.33918976	0.57221312512	100000	0.0007896541126655999	78.96541126656	13TeV_Run2_frozen_v2_train_validation	direct
run2_plus_run3_hh_published_200fb	CMS HH-paper scenario: 138 fb^-1 at 13 TeV plus 62 fb^-1 at 13.6 TeV	energy_separated_cross_section_projection_using_run2_acceptance	0	13	138.0	ggf_hh4b	30.77	0.5824	0.33918976	10.4368689152	97000	0.014848328972140204	1440.2879102975999	13TeV_Run2_frozen_v2_train_validation	direct
run2_plus_run3_hh_published_200fb	CMS HH-paper scenario: 138 fb^-1 at 13 TeV plus 62 fb^-1 at 13.6 TeV	energy_separated_cross_section_projection_using_run2_acceptance	1	13.6	62.0	ggf_hh4b	34.13	0.5824	0.33918976	11.576546508800002	97000	0.0073994420984082486	717.7458835456001	13TeV_Run2_frozen_v2_train_validation	cross_section_luminosity_projection_only
run2_plus_run3_hh_published_200fb	CMS HH-paper scenario: 138 fb^-1 at 13 TeV plus 62 fb^-1 at 13.6 TeV	energy_separated_cross_section_projection_using_run2_acceptance	0	13	138.0	vbf_hh4b	1.687	0.5824	0.33918976	0.57221312512	100000	0.0007896541126655999	78.96541126656	13TeV_Run2_frozen_v2_train_validation	direct
run2_plus_run3_hh_published_200fb	CMS HH-paper scenario: 138 fb^-1 at 13 TeV plus 62 fb^-1 at 13.6 TeV	energy_separated_cross_section_projection_using_run2_acceptance	1	13.6	62.0	vbf_hh4b	1.874	0.5824	0.33918976	0.6356416102400001	100000	0.00039409779834880004	39.409779834880005	13TeV_Run2_frozen_v2_train_validation	cross_section_luminosity_projection_only
run2_plus_run3_2022_2024_309fb	Run 2 plus certified CMS 2022-2024 Run 3 data: 138 + 171 fb^-1	energy_separated_cross_section_projection_using_run2_acceptance	0	13	138.0	ggf_hh4b	30.77	0.5824	0.33918976	10.4368689152	97000	0.014848328972140204	1440.2879102975999	13TeV_Run2_frozen_v2_train_validation	direct
run2_plus_run3_2022_2024_309fb	Run 2 plus certified CMS 2022-2024 Run 3 data: 138 + 171 fb^-1	energy_separated_cross_section_projection_using_run2_acceptance	1	13.6	171.0	ggf_hh4b	34.13	0.5824	0.33918976	11.576546508800002	97000	0.020408138690771137	1979.5894530048004	13TeV_Run2_frozen_v2_train_validation	cross_section_luminosity_projection_only
run2_plus_run3_2022_2024_309fb	Run 2 plus certified CMS 2022-2024 Run 3 data: 138 + 171 fb^-1	energy_separated_cross_section_projection_using_run2_acceptance	0	13	138.0	vbf_hh4b	1.687	0.5824	0.33918976	0.57221312512	100000	0.0007896541126655999	78.96541126656	13TeV_Run2_frozen_v2_train_validation	direct
run2_plus_run3_2022_2024_309fb	Run 2 plus certified CMS 2022-2024 Run 3 data: 138 + 171 fb^-1	energy_separated_cross_section_projection_using_run2_acceptance	1	13.6	171.0	vbf_hh4b	1.874	0.5824	0.33918976	0.6356416102400001	100000	0.0010869471535104001	108.69471535104002	13TeV_Run2_frozen_v2_train_validation	cross_section_luminosity_projection_only
hl_lhc_3000fb	HL-LHC, 3000 fb^-1 at 14 TeV	cross_section_luminosity_only_projection_using_run2_delphes_acceptance_not_phase2	0	14	3000.0	ggf_hh4b	36.37	0.5824	0.33918976	12.336331571199999	97000	0.3815360279752577	37008.9947136	13TeV_Run2_frozen_v2_train_validation	cross_section_luminosity_projection_only
hl_lhc_3000fb	HL-LHC, 3000 fb^-1 at 14 TeV	cross_section_luminosity_only_projection_using_run2_delphes_acceptance_not_phase2	0	14	3000.0	vbf_hh4b	2.005	0.5824	0.33918976	0.6800754688	100000	0.020402264064	2040.2264064	13TeV_Run2_frozen_v2_train_validation	cross_section_luminosity_projection_only
