sample_class	process_or_mode	dataset_split	aggregation_level	stage_index	stage	members	generated_events	candidate_denominator	selected_events	efficiency_vs_generated	efficiency_vs_candidate	weighting_status	physical_yield_authorized	significance_authorized
signal	ggf_hh4b	train	signal_mode	0	candidate_denominator	80	80000	4893	4893	0.0611625	1.0	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	1	four_candidate_jets_pt40	80	80000	4893	2480	0.031	0.5068465154302064	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	2	four_candidate_jets_abs_eta24	80	80000	4893	2414	0.030175	0.4933578581647251	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	3	analysis_region_rhh55	80	80000	4893	1994	0.024925	0.40752094829348046	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	4	signal_region_rhh30	80	80000	4893	1454	0.018175	0.2971592070304517	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	5	control_region_rhh30_55	80	80000	4893	540	0.00675	0.11036174126302882	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	6	signal_region_low_mhh	80	80000	4893	1205	0.0150625	0.2462701818924995	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	7	signal_region_high_mhh	80	80000	4893	249	0.0031125	0.050889025137952175	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	8	control_region_low_mhh	80	80000	4893	413	0.0051625	0.0844062947067239	unweighted_descriptive_only	False	False
signal	ggf_hh4b	train	signal_mode	9	control_region_high_mhh	80	80000	4893	127	0.0015875	0.025955446556304926	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	0	candidate_denominator	17	17000	1045	1045	0.06147058823529412	1.0	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	1	four_candidate_jets_pt40	17	17000	1045	535	0.03147058823529412	0.5119617224880383	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	2	four_candidate_jets_abs_eta24	17	17000	1045	518	0.030470588235294117	0.49569377990430624	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	3	analysis_region_rhh55	17	17000	1045	423	0.02488235294117647	0.4047846889952153	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	4	signal_region_rhh30	17	17000	1045	313	0.018411764705882353	0.29952153110047847	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	5	control_region_rhh30_55	17	17000	1045	110	0.006470588235294118	0.10526315789473684	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	6	signal_region_low_mhh	17	17000	1045	251	0.014764705882352942	0.24019138755980862	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	7	signal_region_high_mhh	17	17000	1045	62	0.0036470588235294117	0.05933014354066986	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	8	control_region_low_mhh	17	17000	1045	90	0.005294117647058823	0.0861244019138756	unweighted_descriptive_only	False	False
signal	ggf_hh4b	validation	signal_mode	9	control_region_high_mhh	17	17000	1045	20	0.001176470588235294	0.019138755980861243	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	0	candidate_denominator	8	80000	5082	5082	0.063525	1.0	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	1	four_candidate_jets_pt40	8	80000	5082	2811	0.0351375	0.5531286894923259	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	2	four_candidate_jets_abs_eta24	8	80000	5082	2680	0.0335	0.5273514364423455	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	3	analysis_region_rhh55	8	80000	5082	2130	0.026625	0.41912632821723733	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	4	signal_region_rhh30	8	80000	5082	1488	0.0186	0.29279811097992914	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	5	control_region_rhh30_55	8	80000	5082	642	0.008025	0.12632821723730814	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	6	signal_region_low_mhh	8	80000	5082	768	0.0096	0.1511216056670602	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	7	signal_region_high_mhh	8	80000	5082	720	0.009	0.14167650531286896	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	8	control_region_low_mhh	8	80000	5082	334	0.004175	0.06572215663124754	unweighted_descriptive_only	False	False
signal	vbf_hh4b	train	signal_mode	9	control_region_high_mhh	8	80000	5082	308	0.00385	0.06060606060606061	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	0	candidate_denominator	2	20000	1201	1201	0.06005	1.0	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	1	four_candidate_jets_pt40	2	20000	1201	680	0.034	0.5661948376353039	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	2	four_candidate_jets_abs_eta24	2	20000	1201	656	0.0328	0.5462114904246461	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	3	analysis_region_rhh55	2	20000	1201	530	0.0265	0.4412989175686928	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	4	signal_region_rhh30	2	20000	1201	367	0.01835	0.305578684429642	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	5	control_region_rhh30_55	2	20000	1201	163	0.00815	0.1357202331390508	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	6	signal_region_low_mhh	2	20000	1201	186	0.0093	0.15487094088259784	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	7	signal_region_high_mhh	2	20000	1201	181	0.00905	0.15070774354704414	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	8	control_region_low_mhh	2	20000	1201	77	0.00385	0.06411323896752706	unweighted_descriptive_only	False	False
signal	vbf_hh4b	validation	signal_mode	9	control_region_high_mhh	2	20000	1201	86	0.0043	0.07160699417152373	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	0	candidate_denominator	4	40000	1371	1371	0.034275	1.0	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	1	four_candidate_jets_pt40	4	40000	1371	554	0.01385	0.40408460977388766	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	2	four_candidate_jets_abs_eta24	4	40000	1371	532	0.0133	0.38803792851932895	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	3	analysis_region_rhh55	4	40000	1371	319	0.007975	0.2326768781911014	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	4	signal_region_rhh30	4	40000	1371	186	0.00465	0.13566739606126915	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	5	control_region_rhh30_55	4	40000	1371	133	0.003325	0.09700948212983224	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	6	signal_region_low_mhh	4	40000	1371	175	0.004375	0.1276440554339898	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	7	signal_region_high_mhh	4	40000	1371	11	0.000275	0.008023340627279359	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	8	control_region_low_mhh	4	40000	1371	102	0.00255	0.07439824945295405	unweighted_descriptive_only	False	False
background	bbh_hbb_4fs	train	background_family	9	control_region_high_mhh	4	40000	1371	31	0.000775	0.02261123267687819	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	0	candidate_denominator	8	80000	38	38	0.000475	1.0	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	1	four_candidate_jets_pt40	8	80000	38	19	0.0002375	0.5	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	2	four_candidate_jets_abs_eta24	8	80000	38	16	0.0002	0.42105263157894735	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	3	analysis_region_rhh55	8	80000	38	9	0.0001125	0.23684210526315788	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	4	signal_region_rhh30	8	80000	38	3	3.75e-05	0.07894736842105263	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	5	control_region_rhh30_55	8	80000	38	6	7.5e-05	0.15789473684210525	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	6	signal_region_low_mhh	8	80000	38	0	0.0	0.0	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	7	signal_region_high_mhh	8	80000	38	3	3.75e-05	0.07894736842105263	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	8	control_region_low_mhh	8	80000	38	3	3.75e-05	0.07894736842105263	unweighted_descriptive_only	False	False
background	ggh_hbb	train	background_family	9	control_region_high_mhh	8	80000	38	3	3.75e-05	0.07894736842105263	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	0	candidate_denominator	12	120000	4312	4312	0.03593333333333333	1.0	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	1	four_candidate_jets_pt40	12	120000	4312	1591	0.013258333333333334	0.3689703153988868	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	2	four_candidate_jets_abs_eta24	12	120000	4312	1507	0.012558333333333333	0.3494897959183674	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	3	analysis_region_rhh55	12	120000	4312	663	0.005525	0.1537569573283859	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	4	signal_region_rhh30	12	120000	4312	320	0.0026666666666666666	0.07421150278293136	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	5	control_region_rhh30_55	12	120000	4312	343	0.0028583333333333334	0.07954545454545454	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	6	signal_region_low_mhh	12	120000	4312	271	0.0022583333333333335	0.06284786641929499	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	7	signal_region_high_mhh	12	120000	4312	49	0.00040833333333333336	0.011363636363636364	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	8	control_region_low_mhh	12	120000	4312	264	0.0022	0.061224489795918366	unweighted_descriptive_only	False	False
background	qcd_bbbb_general	train	background_family	9	control_region_high_mhh	12	120000	4312	79	0.0006583333333333334	0.018320964749536178	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	0	candidate_denominator	12	120000	18495	18495	0.154125	1.0	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	1	four_candidate_jets_pt40	12	120000	18495	12187	0.10155833333333333	0.6589348472560151	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	2	four_candidate_jets_abs_eta24	12	120000	18495	11632	0.09693333333333333	0.628926736955934	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	3	analysis_region_rhh55	12	120000	18495	3043	0.025358333333333333	0.1645309543119762	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	4	signal_region_rhh30	12	120000	18495	988	0.008233333333333334	0.0534198432008651	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	5	control_region_rhh30_55	12	120000	18495	2055	0.017125	0.1111111111111111	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	6	signal_region_low_mhh	12	120000	18495	452	0.003766666666666667	0.02443903757772371	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	7	signal_region_high_mhh	12	120000	18495	536	0.0044666666666666665	0.02898080562314139	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	8	control_region_low_mhh	12	120000	18495	690	0.00575	0.0373073803730738	unweighted_descriptive_only	False	False
background	qcd_bbbb_iht400to600	train	background_family	9	control_region_high_mhh	12	120000	18495	1365	0.011375	0.07380373073803731	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	0	candidate_denominator	186	1811373	56	56	3.091577493978325e-05	1.0	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	1	four_candidate_jets_pt40	186	1811373	56	37	2.0426494156642503e-05	0.6607142857142857	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	2	four_candidate_jets_abs_eta24	186	1811373	56	36	1.9874426747003515e-05	0.6428571428571429	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	3	analysis_region_rhh55	186	1811373	56	7	3.864471867472906e-06	0.125	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	4	signal_region_rhh30	186	1811373	56	3	1.6562022289169597e-06	0.05357142857142857	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	5	control_region_rhh30_55	186	1811373	56	4	2.208269638555946e-06	0.07142857142857142	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	6	signal_region_low_mhh	186	1811373	56	0	0.0	0.0	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	7	signal_region_high_mhh	186	1811373	56	3	1.6562022289169597e-06	0.05357142857142857	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	8	control_region_low_mhh	186	1811373	56	4	2.208269638555946e-06	0.07142857142857142	unweighted_descriptive_only	False	False
background	qcd_hardqcd	train	background_family	9	control_region_high_mhh	186	1811373	56	0	0.0	0.0	unweighted_descriptive_only	False	False
background	schannel_single_top	train	background_family	0	candidate_denominator	2	20000	12	12	0.0006	1.0	unweighted_descriptive_only	False	False
background	schannel_single_top	train	background_family	1	four_candidate_jets_pt40	2	20000	12	7	0.00035	0.5833333333333334	unweighted_descriptive_only	False	False
background	schannel_single_top	train	background_family	2	four_candidate_jets_abs_eta24	2	20000	12	7	0.00035	0.5833333333333334	unweighted_descriptive_only	False	False
background	schannel_single_top	train	background_family	3	analysis_region_rhh55	2	20000	12	3	0.00015	0.25	unweighted_descriptive_only	False	False
background	schannel_single_top	train	background_family	4	signal_region_rhh30	2	20000	12	2	0.0001	0.16666666666666666	unweighted_descriptive_only	False	False
