production_row_index	source_uid	group_id	sample_class	process_or_mode	workflow_population	generator_weight_transport_class	optimized_fold_k5	auxiliary_qcd	production_action	generated_events	accounting_rows	broad_eligible_rows	resolved_rows	non_broad_rows	assignment_matchable_rows	historical_parity_rows	historical_maximum_absolute_difference	accounting_sha256	resolved_sha256	receipt_sha256	byte_identical_internal_rerun	physical_weight_application_authorized	validation_payloads_opened	test_payloads_opened	models_trained	status
0	331e1d9ade0b6f4ee6de7411::background::359::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	331e1d9ade0b6f4ee6de7411	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	stage_and_submit	10000	10000	2915	2915	7085	0	395	0.0	8af0f959709a30a673bdd6ad7105e58c60a15793311224afdd05b12f2bfa5e6c	cf2ced26eab1682fb7e0648bbf529b11cd11eb10bcf7b75bede550207b24d2e6	d05809bc5354703ce7cf2689cf647113dc284b91af75ac54ffa8aed8838d0212	True	False	0	0	0	pass
1	3bc3942d91503ba846db3899::background::362::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	3bc3942d91503ba846db3899	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	2	True	stage_and_submit	10000	10000	3016	3016	6984	0	364	0.0	2cdc8b257bcccff22b6ea121d6ee8ba4f7b232488b46fa74a70350030d991e75	b200f1f9694838314ae4c0da799899ebd8782bc0aa0a5e3ee6c4118f648416b4	35a078bdc8ba72fd2bd35ed9aeb9e2127ca1f357d33150492e70785f84edbf86	True	False	0	0	0	pass
2	554693ea991d325b22636467::background::357::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	554693ea991d325b22636467	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	1	True	stage_and_submit	10000	10000	2920	2920	7080	0	367	0.0	fbf79802649c212b75717757c92f1effae7cfc49a0745b8d79a6b3daa0a75e71	bff0f7afbdc14820cfb9771a97d0d62dac625fd1a364aac58c27adf2b113db24	ce3c6ac6c56c6dcc763be01f4563b0ede01e534c38793b059f1d8fcf05b23a84	True	False	0	0	0	pass
3	765df8c6ff15e5ef9646314a::background::356::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	765df8c6ff15e5ef9646314a	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	3	True	stage_and_submit	10000	10000	2995	2995	7005	0	352	0.0	747e8ad962b9343716948862f6885fb8831bb0bfe589dd6d3367dcbf328f6213	17b3a64c65d92620c453c502c0da2cf6d21dd9d8e06dda864c0963ca5d152d27	a773b36a062c5449626f06359dc8dfe0d8844783143a56282d2bbd85eb2c5c09	True	False	0	0	0	pass
4	883cde2439e6efaaafe5691f::background::361::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	883cde2439e6efaaafe5691f	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	1	True	stage_and_submit	10000	10000	2923	2923	7077	0	344	0.0	91210c90a113457005e28578d7d0bcd1edc4dce795a9c8aa44bab8e0ca90d785	0e37571600d2ec34b6baf807ffc5d2177b40953d523626f0f101d566e2358492	2f520b2afe7bcc1cdc29a13095a4e29b29f532f307be15b29d29836628d1ef15	True	False	0	0	0	pass
5	8e0aa4631d1190f8a8484606::background::353::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	8e0aa4631d1190f8a8484606	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	1	True	stage_and_submit	10000	10000	2953	2953	7047	0	353	0.0	e74e77840ab20b0d6d04210404559745142358c8524d701983b8a884af72eb5f	c745d7669148dba15b71f4fbab04fa5795cf58b141625a72e1e4e05a12ad56d9	0b9265654c4a47a8bdf9e7d723ba1693cce3433fd2baafaa1bf96a8cde3d2da1	True	False	0	0	0	pass
6	b2239a1c2ffb2eb5fc793ee7::background::351::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_general_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	b2239a1c2ffb2eb5fc793ee7	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	2	True	stage_and_submit	10000	10000	2965	2965	7035	0	334	0.0	faa3db7b6bc2b8a3486342009e3ae575de0086a38701065187ad713b01d245bb	2a33974ff70a9ed3f5a28b46dd81dda70db2b5a1eee745a021316cc384d896cb	5ba4fb0733e855aa4f6de832dbc858aae53c24a8d77ee19067687d6c5a244789	True	False	0	0	0	pass
7	ba4ea16c7c45ee2aae854f6e::background::355::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	ba4ea16c7c45ee2aae854f6e	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	stage_and_submit	10000	10000	3033	3033	6967	0	368	0.0	272f874a3be71043850b0b3106c4d21b598358a198ae375072ed9d7fae86e108	0f1ba97988ea5e30cf7e5c99cd1336146808791d88c4485da92d47c1b22c192a	e144f3c251883773776bc93067351432c39c08384390c0121c59a7657fd7d85e	True	False	0	0	0	pass
8	e14311c8c1d2f7b5d00cbf57::background::358::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	e14311c8c1d2f7b5d00cbf57	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	3	True	stage_and_submit	10000	10000	3004	3004	6996	0	379	0.0	0977f4f93be2f272f966052417e60f24a1bacae8d37cb98d94f357b5aafaec85	1982cf99d85c0c256736b79558e04d85446b176c265aa5930dc142c4323b4f88	e512fc6b2a8bb6993ebb493d03e461a2054f1eccf6894ddbc3aad83241290c54	True	False	0	0	0	pass
9	e913062b5f3e6b74057d1360::background::360::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	e913062b5f3e6b74057d1360	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	stage_and_submit	10000	10000	2969	2969	7031	0	324	0.0	b08006b2385fdccc9e50097754068492d99e49030daab533a671ed31de3cd2c6	58691d7f0d08c30aab6323a76cdfb8051d2bd328e95bf23865442be92a7cf8f4	4ab914fd9fa0ca0ca8c2970ddeeb85eb4f0d24e2363a4da1aa524ab8b09f0b80	True	False	0	0	0	pass
10	f76c4d295021c2545924a8cb::background::352::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_general_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	f76c4d295021c2545924a8cb	background	qcd_bbbb_general	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	stage_and_submit	10000	10000	2959	2959	7041	0	382	0.0	3bc2b8bae06fd065618c5339b6a9e965019402a720e173fece616eaf3f79c0d0	9334a7c5271e3a032c59349a0d3fc863c47bb31fb11f96fb4f8d1c62ab341193	4eefa314d0c139c5eaf4be5ed24774867b90657761d4ca7467e66c98e674da9c	True	False	0	0	0	pass
11	0f1d84b89957afb5ad1b5c6d::background::367::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard001_10k_bundle.tar.gz	0f1d84b89957afb5ad1b5c6d	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	stage_and_submit	10000	10000	7994	7994	2006	0	1490	0.0	7b3d297ab476192c5696c6f098a8fbf166bed1c39d2cef14f8efb43dd7b333d5	354d8560bb52eb9e5a850249d807e987d719b5c0b3b495b8ac1c2d2fde86c274	936b2c482d411db917d1870b7f9b201470165ec950a22a755c6682213d3fcc05	True	False	0	0	0	pass
12	16ca7fe539d16ce0cbe2994e::background::375::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	16ca7fe539d16ce0cbe2994e	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	stage_and_submit	10000	10000	7986	7986	2014	0	1559	0.0	0cf6269632dd06ca2889e0f7a10e439065737d6aadc5776190796e2945109df8	cc59f189188aafcd1d6470f790ce38bab80b73ed508695fb3ff289c58b1d9348	2b2aeb3d6dc899193f59b90ffb339ddc0a8914507213e4190835186f3b05b8d1	True	False	0	0	0	pass
13	18da05b1009ec2362315d6db::background::373::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	18da05b1009ec2362315d6db	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	2	True	stage_and_submit	10000	10000	7992	7992	2008	0	1485	0.0	6fb5d2d78bec8835ad66f210ab346779fb3e4f74b7c2b928625df55f23c22661	c8169673d2ee8081bf5d5b651aa74f31c2a41e4776deb8bfe6275fb3a504e97f	a50a0e733124c0a85ac46e47438fcda7a86f1e24103a2aeb0f64042db0aabee9	True	False	0	0	0	pass
14	2bce797964cf5af141e4525f::background::372::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard002_10k_bundle.tar.gz	2bce797964cf5af141e4525f	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	1	True	stage_and_submit	10000	10000	8061	8061	1939	0	1552	0.0	a53b3bc4d4d19e9c5f5ddcc478a161a04dce2f6304a704c057c2616367a13887	742f18d000d4377156a282e5dd7ad1a0a1e61bffa46c25d1722521e02926e6b8	850ab4069d75a9cca94d11d39becc9056a24e00aff7578989f48a65301588d8d	True	False	0	0	0	pass
15	48a560034fc93461d1a27171::background::374::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	48a560034fc93461d1a27171	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	3	True	reuse_pilot_after_byte_identical_copy	10000	10000	8085	8085	1915	0	1581	0.0	bcb93086b8516f961eb308f171b72201911e5f4e33852220c0eb77c8861d4167	2870e89b31abb82d1c23a0a92d09470733d89097c3e45c050417113c7de38360	388dd730720cb1993f18d7b59e5e0f933da251bedf58f96c89a62779a1f15c69	True	False	0	0	0	pass
16	80c6a6c15054fb3b01ee2a95::background::376::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	80c6a6c15054fb3b01ee2a95	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	2	True	stage_and_submit	10000	10000	8013	8013	1987	0	1560	0.0	6e429a3d472062293c646d8cee36b450b296e7407ec48f0137ab3e8e7371b433	71d765d0dfa59e516bd715b3385ea59334260513e61a51fa6db5d20286561fb0	268fc75858d5e0553d34d6efd0de9652f1b52a934eae1a85e1b47c4006cd59ab	True	False	0	0	0	pass
17	852a26fa10837984b6514fd7::background::369::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard011_10k_bundle.tar.gz	852a26fa10837984b6514fd7	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	stage_and_submit	10000	10000	7906	7906	2094	0	1589	0.0	56774455761c9f2f8f1a9cfc86004702e0f3dc398dddcfd65599cbcc05fe4b40	d547f610fc02579d93af1a8646e094c988f512b7c965ffc6b97b888b06b55d14	72ee4ef859a1acc7a8f168578ac501300d8b5aa68fabec045b2efca9f221132d	True	False	0	0	0	pass
18	8b599686a633844f7ef32be4::background::377::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	8b599686a633844f7ef32be4	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	0	True	stage_and_submit	10000	10000	7921	7921	2079	0	1516	0.0	709e124871d826def79ca39fd0598f22420cafd8ea130110d09b9e6802d7e9fb	d6df4e0692903a76b2e011a4931fb390afc3e9ca7e4be0e242b9c665241a73d6	5e7248727217402290ec02bb9cb9cecd1531c2db620712d542089cf70725ad7c	True	False	0	0	0	pass
19	971534c289c8c141e6703131::background::366::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_pilots_20260720_retry1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_pilot_shard000_10k_bundle.tar.gz	971534c289c8c141e6703131	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	stage_and_submit	10000	10000	7987	7987	2013	0	1481	0.0	3f8f8fe3154236ad996bf7c2837e62dfca230a370193fddecaa763d403e954e5	1e9ff11fb984cc4f751cc4cbde9e35b7f5e0d1a6b1483acaa20ac67a2681c103	f775e6dffd0aeaac73a6154b447ebbf326c6f19549286115f2079f17b905c87a	True	False	0	0	0	pass
