gate_class	gate	observed	expected	status	interpretation	original_status	augmentation_status	combined_status
hard	summary::status	pass	pass	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::repository_head	96f4e2893a31df80f81ada4851ed23a658bf046b	96f4e2893a31df80f81ada4851ed23a658bf046b	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::train_generated_events_accounted	3799873	3799873	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::primary_physical_train_events_accounted	3569873	3569873	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::auxiliary_qcd_train_events_accounted	230000	230000	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::resolved_model_rows_full_train	1171072	1171072	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::non_broad_accounting_rows_full_train	2628801	2628801	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::selected_canary_sources	7	7	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::source_physical_coefficient_primary_matches	441	441	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::source_physical_coefficient_auxiliary_nulls	23	23	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::fold_local_source_weight_registry_rows	2320	2320	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::mass_aware_features	34	34	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::mass_plane_blind_features	30	30	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::canary_accounting_rows	320	320	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::canary_resolved_rows	264	264	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::canary_historical_parity_rows	48	48	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::byte_identical_rerun	True	True	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::physical_weight_application_authorized	False	False	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::comparison_weight_policy_frozen	False	False	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::candidate_reconstruction_policy_frozen	False	False	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::old_rhh34_status	historical_reference_only	historical_reference_only	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::new_full_train_cut_optimization_required	True	True	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::validation_payloads_opened	0	0	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::test_payloads_opened	0	0	pass	frozen canary summary contract	pass	not_applicable	pass
hard	summary::models_trained	0	0	pass	frozen canary summary contract	pass	not_applicable	pass
hard	selected_source_count	7	7	pass	representative source cardinality	pass	not_applicable	pass
hard	selected_source_uid_uniqueness	7	7	pass	no duplicate selected source	pass	not_applicable	pass
hard	fold_coverage	0,1,2,3,4	0,1,2,3,4	pass	all outer folds represented	pass	not_applicable	pass
hard	transport_coverage	not_applicable_auxiliary_qcd,qcd_uniform_constant,qcd_variable_frozen_fragment,signed_exact_event_sidecar,uniform_member_constant	not_applicable_auxiliary_qcd,qcd_uniform_constant,qcd_variable_frozen_fragment,signed_exact_event_sidecar,uniform_member_constant	pass	all generator-weight transport branches represented	pass	not_applicable	pass
hard	coefficient_registry_rows	464	464	pass	one source coefficient record per train source	pass	not_applicable	pass
hard	primary_coefficients_finite_positive	441	441	pass	all primary sources receive one positive coefficient	pass	not_applicable	pass
hard	auxiliary_coefficients_null	23	23	pass	auxiliary QCD remains excluded from physical yields	pass	not_applicable	pass
hard	physical_authorization_false_source_registry	0	0	pass	coefficient join is diagnostic only	pass	not_applicable	pass
hard	source_weight_registry_rows	2320	2320	pass	five records for each of 464 sources	pass	not_applicable	pass
hard	source_weight_rows_per_fold	464,464,464,464,464	464,464,464,464,464	pass	complete source registry in every outer fold	pass	not_applicable	pass
hard	outer_training_flag_exact	2320	2320	pass	held-out groups never receive a training weight	pass	not_applicable	pass
hard	training_weights_finite_positive	1856	1856	pass	all outer-training rows receive positive weights	pass	not_applicable	pass
hard	heldout_weights_null	464	464	pass	held-out and zero-row sources have no training weight	pass	not_applicable	pass
hard	weight_summary_status	65	65	pass	all predeclared aggregate weight targets close	pass	not_applicable	pass
hard	weight_summary_max_abs_difference	1.2212453270876722e-15	<=1e-12	pass	numerical closure of fold-local comparison weights	pass	not_applicable	pass
hard	class_balance_fold_0	"{""background"": 0.4999999999999988, ""signal"": 0.5000000000000002}"	"{""background"": 0.5, ""signal"": 0.5} within abs_tol=1e-12"	pass	equal total signal and background loss budget; floating-point closure evaluated with the same 1e-12 absolute tolerance as the aggregate weight gate	pass	not_applicable	pass
hard	class_balance_fold_1	"{""background"": 0.4999999999999998, ""signal"": 0.4999999999999996}"	"{""background"": 0.5, ""signal"": 0.5} within abs_tol=1e-12"	pass	equal total signal and background loss budget; floating-point closure evaluated with the same 1e-12 absolute tolerance as the aggregate weight gate	pass	not_applicable	pass
