auxiliary_qcd_bool	coefficient_join_status	process_or_mode	sources
False	hard_qcd_source_tag_exact_substring_match	qcd_hardqcd	186
False	ordinary_campaign_exact_key_match	bbh_hbb_4fs	3
False	ordinary_campaign_exact_key_match	ggf_hh4b	80
False	ordinary_campaign_exact_key_match	ggh_hbb	8
False	ordinary_campaign_exact_key_match	schannel_single_top	1
False	ordinary_campaign_exact_key_match	tchannel_antitop	5
False	ordinary_campaign_exact_key_match	tchannel_top	6
False	ordinary_campaign_exact_key_match	ttbar_inclusive	81
False	ordinary_campaign_exact_key_match	tth_hbb	2
False	ordinary_campaign_exact_key_match	tttt	3
False	ordinary_campaign_exact_key_match	ttw	4
False	ordinary_campaign_exact_key_match	ttz_zbb	3
False	ordinary_campaign_exact_key_match	tw_antitop	4
False	ordinary_campaign_exact_key_match	tw_top	5
False	ordinary_campaign_exact_key_match	vbf_hbb	3
False	ordinary_campaign_exact_key_match	vbf_hh4b	7
False	ordinary_campaign_exact_key_match	wh_hbb	4
False	ordinary_campaign_exact_key_match	ww	2
False	ordinary_campaign_exact_key_match	wwz_zbb	4
False	ordinary_campaign_exact_key_match	wz_zbb	4
False	ordinary_campaign_exact_key_match	wzz_zbb	4
False	ordinary_campaign_exact_key_match	zbbbb	19
False	ordinary_campaign_exact_key_match	zzz_zbb	3
True	auxiliary_qcd_null_physical_coefficient	qcd_bbbb_general	11
True	auxiliary_qcd_null_physical_coefficient	qcd_bbbb_iht400to600	12
