outer_fold	category_id	structure_id	thresholds_json	frozen_outer_physical_sha256	row_counts_exact	signed_yields_close_rtol_2em13	sumw2_close_rtol_2em13	outer_fold_used_for_selection	validation_payloads_opened	test_payloads_opened
0	exact3tag	asymmetric_rectangular_mass__category__mass_only	"{""abs_mbb1_minus_125"":24.75704677946003,""abs_mbb2_minus_125"":45.12350550124169}"	827af4012b870de4266fc5aa0a163395b5e57f9a4935f1dfd619ff9fad4388f5	True	True	True	False	0	0
0	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	"{""abs_h_delta_eta"":6.809818891966871,""mhh"":120.69842482135816,""r_hh_125_125"":33.904321025139396}"	8359c6ebb21e9590c29fe2192955c6e4dc309fbfbba4b87b5fd63793b1cba690	True	True	True	False	0	0
1	exact3tag	radial_mass__category__plus_ht_candidate_jets	"{""ht_candidate_jets"":176.3644104003906,""r_hh_125_125"":36.328844680580374}"	a9fd9f7bacb8dfd5fa0ab2ceaca0a58b0a405d9596ae9337585e7e89ace9d08c	True	True	True	False	0	0
1	ge4tag	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	"{""ht_candidate_jets"":189.49309921264646,""max_drbb"":3.0298836958524804,""r_hh_125_125"":41.819557550223124}"	88144192badbed01d48abf8619b8e4aeef51d66bc8c137ee2dad8b7306fa50a2	True	True	True	False	0	0
2	exact3tag	radial_mass__category__mass_only	"{""r_hh_125_125"":36.15826352955487}"	9b6937c7d70fd030dbd20ea5134ce9f4139aa0c7645e5926efc1b53b59c00299	True	True	True	False	0	0
2	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	"{""abs_h_delta_eta"":6.998785436981115,""mhh"":208.7757371124349,""r_hh_125_125"":33.951857330959726}"	af4967a7bc0178a745114c6061b72c4aed800912c32d03fc0ab077098d0f8521	True	True	True	False	0	0
3	exact3tag	radial_mass__category__plus_ht_candidate_jets	"{""ht_candidate_jets"":176.7272033691406,""r_hh_125_125"":36.48743571221678}"	cd9b37bc1155006e50def98424286e77651219db03ff3897aa6ac17fc3ca7ea5	True	True	True	False	0	0
3	ge4tag	radial_mass__category__plus_h2_pt_and_max_drbb	"{""h2_pt"":1.147189659966386,""max_drbb"":3.977627353377033,""r_hh_125_125"":33.949491232005194}"	db536cbda80bec21cabb22844ce3ba4a087e16b113b0db531e6ed8ef42c676fc	True	True	True	False	0	0
4	exact3tag	symmetric_rectangular_mass__category__mass_only	"{""max_abs_mbb_minus_125"":33.017340186166074}"	196e62f8987b305c64164c3df0ce04494fdd583ebb77207e39923682c5d03755	True	True	True	False	0	0
4	ge4tag	radial_mass__category__plus_mhh	"{""mhh"":218.13649236856702,""r_hh_125_125"":34.40753404506846}"	4408df367a5aeb3ed98e8fc4302fce6a52365d1a08c71bf13fa298b40621afdb	True	True	True	False	0	0
