variable	value	rows	fraction
n_selected_jets	4	466774	0.44778908611594237
n_selected_jets	5	294210	0.2822437132877397
n_selected_jets	6	157381	0.1509799049690281
n_selected_jets	7	70508	0.06764025606366864
n_selected_jets	8	29544	0.0283423685985282
n_selected_jets	9	12879	0.01235517753792461
n_selected_jets	10	6261	0.006006348828709216
n_selected_jets	11	2806	0.002691872674230643
n_selected_jets	12	1278	0.0012260204125683401
n_selected_jets	13	507	0.00048637898996255744
n_selected_jets	14	182	0.00017459758614040525
n_selected_jets	15	49	4.7007042422416795e-05
n_selected_jets	16	14	1.3430583549261942e-05
n_selected_jets	17	2	1.918654792751706e-06
n_selected_jets	18	2	1.918654792751706e-06
n_selected_bjets	0	227752	0.21848873317939327
n_selected_bjets	1	364656	0.34982449105283303
n_selected_bjets	2	310606	0.2979728452787182
n_selected_bjets	3	108678	0.10425778278333495
n_selected_bjets	4	27541	0.026420835823587365
n_selected_bjets	5	2880	0.0027628629015624567
n_selected_bjets	6	260	0.0002494251230577218
n_selected_bjets	7	23	2.2064530116644616e-05
n_selected_bjets	8	1	9.59327396375853e-07
candidate_tagged_jet_count	0	227752	0.21848873317939327
candidate_tagged_jet_count	1	364656	0.34982449105283303
candidate_tagged_jet_count	2	310606	0.2979728452787182
candidate_tagged_jet_count	3	108678	0.10425778278333495
candidate_tagged_jet_count	4	30705	0.029456147705720564
