source_fold	category_id	sample_class	sources	groups	rows	comparison_weight_sum	physical_weight_sum
0	exact3tag	signal	20	20	1280		17.646206173746613
0	exact3tag	background	48	48	2057		29202076.630681314
0	ge4tag	signal	20	20	1190		16.350219392841268
0	ge4tag	background	34	34	873		522077.21868359967
1	exact3tag	signal	13	13	832	5509.521108619228	10.39601676139193
1	exact3tag	background	65	65	2295	2711.496716228279	55230961.12920152
1	ge4tag	signal	13	13	756	5001.336556549948	9.301672967594879
1	ge4tag	background	39	39	1153	969.8002227942857	1969089.8552249752
2	exact3tag	signal	13	13	832	5482.756592810307	10.399575226827562
2	exact3tag	background	49	49	2282	2927.573997141756	11224605.309952656
2	ge4tag	signal	13	13	784	5154.498055418215	9.7074530236407
2	ge4tag	background	39	39	1059	844.2462742349727	765748.9198919479
3	exact3tag	signal	21	21	1344	8990.228413581526	18.565311834377844
3	exact3tag	background	48	48	2199	2201.13968568575	29817326.244157307
3	ge4tag	signal	21	21	1281	8562.894367537077	17.657396163615104
3	ge4tag	background	37	37	1140	750.177612215492	1173521.9786601001
4	exact3tag	signal	20	20	1280	8338.21344794362	17.635265778804566
4	exact3tag	background	54	54	2009	1695.6310397761372	37701907.632426314
4	ge4tag	signal	20	20	1172	7624.045078646748	16.078897598692457
4	ge4tag	background	39	39	1118	703.7251695615887	4760290.602617906
