function_name	present_in_old_temporary_optimizer	present_in_committed_optimizer	old_ast_sha256	committed_ast_sha256	ast_equal
_open_boundary	False	True		d92dea8f8fe2e587015b9a7ed31fe04e148f75285ce6223c38f7bd1f7322df04	False
_quantile_probabilities	False	True		a86f13761ff33dabeb042a66717fbebc80cdba91055bb0cb554655afbff627e0	False
build_threshold_grids	False	True		5e25f3b8281b2dea4cc329c09c1d5b5ee375ca2aa9a882de6040790c3358a1ab	False
canonical_sha256	True	True	c3fb7386299734b660326f937f82aed4f0cdbf6a948e546df1e081812cf62825	c3fb7386299734b660326f937f82aed4f0cdbf6a948e546df1e081812cf62825	True
category_mask	True	True	3ff8b792f70c13170c9482f36e294de7b8112db407bd6552a3960cdb60ce1c42	3ff8b792f70c13170c9482f36e294de7b8112db407bd6552a3960cdb60ce1c42	True
clean	True	False	4ba77e4d2364e974e0b7e472fb8e1f87fcfa42bf827943f317d7a8085511563d		False
configuration_rank	True	True	d9d9e9d5ab8f0e6c7f8a68325ded722e9a10d85ffa7f1bb0983e6c7baadcd5e6	fa75ef966e29a7e5fee9ae0f0fcce901a6819d85563b0e81a4f06d4f934f7328	False
configuration_registry	False	True		e963b6039ccc30bfa03918ee89b7d2e5dfd16434e01683878ffecbcaa71a722d	False
deterministic_beam_seeds	False	True		27ded196395726ccf339bf9369af2e186aaab7d123f908d71ceebe44bc36fd9f	False
deterministic_event_order	True	False	86870c78474d33b77970f6dac79701345eadf9be5606541c641c8aacb5cda339		False
deterministic_view	True	False	3510d937a904e32ebc5947c3b45c09b9ff0fc7803e1cf875ee7815ef94c11943		False
effective_count	False	True		8a45f015736a435ba4988c46c835e6c8a65ce4da99e026adec566720ee48c55b	False
exact_coordinate_candidate	False	True		e998f78341a099c3a1951403954fe26a4287f09d82e04473a68b9a7c364a9251	False
exact_coordinate_candidates	True	False	361b4e5def56ae43fdaf14d87f2230e1f6014f50d5a8ed82152d318c372e55c1		False
load_amended_configurations	False	True		92cc767bd3e1287927911eecc69fb3b93c386d146b3c4b80d8a039e04b311abe	False
metric_rank	True	True	b045973561f57853e28427fffa8e1710b4fc16d6cda1ec098d15b6c1b3ee440f	e7583ad330808ad08fbb47f185f4b33b4b3dfa56c32b677262c464419031b5a9	False
metric_to_dict	True	True	61940901d6f605bab244ae605b1877ad171c3cbd5012803d1a287da9a6abe486	420ba095f598405e6ee1acf451eca9bd6f058a70d83ee9bbcb34fed0cb1249f9	False
optimize_configuration	True	True	ae494a0100f0a12e2f0dcb1ac3914c92257acb8b89c4514d39be1dfed5261930	d5f0179f8f61c696dfc3d82a77f17f44bb60934d54dd7b5fd4c25fa87a5775d6	False
physical_yield_summary	False	True		8703667175353abb366d390c098d0df554923fff9d20ff381af6e05c5896b643	False
require	True	True	fc3c45a258cfebc62c9292d998214399b69461ea0644c1b2a60dd1052c25432d	fc3c45a258cfebc62c9292d998214399b69461ea0644c1b2a60dd1052c25432d	True
run_nested_once	True	False	57c0775152c3231e703c0a6e84e627bc1fa808a05c732622c3e8b5e041c304a7		False
selection_mask	True	True	ab13a83137fbfc556904d0176b44c1bdc32a0cd9e9a48756b8fe0e99499ae6c2	2c36862cabc89a2509fe25f54f4c0f503047d742331f1548cca9f76fd7298d83	False
structure_registry	False	True		d5d5c7006fcb443c0ae78344931fe0c221583eb085114123ed358c511c75387e	False
support_gate	False	True		05de28bef649b9b958e388a653111762ac45d7f200605835909bd096be134b31	False
threshold_json	True	True	5b75da528d0f56db6ef3c4456965959baadbe15d34987e4681848f561e86e73f	7ae39248ea97e9ca187b0bf74320100b7f971e80af91c361a64db53027918354	False
truthy	True	False	372505384cb0f1a10d39e8b72d8f6ff6418e8135e071b2d7fd3d3cfef7cbf53f		False
weighted_metric	True	True	0b24322117fc201a6b0da20f5fb6734b1ae6adfe54c808576469c557264c63b0	adc6324903f7cdfe0084d7456a488a2abcd84e62223be4175d8bd5ee3d24dae7	False
