scope	outer_fold	inner_fold	btag_minimum	signal_rows	selected_signal_rows	total_signal_comparison_weight	selected_signal_comparison_weight	maximum_achievable_signal_efficiency	target_signal_efficiency	target_feasible_before_continuous_cuts	target_margin
full_outer_development_pooled	0		0	73136	73136	467525.50000000006	467525.50000000006	1.0	0.585957	True	0.41404300000000005
full_outer_development_pooled	0		3	73136	29774	467525.50000000006	190444.87952236005	0.40734650735063654	0.585957	False	-0.1786104926493634
full_outer_development_pooled	0		4	73136	7503	467525.50000000006	47994.84224157989	0.1026571646714027	0.585957	False	-0.4832998353285972
full_inner_held_out	0	1	0	18857	18857	120074.85519125682	120074.85519125682	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	0	1	3	18857	7661	120074.85519125682	48820.96456734059	0.4065877446995702	0.585957	False	-0.17936925530042974
full_inner_held_out	0	1	4	18857	1911	120074.85519125682	12168.196895885203	0.10133842657152105	0.585957	False	-0.4846185734284789
full_inner_held_out	0	2	0	18937	18937	120074.85519125684	120074.85519125684	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	0	2	3	18937	7624	120074.85519125684	48371.40967856726	0.4028437894138671	0.585957	False	-0.18311321058613284
full_inner_held_out	0	2	4	18937	1909	120074.85519125684	12118.702436491243	0.1009262298687632	0.585957	False	-0.48503077013123674
full_inner_held_out	0	3	0	17776	17776	115603.98292349727	115603.98292349727	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	0	3	3	17776	7279	115603.98292349727	47346.67207259878	0.40955917672777054	0.585957	False	-0.17639782327222941
full_inner_held_out	0	3	4	17776	1846	115603.98292349727	12035.716274335793	0.10411160558629382	0.585957	False	-0.4818453944137061
full_inner_held_out	0	4	0	17566	17566	111771.80669398906	111771.80669398906	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	0	4	3	17566	7210	111771.80669398906	45905.8332038534	0.41071030845493306	0.585957	False	-0.1752466915450669
full_inner_held_out	0	4	4	17566	1837	111771.80669398906	11672.22663486765	0.10442907724328095	0.585957	False	-0.481527922756719
full_outer_development_pooled	1		0	71781	71781	468185.0	468185.0	1.0	0.585957	True	0.41404300000000005
full_outer_development_pooled	1		3	71781	29352	468185.0	190943.3768060088	0.4078374505932672	0.585957	False	-0.17811954940673275
full_outer_development_pooled	1		4	71781	7426	468185.0	48225.46415004291	0.10300514572240228	0.585957	False	-0.4829518542775977
full_inner_held_out	1	0	0	17502	17502	111278.75362318842	111278.75362318842	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	1	0	3	17502	7239	111278.75362318842	45885.00750344404	0.4123429316868486	0.585957	False	-0.17361406831315135
full_inner_held_out	1	0	4	17502	1834	111278.75362318842	11604.24325022641	0.10428085211594518	0.585957	False	-0.4816761478840548
full_inner_held_out	1	2	0	18937	18937	130956.09420289856	130956.09420289856	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	1	2	3	18937	7624	130956.09420289856	52537.07205881699	0.4011808108557207	0.585957	False	-0.18477618914427923
full_inner_held_out	1	2	4	18937	1909	130956.09420289856	13133.61764069388	0.1002902363623119	0.585957	False	-0.48566676363768807
full_inner_held_out	1	3	0	17776	17776	114671.39855072465	114671.39855072465	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	1	3	3	17776	7279	114671.39855072465	46944.23219743735	0.40938048014363115	0.585957	False	-0.1765765198563688
full_inner_held_out	1	3	4	17776	1846	114671.39855072465	11828.412091321927	0.10315049995740352	0.585957	False	-0.4828065000425964
full_inner_held_out	1	4	0	17566	17566	111278.75362318842	111278.75362318842	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	1	4	3	17566	7210	111278.75362318842	45577.06504631045	0.40957562483709414	0.585957	False	-0.1763813751629058
full_inner_held_out	1	4	4	17566	1837	111278.75362318842	11659.191167800702	0.10477463835801935	0.585957	False	-0.4811823616419806
full_outer_development_pooled	2		0	71701	71701	468968.50000000006	468968.50000000006	1.0	0.585957	True	0.41404300000000005
full_outer_development_pooled	2		3	71701	29389	468968.50000000006	191842.09648917377	0.4090724568690088	0.585957	False	-0.17688454313099117
full_outer_development_pooled	2		4	71701	7428	468968.50000000006	48457.56194103622	0.1033279675309455	0.585957	False	-0.4826290324690544
full_inner_held_out	2	0	0	17502	17502	111464.9768115942	111464.9768115942	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	2	0	3	17502	7239	111464.9768115942	45961.79531889936	0.4123429316868487	0.585957	False	-0.17361406831315124
full_inner_held_out	2	0	4	17502	1834	111464.9768115942	11623.662762997117	0.10428085211594522	0.585957	False	-0.4816761478840547
full_inner_held_out	2	1	0	18857	18857	131175.24710144926	131175.24710144926	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	2	1	3	18857	7661	131175.24710144926	53204.171036984066	0.4055961182664031	0.585957	False	-0.18036088173359682
full_inner_held_out	2	1	4	18857	1911	131175.24710144926	13306.98979600881	0.1014443661441503	0.585957	False	-0.48451263385584964
full_inner_held_out	2	3	0	17776	17776	114863.29927536234	114863.29927536234	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	2	3	3	17776	7279	114863.29927536234	47022.79260822943	0.4093804801436311	0.585957	False	-0.17657651985636885
full_inner_held_out	2	3	4	17776	1846	114863.29927536234	11848.206747010488	0.1031504999574035	0.585957	False	-0.48280650004259645
full_inner_held_out	2	4	0	17566	17566	111464.97681159421	111464.97681159421	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	2	4	3	17566	7210	111464.97681159421	45653.33752506092	0.4095756248370942	0.585957	False	-0.17638137516290575
full_inner_held_out	2	4	4	17566	1837	111464.97681159421	11678.7026350198	0.10477463835801938	0.585957	False	-0.4811823616419806
full_outer_development_pooled	3		0	72862	72862	470078.9999999999	470078.9999999999	1.0	0.585957	True	0.41404300000000005
full_outer_development_pooled	3		3	72862	29734	470078.9999999999	191996.24609413097	0.40843399959183674	0.585957	False	-0.1775230004081632
full_outer_development_pooled	3		4	72862	7491	470078.9999999999	48329.783392328565	0.10281204519310282	0.585957	False	-0.4831449548068971
full_inner_held_out	3	0	0	17502	17502	113602.425	113602.425	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	3	0	3	17502	7239	113602.425	47018.46056873136	0.41388606421677493	0.585957	False	-0.17207093578322502
full_inner_held_out	3	0	4	17502	1834	113602.425	11902.318895296125	0.10477169739374952	0.585957	False	-0.4811853026062504
full_inner_held_out	3	1	0	18857	18857	121437.075	121437.075	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	3	1	3	18857	7661	121437.075	49381.704547550995	0.4066443839128289	0.585957	False	-0.17931261608717103
full_inner_held_out	3	1	4	18857	1911	121437.075	12305.507291900865	0.10133237556900038	0.585957	False	-0.4846246244309996
full_inner_held_out	3	2	0	18937	18937	121437.07499999998	121437.07499999998	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	3	2	3	18937	7624	121437.07499999998	48931.706188553384	0.4029387745756672	0.585957	False	-0.18301822542433277
full_inner_held_out	3	2	4	18937	1909	121437.07499999998	12260.59751209247	0.10096255622175083	0.585957	False	-0.48499444377824913
full_inner_held_out	3	4	0	17566	17566	113602.42499999999	113602.42499999999	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	3	4	3	17566	7210	113602.42499999999	46664.37478929521	0.4107691784686393	0.585957	False	-0.17518782153136064
full_inner_held_out	3	4	4	17566	1837	113602.42499999999	11861.359693039101	0.10441114873242453	0.585957	False	-0.48154585126757543
full_outer_development_pooled	4		0	73072	73072	467386.0	467386.0	1.0	0.585957	True	0.41404300000000005
full_outer_development_pooled	4		3	73072	29803	467386.0	190734.40404870332	0.40808754230700817	0.585957	False	-0.17786945769299178
full_outer_development_pooled	4		4	73072	7500	467386.0	48016.1002131659	0.10273328728966186	0.585957	False	-0.4832237127103381
full_inner_held_out	4	0	0	17502	17502	111738.456284153	111738.456284153	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	4	0	3	17502	7239	111738.456284153	46238.48521086124	0.41380995181529895	0.585957	False	-0.172147048184701
full_inner_held_out	4	0	4	17502	1834	111738.456284153	11704.322528400451	0.10474748728079918	0.585957	False	-0.48120951271920076
full_inner_held_out	4	1	0	18857	18857	120039.02732240435	120039.02732240435	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	4	1	3	18857	7661	120039.02732240435	48806.39739494648	0.40658774469957026	0.585957	False	-0.1793692553004297
full_inner_held_out	4	1	4	18857	1911	120039.02732240435	12164.566156028284	0.10133842657152106	0.585957	False	-0.4846185734284789
full_inner_held_out	4	2	0	18937	18937	120039.02732240435	120039.02732240435	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	4	2	3	18937	7624	120039.02732240435	48356.97664411211	0.4028437894138672	0.585957	False	-0.18311321058613272
full_inner_held_out	4	2	4	18937	1909	120039.02732240435	12115.086464763732	0.10092622986876323	0.585957	False	-0.48503077013123674
full_inner_held_out	4	3	0	17776	17776	115569.48907103826	115569.48907103826	1.0	0.585957	True	0.41404300000000005
full_inner_held_out	4	3	3	17776	7279	115569.48907103826	47332.54479878351	0.40955917672777054	0.585957	False	-0.17639782327222941
full_inner_held_out	4	3	4	17776	1846	115569.48907103826	12032.125063973428	0.1041116055862938	0.585957	False	-0.48184539441370616
