category_id	aggregation_level	structure_id	count	denominator	frequency	frequency_rank	is_nominal_structure
exact3tag	fold_winner	asymmetric_rectangular_mass__category__mass_only	90	5000	0.018	16	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	440	5000	0.088	4	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt	251	5000	0.0502	7	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	41	5000	0.0082	23	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	503	5000	0.1006	3	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	207	5000	0.0414	9	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_max_drbb	578	5000	0.1156	2	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh	312	5000	0.0624	6	False
exact3tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	130	5000	0.026	12	False
exact3tag	fold_winner	radial_mass__category__mass_only	246	5000	0.0492	8	False
exact3tag	fold_winner	radial_mass__category__plus_abs_h_delta_eta	32	5000	0.0064	24	False
exact3tag	fold_winner	radial_mass__category__plus_h2_pt	118	5000	0.0236	15	False
exact3tag	fold_winner	radial_mass__category__plus_h2_pt_and_max_drbb	56	5000	0.0112	20	False
exact3tag	fold_winner	radial_mass__category__plus_ht_candidate_jets	630	5000	0.126	1	True
exact3tag	fold_winner	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	88	5000	0.0176	17	False
exact3tag	fold_winner	radial_mass__category__plus_max_drbb	193	5000	0.0386	10	False
exact3tag	fold_winner	radial_mass__category__plus_mhh	121	5000	0.0242	14	False
exact3tag	fold_winner	radial_mass__category__plus_mhh_and_abs_h_delta_eta	67	5000	0.0134	19	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__mass_only	139	5000	0.0278	11	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	10	5000	0.002	27	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt	50	5000	0.01	21	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	18	5000	0.0036	26	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets	404	5000	0.0808	5	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	49	5000	0.0098	22	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_max_drbb	123	5000	0.0246	13	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh	84	5000	0.0168	18	False
exact3tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	20	5000	0.004	25	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__mass_only	48	1000	0.048	8	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	185	1000	0.185	1	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt	75	1000	0.075	5	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	10	1000	0.01	15	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	134	1000	0.134	2	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	36	1000	0.036	10	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_max_drbb	121	1000	0.121	3	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh	60	1000	0.06	7	False
exact3tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	25	1000	0.025	11	False
exact3tag	replica_selected	radial_mass__category__mass_only	45	1000	0.045	9	False
exact3tag	replica_selected	radial_mass__category__plus_abs_h_delta_eta	4	1000	0.004	20	False
exact3tag	replica_selected	radial_mass__category__plus_h2_pt	13	1000	0.013	13	False
exact3tag	replica_selected	radial_mass__category__plus_h2_pt_and_max_drbb	5	1000	0.005	19	False
exact3tag	replica_selected	radial_mass__category__plus_ht_candidate_jets	119	1000	0.119	4	True
exact3tag	replica_selected	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	3	1000	0.003	22	False
exact3tag	replica_selected	radial_mass__category__plus_max_drbb	16	1000	0.016	12	False
exact3tag	replica_selected	radial_mass__category__plus_mhh	6	1000	0.006	16	False
exact3tag	replica_selected	radial_mass__category__plus_mhh_and_abs_h_delta_eta	6	1000	0.006	17	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__mass_only	13	1000	0.013	14	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	0	1000	0.0	25	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_h2_pt	0	1000	0.0	26	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	1	1000	0.001	24	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_ht_candidate_jets	63	1000	0.063	6	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	2	1000	0.002	23	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_max_drbb	6	1000	0.006	18	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_mhh	4	1000	0.004	21	False
exact3tag	replica_selected	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	0	1000	0.0	27	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__mass_only	478	5000	0.0956	3	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	37	5000	0.0074	24	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt	143	5000	0.0286	13	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	54	5000	0.0108	20	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	286	5000	0.0572	8	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	76	5000	0.0152	18	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_max_drbb	322	5000	0.0644	4	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh	73	5000	0.0146	19	False
ge4tag	fold_winner	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	39	5000	0.0078	22	False
ge4tag	fold_winner	radial_mass__category__mass_only	314	5000	0.0628	5	False
ge4tag	fold_winner	radial_mass__category__plus_abs_h_delta_eta	150	5000	0.03	12	False
ge4tag	fold_winner	radial_mass__category__plus_h2_pt	119	5000	0.0238	17	False
ge4tag	fold_winner	radial_mass__category__plus_h2_pt_and_max_drbb	180	5000	0.036	10	False
ge4tag	fold_winner	radial_mass__category__plus_ht_candidate_jets	539	5000	0.1078	2	False
ge4tag	fold_winner	radial_mass__category__plus_ht_candidate_jets_and_max_drbb	617	5000	0.1234	1	False
ge4tag	fold_winner	radial_mass__category__plus_max_drbb	174	5000	0.0348	11	False
ge4tag	fold_winner	radial_mass__category__plus_mhh	186	5000	0.0372	9	False
ge4tag	fold_winner	radial_mass__category__plus_mhh_and_abs_h_delta_eta	301	5000	0.0602	7	True
ge4tag	fold_winner	symmetric_rectangular_mass__category__mass_only	141	5000	0.0282	14	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_abs_h_delta_eta	134	5000	0.0268	16	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt	36	5000	0.0072	25	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	41	5000	0.0082	21	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets	314	5000	0.0628	6	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	139	5000	0.0278	15	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_max_drbb	39	5000	0.0078	23	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh	36	5000	0.0072	26	False
ge4tag	fold_winner	symmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	32	5000	0.0064	27	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__mass_only	207	1000	0.207	1	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_abs_h_delta_eta	11	1000	0.011	19	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt	53	1000	0.053	7	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_h2_pt_and_max_drbb	17	1000	0.017	13	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets	84	1000	0.084	5	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_ht_candidate_jets_and_max_drbb	14	1000	0.014	16	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_max_drbb	88	1000	0.088	4	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh	12	1000	0.012	17	False
ge4tag	replica_selected	asymmetric_rectangular_mass__category__plus_mhh_and_abs_h_delta_eta	6	1000	0.006	22	False
ge4tag	replica_selected	radial_mass__category__mass_only	69	1000	0.069	6	False
ge4tag	replica_selected	radial_mass__category__plus_abs_h_delta_eta	22	1000	0.022	10	False
ge4tag	replica_selected	radial_mass__category__plus_h2_pt	18	1000	0.018	11	False
ge4tag	replica_selected	radial_mass__category__plus_h2_pt_and_max_drbb	15	1000	0.015	14	False
ge4tag	replica_selected	radial_mass__category__plus_ht_candidate_jets	125	1000	0.125	2	False
