job_index	replica	outer_fold	category_id	payload_key	receipt_sha256	runner_log_sha256	bundle_sha256	elapsed_seconds	structures	pooled_support_pass_results	pooled_feasible_results	receipt_bundle_sha_was_null	validation_payloads_opened	test_payloads_opened
0	0	0	exact3tag	replica_0000__exact3tag	c79228acf1da26d7a1bb2b7ee56647067763f49f5323b0d5ae0fa3eb40a7fd71	917c49c625e166d9c3e2b78fa122a125423955d43cbc8e611d81fc4658d475af	8961bffe98e56950c0c633d31723cbaba745374d146ed517a9781f3fabe6afe8	3619	27	27	23	True	0	0
1	0	1	exact3tag	replica_0000__exact3tag	dda6240b79b3765386fe6f8bca07e60ec5617003131b77cc521f2e5d74ac65ad	89ac2c795b080ae18fe79ff9e9144b56cc431c90232a742c153ffab510dce597	53ab5e1b55580b29db1cc6049de9007392b8fd2c0f540c688f7739f9dcd5f967	4600	27	27	9	True	0	0
2	0	2	exact3tag	replica_0000__exact3tag	a246b63a23b9f686223016359d4dd5f6ab6f2221141f1d582d9995f8c2ccbb5e	8595ce52379a1b862d01a8f1d8f86cc4979c537d1a3a3044ad067fd745fbbed6	aa957d040a0c0d51ca1928079011d00b31034add6e53fb3198294fc961b40471	4511	27	27	10	True	0	0
3	0	3	exact3tag	replica_0000__exact3tag	4d79e9b6a6cffcb4951ff5b8722c695f4a3e4af426c0fc42a49b0bbe5e885bb8	0eb4f46fb3238b45f646af4891399beb25fc0a752cb1825183e4ee49d3568b98	218e68d5d01d8d8fee48ca7d7bd6514a504049a2e01aa94ddd88e075f09e68c0	6349	27	27	24	True	0	0
4	0	4	exact3tag	replica_0000__exact3tag	db12994bc522d69614717d20e16f3aaab8ff1fd8ed9a3bcdfc1381674d727d09	a1291b2f331f50b4133a6ad68b2dd60e189641c4556f3559ea9a3d566020683a	1ab482259bf25d1a8933e8aa72df04383ae2e0ef0beab27ac87b9ca0f3b6e556	6199	27	27	7	True	0	0
5	0	0	ge4tag	replica_0000__ge4tag	89dd9844eb3df2015ea0b548fa854351854dc547dadc9d5dde1ace36b89495eb	c24de0a7f4a5a4a39d04cffdba84b3368375b2911d1318bf890e19830ae3020a	afc80f14ab8f41fa7feeb450699846f0f538d7821b7cd6c3bdc825b23de7fdb2	1627	27	27	11	True	0	0
6	0	1	ge4tag	replica_0000__ge4tag	ece37fec6778593bcfa0ac51613219cf21cdd605b372197ef129012c7193a626	1d0a3c91f774abf4fa1b8482987606f84d6e5082d34a6f85163d5f58c5ba864f	71c99488f35209f2fa4ded7e9fe1a21015a6b89cb646962448f157c938da1557	1310	27	27	6	True	0	0
7	0	2	ge4tag	replica_0000__ge4tag	72d2f26bd8c563df3ff369406a55092fff74b5df74493bb0bcde832c10d711c6	3e60f400e4e69d93734999390858d4b7d2f8eb01ea73c87d2c0c8bb4511f00d4	03984b2e61d5d098f9788fc4f228bbe36d276fb3fba5fe04d1874c8b0fb933d3	962	27	27	5	True	0	0
8	0	3	ge4tag	replica_0000__ge4tag	a8df89ad22bc8554505ee3dcfb1e5939572ff11350cfd2c1e1ed9bbebdd13f70	25a7894e80ffd108df1ea16f96affa7dec5218d730464a20c7bd0e1e16c74bb5	88076282a457738f2a99f47587c478dd9c55f6944db6cc4d18790e5c2bbb3b7a	884	27	27	8	True	0	0
9	0	4	ge4tag	replica_0000__ge4tag	1e797907f1295bf3dde103f3217f003b12304df185b73c677edb2634484630a3	c6cd98a381d89d3817b9a11c4b78978661582e9619a9a2de49a369a5e059ba2a	4c0e3b2ed623951403a596c785baf1e48d73e1c6e102ab20383c68e8dd47fa61	1699	27	27	7	True	0	0
10	1	0	exact3tag	replica_0001__exact3tag	7b2a4c1f9aaec2a6314152c0d995d11d187ba69a9885f5f387014f7bbd43aee7	eb6d3682a6c23bce4fb4d945fae904e555ddfcd696a72ca3a4f235b66212d565	8481a3b7742dbde9a43483ae3efa8f3032f221ca0654bb1b37accf7010ba0769	3400	27	27	0	True	0	0
11	1	1	exact3tag	replica_0001__exact3tag	788079b03956bd118a9d4d42308a9a0781fb07c93f0e00f45a3967ec4a6f6116	09efe6eff7e4f735840af56b9547738a68d8b9d1b312634ec0ca3bf0143c3cf6	db4b6f13dbd65a791a61d65f9d5e68e4ef4605bb09ffed27b1a14324876f9a4d	5361	27	27	0	True	0	0
12	1	2	exact3tag	replica_0001__exact3tag	dd4f6b3f92e1c3a89fe7b4cf62ff0120a859344073da7661f57d83bb2156ea42	b856586d74f86358bb31e84490d7bf1ac448364d5239e83c7fe549be9f3ca6e3	fa711b485dac30261a5ec142c72ea9234c746ee897fdaf1a741d12f1737f06c0	5999	27	27	0	True	0	0
13	1	3	exact3tag	replica_0001__exact3tag	24cf9fa5eb9e8c68594ed8b2cf8d435cee47bd952465896f937da0e733dc04b4	5534d51b627fd3cd5e52373312d7e68791abc08c288ad59c8b35b0cb13aaeb3c	de6041e2e4d3c0883a2103c17ea473c431b02b5b8dcaddede228c24dde80205c	4598	27	27	0	True	0	0
14	1	4	exact3tag	replica_0001__exact3tag	832609f84c2f48cfcec29ce282317c30b061193f4920349ca27cddae084ebe23	3c43dc08dbe96d07d3197ebbd3bad654f098f7ddf00dddd2e33623154ce646c6	70f078d0517a6d1454d290ff0235f2e518b3a670956944df0fc616d31c498cf3	6452	27	27	0	True	0	0
15	1	0	ge4tag	replica_0001__ge4tag	68bad9f926a5bfba354ab1ccd43d85b1bcb929f8a3cacbfd34771eedcc2036ce	612e9f7afe7700102adaa9236fab1fb4d8a62cc5c505ccd462ac88c1267cc57f	011a853bdb1c8eb871e0786d370f15ba301002f0185fa58400eec1ee247c66e2	966	27	27	1	True	0	0
16	1	1	ge4tag	replica_0001__ge4tag	7385aeccf550af4aca00bfe5fd00d23f7a3fb15f6db6a99642f1774e6d546740	3d1daed8e3596d8fbc036141c400cc7a6a37af6d316be816ed2af8bb592ce913	d413ee8ba353912b522b6b26bc247d884518f598e66a5ad5200440adf3bebb0a	1348	27	27	1	True	0	0
