sample_class	process_or_mode	coefficient_campaign	coefficient_join_status	sources	accounting_rows	resolved_rows	positive_generator_weight_rows	negative_generator_weight_rows	zero_generator_weight_rows	sum_generator_nominal_weight	generated_run2_yield	resolved_run2_yield	generated_run2_sumw2	resolved_run2_sumw2	generated_effective_events	resolved_effective_events	signed_resolved_fraction
background	bbh_hbb_4fs	bbh_hbb_4fs_scaleout40k_20260722_v1	ordinary_campaign_exact_key_match	3	30000	9448	29999	1	0	859.3044423572719	43619.08403806297	13737.730676736655	63429.73219335732	19975.286901192925	29995.78315291787	9447.936596859627	0.31494771106951286
background	ggh_hbb	ggh_hbb_scaleout90k_20260722_v1	ordinary_campaign_exact_key_match	8	80000	6124	79998	2	0	1026340.246213913	5360569.168355348	410376.3708883762	359232915.0267031	27499853.468292907	79991.83985294307	6123.987750614306	0.07655462657042479
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	hard_qcd_source_tag_exact_substring_match	112	1120000	81945	1120000	0	0	1120052.1532207727	1303847698477.4077	40960028594.39957	2.016693427513794e+18	3.980645751390492e+16	842973.3531291558	42147.02958352873	0.031414733977159603
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	hard_qcd_source_tag_exact_substring_match	43	410453	40548	410453	0	0	410461.75254809856	545612942295.1349	12057262517.519203	9.46172966503886e+17	1.4751194541398862e+16	314629.03014438594	9855.308938430371	0.02209856398713714
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	hard_qcd_source_tag_exact_substring_match	31	280920	15629	280920	0	0	280929.8972502947	402480504383.82745	9209512445.870113	6.934187642349494e+17	1.082364890514234e+16	233611.44053807764	7836.093006522104	0.02288188457716555
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	ordinary_campaign_exact_key_match	1	10000	2254	10000	0	0	70187.99781799316	510721.1151602779	115116.5393571266	26083605.747055776	5879244.735386373	10000.000000000004	2253.999999999999	0.2253999999999999
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	ordinary_campaign_exact_key_match	1	10000	2433	10000	0	0	581240.0054931641	1379495.665011648	335631.295297334	190300828.978593	46300191.69049168	9999.999999999996	2432.9999999999995	0.24330000000000004
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	ordinary_campaign_exact_key_match	4	40000	9509	40000	0	0	2327639.9993896484	5524343.229164564	1313274.0242719196	762959632.1697375	181374449.7565228	39999.977491373844	9508.994597323855	0.2377249149435133
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	ordinary_campaign_exact_key_match	1	10000	2270	10000	0	0	1003600.0061035156	2312746.3711244995	524993.4262452614	534879577.7149542	121417664.14129455	9999.999999999998	2270.000000000001	0.22700000000000004
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	ordinary_campaign_exact_key_match	5	50000	11160	50000	0	0	5027399.978637695	11585393.569224875	2585898.3401991855	2684435224.1359396	599183786.4902694	49999.84464033398	11159.965233727991	0.2232033227656845
