sample_class	process_or_mode	workflow_population	sources	accounting_rows	resolved_rows	positive_generator_weight_rows	negative_generator_weight_rows	zero_generator_weight_rows	sum_generator_nominal_weight	generated_run2_yield	resolved_run2_yield	generated_run2_sumw2	resolved_run2_sumw2	generated_effective_events	resolved_effective_events	signed_resolved_fraction
background	bbh_hbb_4fs	primary_physical_background	3	30000	9448	29999	1	0	859.3044423572719	43619.08403806297	13737.730676736655	63429.73219335732	19975.286901192925	29995.78315291787	9447.936596859627	0.31494771106951286
background	ggh_hbb	primary_physical_background	8	80000	6124	79998	2	0	1026340.246213913	5360569.168355348	410376.3708883762	359232915.0267031	27499853.468292907	79991.83985294307	6123.987750614306	0.07655462657042479
background	qcd_hardqcd	primary_physical_background	186	1811373	138122	1811373	0	0	1811443.803019166	2251941145156.37	62226803557.78889	3.6562851582526295e+18	6.538130096044612e+16	1386992.1796996195	59224.50339986668	0.027632517702174668
background	schannel_single_top	primary_physical_background	1	10000	2254	10000	0	0	70187.99781799316	510721.1151602779	115116.5393571266	26083605.747055776	5879244.735386373	10000.000000000004	2253.999999999999	0.2253999999999999
background	tchannel_antitop	primary_physical_background	5	50000	11942	50000	0	0	2908880.0048828125	6903838.894176212	1648905.3195692538	953260461.1483305	227674641.44701448	49999.966870884105	11941.992026971242	0.23883890467956906
background	tchannel_top	primary_physical_background	6	60000	13430	60000	0	0	6030999.984741211	13898139.940349374	3110891.766444447	3219314801.850894	720601450.6315639	59999.815392542914	13429.958507646597	0.22383511605123793
background	ttbar_inclusive	primary_physical_background	81	810000	525672	810000	0	0	414987605.28564453	91394109.70190762	59312637.94808976	10312214028.147184	6692373306.872369	809999.0230424944	525671.3663519891	0.6489765931474658
background	tth_hbb	primary_physical_background	2	20000	18400	20000	0	0	6613.3299469947815	20410.337827578413	18777.52601715775	20829.106087800486	19162.80865670892	19999.988884778326	18399.989774024707	0.9200007454940599
background	tttt	primary_physical_background	3	30000	29807	30000	0	0	274.78027157485485	1050.5406756955003	1043.7831117694377	36.78807632516836	36.55147041861473	29999.821179443188	29806.82232308347	0.9935675370955163
background	ttw	primary_physical_background	4	40000	31544	40000	0	0	14125.270247459412	32572.204278502835	25686.571802282815	26523.910781343904	20916.970556969678	39999.700659027876	31543.76343155394	0.7886040374380056
background	ttz_zbb	primary_physical_background	3	30000	27191	30000	0	0	2548.779994249344	8797.471019600907	7973.753360174982	2579.857192874818	2338.307628815166	29999.914938886028	27190.922984380177	0.9063688124018062
background	tw_antitop	primary_physical_background	4	40000	18735	40000	0	0	1121321.201324463	2209578.550596931	1034908.6480181161	122056100.02397797	57167726.48238113	39999.94568316468	18734.974707674864	0.4683737755050751
background	tw_top	primary_physical_background	5	50000	23210	50000	0	0	1401424.7131347656	2763832.561097643	1282968.2347406573	152775463.5603573	70918056.37059389	49999.981985102546	23209.991581721828	0.4641989723976378
background	vbf_hbb	primary_physical_background	3	30000	7417	30000	0	0	83881.29711151123	134813.04815000485	33329.81544128421	605819.4080954627	149774.58530157837	29999.959903284656	7416.9899727197635	0.24722989279345223
background	wh_hbb	primary_physical_background	4	40000	8533	40000	0	0	36552.600264549255	73597.84850503074	15700.380397765539	135416.20126545164	28888.1002926156	39999.96495213596	8532.992551869234	0.2133266218603163
background	ww	primary_physical_background	2	20000	1767	20000	0	0	1294074.0203857422	4465921.94222766	394571.5672502681	997223430.6352298	88107978.64722283	19999.99015402785	1766.9991307562486	0.08835164885426787
background	wwz_zbb	primary_physical_background	4	20800	9999	20769	31	0	1981.8741404861212	10530.766251443849	5070.276278164016	5363.538724803293	2578.253467728099	20676.095304339553	9970.975258520959	0.48147268271849086
background	wz_zbb	primary_physical_background	4	40000	4983	40000	0	0	142578.00102233887	327587.64846736036	40809.196562517885	2682848.0630427133	334215.2386723378	39999.90491696597	4982.988001067654	0.12457489393585597
background	wzz_zbb	primary_physical_background	4	13200	6079	13176	24	0	402.0103596188128	3366.7185573901797	1552.0141465743664	864.9738121342604	398.3334318061234	13104.204642574818	6047.064390867757	0.4609871957273019
background	zbbbb	primary_physical_background	19	190000	54948	190000	0	0	1312449.6507644653	724327.1356809654	209478.75241511886	2761340.535723949	798605.1807428537	189998.22466526847	54947.48690783187	0.2892046177700916
background	zzz_zbb	primary_physical_background	3	4500	2154	4488	12	0	47.11366894841194	868.6103657220942	417.2135214904773	169.46955884218207	81.114079881484	4452.032403899044	2145.9544726244185	0.4803229824958845
signal	ggf_hh4b	primary_physical_signal	80	80000	46340	80000	0	0	79.39326018095016	1152.5086393474205	667.5925213202042	16.603631183531785	9.6177068557954	79999.13688084601	46339.50495737051	0.5792516416173782
signal	vbf_hh4b	primary_physical_signal	7	70000	44298	70000	0	0	99.67373916879296	137.78482139275133	87.19243525164241	0.2712123694294937	0.17162411284873968	69999.22992512246	44297.50947532826	0.6328159689165115
