member_index	target_tag	classification	generated_events	legacy_candidate_rows	canonical_candidate_rows	canonical_ready	legacy_rows_excluded_from_dataset_v2
324	ttbar_100k_shard001	exact_deterministic_regeneration_possible	10000	46	0	False	46
325	ttbar_100k_shard002	exact_deterministic_regeneration_possible	10000	36	0	False	36
326	ttbar_100k_shard003	exact_deterministic_regeneration_possible	10000	39	0	False	39
327	ttbar_100k_shard007	exact_deterministic_regeneration_possible	10000	39	0	False	39
328	ttbar_100k_shard008	exact_deterministic_regeneration_possible	10000	33	0	False	33
329	ttbar_100k_shard009	exact_deterministic_regeneration_possible	10000	44	0	False	44
330	ttbar_200k_shard000	canonical72_existing_verified	10000	37	37	True	0
331	ttbar_200k_shard001	canonical72_existing_verified	10000	39	39	True	0
332	ttbar_200k_shard002	canonical72_existing_verified	10000	33	33	True	0
333	ttbar_200k_shard004	canonical72_existing_verified	10000	37	37	True	0
334	ttbar_200k_shard005	canonical72_existing_verified	10000	46	46	True	0
335	ttbar_200k_shard006	canonical72_existing_verified	10000	24	24	True	0
336	ttbar_200k_shard007	canonical72_existing_verified	10000	38	38	True	0
337	ttbar_200k_shard009	canonical72_existing_verified	10000	34	34	True	0
338	ttbar_200k_shard011	canonical72_existing_verified	10000	34	34	True	0
339	ttbar_200k_shard012	canonical72_existing_verified	10000	32	32	True	0
340	ttbar_200k_shard013	canonical72_existing_verified	10000	34	34	True	0
341	ttbar_200k_shard014	canonical72_existing_verified	10000	48	48	True	0
342	ttbar_200k_shard016	canonical72_existing_verified	10000	29	29	True	0
343	ttbar_200k_shard017	canonical72_existing_verified	10000	36	36	True	0
344	ttbar_200k_shard018	canonical72_existing_verified	10000	40	40	True	0
345	ttbar_200k_shard019	canonical72_existing_verified	10000	42	42	True	0
346	ttbar_100k_shard000	canonical72_reconstructed_from_retained_root	10000	29	29	True	0
347	ttbar_100k_shard004	exact_deterministic_regeneration_possible	10000	26	0	False	26
348	ttbar_100k_shard005	exact_deterministic_regeneration_possible	10000	44	0	False	44
349	ttbar_200k_shard008	canonical72_existing_verified	10000	35	35	True	0
350	ttbar_200k_shard015	canonical72_existing_verified	10000	44	44	True	0
TOTAL	all_27	aggregate	270000	998	691	19	307
