artifact_role	path	expected_sha256	observed_sha256	exists	executable_required	executable	unchanged	provenance	status
generator_process_directory_manifest	/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke	f21d44dea7c6d8614b2f733e5485c5200be6b4e3c9cbb4b07edad106de0cad62	f21d44dea7c6d8614b2f733e5485c5200be6b4e3c9cbb4b07edad106de0cad62	True	False	False	True	observed immutable manifest excluding Events, HTML, and logs	verified_unchanged
generator_process_card	/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Cards/proc_card_mg5.dat	9c771a8b9c596f02c9a21953936a2bacb2268f04253d38ef974e6ff6bea8bbf8	9c771a8b9c596f02c9a21953936a2bacb2268f04253d38ef974e6ff6bea8bbf8	True	False	False	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
generator_parameter_card	/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Cards/param_card.dat	5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41	5315ff912514491596e9720b0540dbacd61d85d66dec2b4c94eaee0c15a52b41	True	False	False	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
generator_run_card_template	/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Cards/run_card.dat	5b6b7f660badb79d25218fb4920c801794e62861fb8cf53311d75588786ef04d	5b6b7f660badb79d25218fb4920c801794e62861fb8cf53311d75588786ef04d	True	False	False	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
generator_me5_configuration	/uscms_data/d3/iturkmen/hh4b_delphes/mg5/TTbar_smoke/Cards/me5_configuration.txt	07cc81819bf83d436ef55fbb2d8b51cc17a85f73b322ae0566321c6c47b62e30	07cc81819bf83d436ef55fbb2d8b51cc17a85f73b322ae0566321c6c47b62e30	True	False	False	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
exact_regeneration_worker	scripts/production/run_hh4b_ttbar8_exact_regeneration_member.sh	00a1fcdcf862b9672e081f4082a1ceef59a0648a2ad0bf2629beaeaffbac9209	00a1fcdcf862b9672e081f4082a1ceef59a0648a2ad0bf2629beaeaffbac9209	True	True	True	True	this exact-regeneration contract	verified_unchanged
production_campaign_wrapper	scripts/delphes/run_storage_safe_local_campaign.sh	3007010e7c2bd188ea3f7fd7ba3a48cc26f88662dd4e9a1f8c86484126a6865e	3007010e7c2bd188ea3f7fd7ba3a48cc26f88662dd4e9a1f8c86484126a6865e	True	True	True	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
production_local_member_wrapper	data_release/hh4b_delphes_analysis_v0_2026_07_08/scripts_snapshot/run_local_background_sample.sh	5cd6e53ede4c98eb29b79983b266edd62119246ca9d3cf4f54fa95b25aa13809	5cd6e53ede4c98eb29b79983b266edd62119246ca9d3cf4f54fa95b25aa13809	True	True	True	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
pythia_delphes_wrapper	data_release/hh4b_delphes_analysis_v0_2026_07_08/scripts_snapshot/run_existing_lhe_pythia_delphes.sh	ea8108151317d14f9a2cc23cd46ec76c7ae2af1430a0f31bdbedaa599f86bf6a	ea8108151317d14f9a2cc23cd46ec76c7ae2af1430a0f31bdbedaa599f86bf6a	True	True	True	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
pythia_converter	/uscms_data/d3/iturkmen/software/bin/lhe_to_hepmc3	98b00f81cf843772ea93ee3ef92f1f4a9f340a26a9c779ddaa161ff8c75797fb	98b00f81cf843772ea93ee3ef92f1f4a9f340a26a9c779ddaa161ff8c75797fb	True	True	True	True	docs/checkpoints/hh4b_ttbar27_canonical72_recovery_20260727_v1	verified_unchanged
