column	canonical_column	role	comparison_type	rtol	atol	exact_required	permitted_difference	failure_policy
sample	sample	joining_key	categorical_after_suffix_normalization	0	0	True	none	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
event	event	joining_key	integer_exact	0	0	True	none	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
n_selected_bjets	n_selected_bjets	acceptance	integer_exact	0	0	True	none	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
mbb1	mbb1	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
mbb2	mbb2	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
avg_mbb	avg_mbb	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
delta_mbb	delta_mbb	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
mhh	mhh	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
drbb1	drbb1	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
drbb2	drbb2	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
pairing	pairing	diagnostic_categorical_comparison	categorical	0	0	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
j1_pt	j1_pt	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
j2_pt	j2_pt	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
j3_pt	j3_pt	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
j4_pt	j4_pt	diagnostic_physics_comparison	floating_at_declared_tolerance	0.0	1e-09	False	pairing and floating feature values may differ only where explained by the frozen canonical pairing and Higgs-ordering policy; differences are diagnostic and must be tabulated	row-count, event-key, normalized-sample, or n_selected_bjets disagreement fails; any unexplained categorical or floating physics disagreement fails
