example_rank,row_index,process_label,shared_score_float32,delta,u_logit
1,282824,signal,0.9999994039535522,14.435104846954346,6.269086614448198
2,295471,signal,0.9999994039535522,14.434671878814697,6.2688985788755245
3,196032,signal,0.9999994039535522,14.431666851043701,6.267593512600314
4,180828,signal,0.9999994039535522,14.430520057678223,6.26709546683891
5,269610,signal,0.9999994039535522,14.428961753845215,6.266418704449274
6,255528,signal,0.9999994039535522,14.244543075561523,6.186326737735421
7,359727,signal,0.9999994039535522,14.243456363677979,6.185854785068452
8,310689,signal,0.9999994039535522,14.24286413192749,6.185597582254914
9,362775,signal,0.9999994039535522,14.242621898651123,6.185492381748278
10,342011,signal,0.9999994039535522,14.23836088180542,6.18364184685474
