feature_1,feature_2,cv_auc_mean,cv_auc_std,n_used,n_sig,n_bkg
n_btag_loose,jet1_pt,0.8930538000720795,0.03934857342547034,27449,27339,110
n_btag_loose,jet2_pt,0.8860971810090001,0.03222771278972687,27449,27339,110
n_btag_loose,pT_H1,0.8791926370593783,0.026670423865092715,27449,27339,110
n_btag_loose,mHH,0.8783668965950492,0.030658206903567405,27449,27339,110
n_btag_loose,pt5_over_HT,0.8780228795958067,0.0224923797448323,27449,27339,110
n_btag_loose,HT,0.8692267427397127,0.0325555013134886,27449,27339,110
n_btag_loose,pT_H2,0.86720203937684,0.02658854469799923,27449,27339,110
HT,pt5_over_HT,0.7501640090107944,0.05718583892830437,27449,27339,110
jet1_pt,pt5_over_HT,0.7497993065639786,0.07118190700704752,27449,27339,110
jet2_pt,pt5_over_HT,0.7497561442303308,0.05754074870104399,27449,27339,110
pT_H1,pt5_over_HT,0.7430603171437409,0.048737949375700675,27449,27339,110
jet1_pt,jet2_pt,0.7343637365913479,0.07365420487994892,27449,27339,110
pT_H2,pt5_over_HT,0.7333106115919562,0.04324354868542605,27449,27339,110
mHH,pt5_over_HT,0.7326047274616343,0.05281249595716844,27449,27339,110
jet1_pt,HT,0.7281662507769603,0.08219176649489911,27449,27339,110
jet1_pt,mHH,0.7280269767258475,0.08337381341133092,27449,27339,110
jet1_pt,pT_H1,0.7265051031063482,0.08011008946420323,27449,27339,110
jet1_pt,pT_H2,0.7251385042121443,0.0805492317560966,27449,27339,110
pT_H1,jet2_pt,0.7216709507348144,0.06109751256139429,27449,27339,110
jet2_pt,mHH,0.7215712082537931,0.0632525993505447,27449,27339,110
jet2_pt,HT,0.7195787413031004,0.062191476521592855,27449,27339,110
jet2_pt,pT_H2,0.7183920507367894,0.06100135198777261,27449,27339,110
pT_H1,mHH,0.716586431759474,0.060350527413383044,27449,27339,110
pT_H1,pT_H2,0.7042166332634874,0.04812646207104228,27449,27339,110
pT_H1,HT,0.7034883244465163,0.05988700445314444,27449,27339,110
HT,mHH,0.7001174040656984,0.06251783444974648,27449,27339,110
pT_H2,mHH,0.6911254187000008,0.05281893680719069,27449,27339,110
HT,pT_H2,0.6888274712843091,0.057583535585019885,27449,27339,110
