features,cv_auc_mean,cv_auc_std,n_used,n_sig,n_bkg
n_btag_loose+jet1_pt+jet2_pt+pT_H2,0.89384549354824,0.03918259255354379,27449,27339,110
n_btag_loose+jet1_pt+jet2_pt+HT,0.8909923398322661,0.03866651192993843,27449,27339,110
n_btag_loose+jet1_pt+pT_H1+pT_H2,0.8906502813448341,0.03800901047958635,27449,27339,110
n_btag_loose+jet1_pt+pT_H1+jet2_pt,0.8902947262542431,0.03738892450961496,27449,27339,110
n_btag_loose+jet1_pt+HT+pT_H2,0.8890150303544069,0.03909714205318974,27449,27339,110
n_btag_loose+jet1_pt+pT_H1+HT,0.8883897502923581,0.03833596208627698,27449,27339,110
n_btag_loose+pT_H1+jet2_pt+pT_H2,0.8869013140111426,0.03490993878111188,27449,27339,110
n_btag_loose+pT_H1+jet2_pt+HT,0.8828224557411127,0.03391914304978492,27449,27339,110
n_btag_loose+jet2_pt+HT+pT_H2,0.8808769189254475,0.03570845181399956,27449,27339,110
n_btag_loose+pT_H1+HT+pT_H2,0.872591941886282,0.032529504130439,27449,27339,110
jet1_pt+jet2_pt+HT+pT_H2,0.7378333684501064,0.07597062954926202,27449,27339,110
jet1_pt+pT_H1+jet2_pt+HT,0.734996391785554,0.07387724687866301,27449,27339,110
jet1_pt+pT_H1+jet2_pt+pT_H2,0.7330026215971515,0.07631036208629141,27449,27339,110
jet1_pt+pT_H1+HT+pT_H2,0.7248694929728621,0.07712264204616194,27449,27339,110
pT_H1+jet2_pt+HT+pT_H2,0.7227935368674479,0.06344466285239561,27449,27339,110
