process,n_raw_before,n_raw_after,weighted_before_450fb,weighted_after_450fb,raw_efficiency_or_survival,raw_rejection
signal,27339,26951,12.938591834999997,12.754965014999996,0.9858078203299316,0.014192179670068361
QCD,68,60,497.1675528093116,438.67725247880435,0.8823529411764706,0.11764705882352944
ttbar (inference_ttbar_1+2 combined),27,13,62.67816561171864,30.178376035271935,0.48148148148148145,0.5185185185185186
SingleTop,2,0,9.769200853065943,0.0,0.0,1.0
TTbarW,2,1,0.67077,0.335385,0.5,0.5
TTbarZ,1,1,0.38655,0.38655,1.0,0.0
TW,1,0,6.227102637699448,0.0,0.0,1.0
ZJetsToQQ,8,7,11.28249,9.872178749999998,0.875,0.125
ttH,1,1,0.76065,0.76065,1.0,0.0
"TOTAL_BACKGROUND (QCD+ttbar+other, n=110)",110,83,588.9424819117958,480.2103922640763,0.7545454545454545,0.24545454545454548
