pt5_bin,dr_bin,mean,count
"(0.0, 40.0]","(0.0, 0.6]",1.0,2
"(0.0, 40.0]","(0.6, 0.8]",1.0,1
"(0.0, 40.0]","(0.8, 1.0]",1.0,1
"(0.0, 40.0]","(1.0, 1.3]",1.0,1
"(0.0, 40.0]","(1.3, 1.6]",1.0,2
"(0.0, 40.0]","(1.6, inf]",1.0,1
"(40.0, 60.0]","(0.0, 0.6]",0.25,4
"(40.0, 60.0]","(0.6, 0.8]",1.0,2
"(40.0, 60.0]","(0.8, 1.0]",1.0,2
"(40.0, 60.0]","(1.0, 1.3]",0.6666666666666666,3
"(40.0, 60.0]","(1.3, 1.6]",1.0,2
"(40.0, 60.0]","(1.6, inf]",0.0,2
"(60.0, 80.0]","(0.0, 0.6]",,0
"(60.0, 80.0]","(0.6, 0.8]",1.0,1
"(60.0, 80.0]","(0.8, 1.0]",,0
"(60.0, 80.0]","(1.0, 1.3]",0.0,1
"(60.0, 80.0]","(1.3, 1.6]",,0
"(60.0, 80.0]","(1.6, inf]",0.0,1
"(80.0, 120.0]","(0.0, 0.6]",,0
"(80.0, 120.0]","(0.6, 0.8]",,0
"(80.0, 120.0]","(0.8, 1.0]",,0
"(80.0, 120.0]","(1.0, 1.3]",,0
"(80.0, 120.0]","(1.3, 1.6]",,0
"(80.0, 120.0]","(1.6, inf]",1.0,1
"(120.0, 200.0]","(0.0, 0.6]",1.0,1
"(120.0, 200.0]","(0.6, 0.8]",,0
"(120.0, 200.0]","(0.8, 1.0]",,0
"(120.0, 200.0]","(1.0, 1.3]",,0
"(120.0, 200.0]","(1.3, 1.6]",,0
"(120.0, 200.0]","(1.6, inf]",,0
"(200.0, inf]","(0.0, 0.6]",,0
"(200.0, inf]","(0.6, 0.8]",,0
"(200.0, inf]","(0.8, 1.0]",,0
"(200.0, inf]","(1.0, 1.3]",,0
"(200.0, inf]","(1.3, 1.6]",,0
"(200.0, inf]","(1.6, inf]",,0
