pt5_bin,dr_bin,mean,count
"(0.0, 40.0]","(0.0, 0.6]",0.4988179669030733,846
"(0.0, 40.0]","(0.6, 0.8]",0.5228290062667861,1117
"(0.0, 40.0]","(0.8, 1.0]",0.5948717948717949,975
"(0.0, 40.0]","(1.0, 1.3]",0.7103244837758113,1695
"(0.0, 40.0]","(1.3, 1.6]",0.7198275862068966,1392
"(0.0, 40.0]","(1.6, inf]",0.47622237106496984,1493
"(40.0, 60.0]","(0.0, 0.6]",0.5066225165562914,906
"(40.0, 60.0]","(0.6, 0.8]",0.5629194630872483,1192
"(40.0, 60.0]","(0.8, 1.0]",0.6524390243902439,1148
"(40.0, 60.0]","(1.0, 1.3]",0.6873638344226579,1836
"(40.0, 60.0]","(1.3, 1.6]",0.6902654867256637,1356
"(40.0, 60.0]","(1.6, inf]",0.4158907510862818,1611
"(60.0, 80.0]","(0.0, 0.6]",0.5527638190954773,199
"(60.0, 80.0]","(0.6, 0.8]",0.6220472440944882,254
"(60.0, 80.0]","(0.8, 1.0]",0.6933333333333334,300
"(60.0, 80.0]","(1.0, 1.3]",0.7050938337801609,373
"(60.0, 80.0]","(1.3, 1.6]",0.5800865800865801,231
"(60.0, 80.0]","(1.6, inf]",0.34185303514376997,313
"(80.0, 120.0]","(0.0, 0.6]",0.5142857142857142,35
"(80.0, 120.0]","(0.6, 0.8]",0.6222222222222222,45
"(80.0, 120.0]","(0.8, 1.0]",0.5918367346938775,49
"(80.0, 120.0]","(1.0, 1.3]",0.5306122448979592,49
"(80.0, 120.0]","(1.3, 1.6]",0.2857142857142857,35
"(80.0, 120.0]","(1.6, inf]",0.3,60
"(120.0, 200.0]","(0.0, 0.6]",0.6666666666666666,3
"(120.0, 200.0]","(0.6, 0.8]",0.0,1
"(120.0, 200.0]","(0.8, 1.0]",0.0,1
"(120.0, 200.0]","(1.0, 1.3]",0.0,1
"(120.0, 200.0]","(1.3, 1.6]",,0
"(120.0, 200.0]","(1.6, inf]",0.0,4
"(200.0, inf]","(0.0, 0.6]",,0
"(200.0, inf]","(0.6, 0.8]",,0
"(200.0, inf]","(0.8, 1.0]",,0
"(200.0, inf]","(1.0, 1.3]",,0
"(200.0, inf]","(1.3, 1.6]",,0
"(200.0, inf]","(1.6, inf]",,0
