rule,sig_eff,ttbar_rej,allbkg_rej,n_sig_after,n_ttbar_after,n_allbkg_after,kind
pT_H1<406.12 AND pT_H2<391.98,0.9831010644134752,0.5555555555555556,0.2909090909090909,26877,12,78,2cut
pT_H1<406.12 AND HT<910.32,0.9768828413621566,0.5555555555555556,0.2909090909090909,26707,12,78,2cut
pT_H1<406.12 AND jet1_pt<454.78,0.9844544423717034,0.5555555555555556,0.26363636363636367,26914,12,81,2cut
pT_H1 < 406.115,0.9858078203299316,0.5185185185185186,0.24545454545454548,26951,13,83,1cut
jet1_pt < 454.783,0.994037821427265,0.5185185185185186,0.24545454545454548,27176,13,83,1cut
jet1_pt<454.78 AND pT_H2<391.98,0.9888437762902813,0.5185185185185186,0.2727272727272727,27034,13,80,2cut
jet1_pt<454.78 AND HT<910.32,0.9817842642379019,0.5185185185185186,0.2727272727272727,26841,13,80,2cut
HT<910.32 AND pT_H2<391.98,0.9804674640623285,0.5185185185185186,0.26363636363636367,26805,13,81,2cut
mHH < 1063.191,0.9141153663264933,0.5185185185185186,0.30000000000000004,24991,13,77,1cut
met_pt < 106.867,0.9043125205750028,0.5185185185185186,0.8090909090909091,24723,13,21,1cut
jet2_pt < 309.106,0.9930502212955851,0.5185185185185186,0.24545454545454548,27149,13,83,1cut
pT_H2 < 391.978,0.991879732250631,0.5185185185185186,0.23636363636363633,27117,13,84,1cut
HT < 910.316,0.9822597754124145,0.5185185185185186,0.26363636363636367,26854,13,81,1cut
jet1_pt < 901.221,0.9999268444346904,0.2592592592592593,0.09999999999999998,27337,20,99,1cut
HT < 2093.844,0.9999634222173451,0.2592592592592593,0.09090909090909094,27338,20,100,1cut
pT_H1 < 901.115,0.9998902666520355,0.2592592592592593,0.09999999999999998,27336,20,99,1cut
jet2_pt < 705.039,0.9999268444346904,0.2592592592592593,0.09090909090909094,27337,20,100,1cut
met_pt < 160.829,0.9786385749295877,0.2592592592592593,0.7181818181818183,26755,20,31,1cut
mHH < 2130.096,0.9973663996488533,0.2592592592592593,0.09999999999999998,27267,20,99,1cut
DeltaR_bb_H1 > 0.817,0.913383810673397,0.2592592592592593,0.18181818181818177,24971,20,90,1cut
pT_H2 < 801.688,0.9999268444346904,0.2592592592592593,0.09090909090909094,27337,20,100,1cut
