process,event_uid,score,u,n_selected_jets,HT,mHH,pT_H1,pT_H2,pt5
signal,signal|63|816,1.0,inf,5,385.08880615234375,436.2124190216976,124.77373573640827,125.27453979070138,35.12835693359375
signal,signal|53|1921,1.0,inf,5,403.8750305175781,391.4909132008741,131.25391751788595,147.40562898901865,31.29353904724121
signal,signal|94|1545,1.0,inf,5,419.5805358886719,377.5112031303849,110.41200577772379,56.530611548376804,46.411808013916016
signal,signal|50|1799,1.0,inf,5,348.052734375,427.66072800475484,82.89649459571152,114.09327103105929,31.908349990844727
signal,signal|94|1157,1.0,inf,6,576.7947387695312,558.471463664423,184.4806799073264,208.08314090956975,40.417598724365234
signal,signal|173|1115,1.0,inf,5,388.7288513183594,939.8479723154445,95.03678381918152,136.7984010939443,34.238643646240234
signal,signal|51|1329,1.0,inf,5,878.4310302734375,1256.924895009953,239.7529264305961,314.77337152563,30.555770874023438
signal,signal|14|1371,1.0,inf,4,509.5581359863281,531.2554184605949,292.0449392889191,172.4553361092737,0.0
signal,signal|91|1991,1.0,inf,5,455.0138854980469,629.3249527149794,129.41142007181858,147.0821662427857,31.445158004760742
signal,signal|14|1980,1.0,inf,5,390.6648864746094,362.4936599898991,133.7092498603263,132.7417684070633,45.82991409301758
signal,signal|91|768,1.0,inf,5,394.9715270996094,457.0355430796462,160.49785000563247,100.15390746471536,40.54146957397461
signal,signal|91|502,1.0,inf,5,395.3074951171875,577.3004899845785,109.207198693066,109.52832678614911,40.861427307128906
signal,signal|15|1846,1.0,inf,5,431.7621154785156,372.42782080530486,198.85834666079174,125.28950261532954,55.22299575805664
signal,signal|148|198,1.0,inf,5,396.37591552734375,521.6536645649031,101.3037247609189,150.38194340045138,39.51810836791992
signal,signal|156|1818,1.0,inf,5,354.0604248046875,381.1295503112089,161.6344020778654,137.03615186439552,38.81842803955078
signal,signal|172|395,1.0,inf,5,407.6368103027344,448.94587871396624,179.93633813185798,129.0254440535032,36.267303466796875
signal,signal|54|1007,1.0,inf,5,561.1641845703125,763.8058290564287,126.73348928339267,123.05520101129285,36.72980880737305
signal,signal|54|1640,1.0,inf,5,446.0092468261719,441.45729750876757,144.32542675283977,131.09698616523244,59.72875213623047
signal,signal|56|166,1.0,inf,6,406.8495178222656,438.67191380639105,91.81488580926016,123.93008991756858,44.08566665649414
signal,signal|157|1929,1.0,inf,5,581.5150756835938,585.8199319912712,284.4286305177502,239.4254168071181,50.80767822265625
signal,signal|171|1081,1.0,inf,6,666.7200317382812,1326.3437902605215,110.22277379211168,117.56647039114942,50.39210891723633
signal,signal|158|2364,1.0,inf,5,479.0170593261719,511.7187737226302,196.40459421510374,123.86901546223805,31.34615707397461
signal,signal|16|1632,1.0,inf,4,390.564208984375,464.15263142175314,179.99128240591523,135.28954970819606,0.0
signal,signal|193|924,1.0,inf,5,580.5502319335938,727.2885654250608,300.68170218031173,207.22374409398967,62.593753814697266
signal,signal|94|1752,1.0,inf,5,503.3272399902344,738.7686971748233,102.22698908805593,31.367215658797296,35.71207046508789
signal,signal|94|1898,1.0,inf,5,466.386962890625,534.0983575509969,184.22562087567243,181.58891807881625,30.419050216674805
signal,signal|93|989,1.0,inf,5,573.5292358398438,958.5143742867832,123.10528047994256,119.29233020685585,37.959171295166016
signal,signal|154|2075,1.0,inf,5,339.7330322265625,282.49729361911596,119.4316586262146,47.28490926367718,45.57795715332031
signal,signal|195|2398,1.0,inf,5,426.7134704589844,522.2123206309867,135.62398583297946,172.42451215615318,57.92915725708008
