tail_proxy_definition,n_pos_in_proxy,variable,univariate_AUC_vs_tail_proxy,direction_of_correlation,spearman_rho_vs_u_2M,generation_level_availability
top0.1pct_proxy,175,probB_leading4_mean,0.9876,positive,0.6298,B_after_Delphes_btag
top0.1pct_proxy,175,sumprobB_leading4,0.9876,positive,0.6298,B_after_Delphes_btag
top0.1pct_proxy,175,probL_leading4_mean,0.9765,negative,-0.5111,B_after_Delphes_btag
top0.1pct_proxy,175,minprobB_leading4,0.8753,positive,0.0587,B_after_Delphes_btag
top0.1pct_proxy,175,HT_over_mHH,0.8302,positive,0.3321,C_after_HH_pairing (needs m_HH)
top0.1pct_proxy,175,deltaR_bb_max,0.7581,negative,-0.1965,C_after_HH_pairing
top0.1pct_proxy,175,maxprobB_leading4,0.7437,positive,0.5109,B_after_Delphes_btag
top0.1pct_proxy,175,pT_pair2_H2,0.7015,positive,0.1974,C_after_HH_pairing
top0.1pct_proxy,175,jet3_pt,0.6966,positive,0.1856,B_after_Delphes_reco_jets
top0.1pct_proxy,175,pT_pair1_H1,0.6908,positive,0.2064,C_after_HH_pairing
top0.1pct_proxy,175,deltaR_bb_min,0.6742,negative,-0.0971,C_after_HH_pairing
top0.1pct_proxy,175,probC_leading4_mean,0.6741,negative,-0.2672,B_after_Delphes_btag
top0.1pct_proxy,175,jet2_pt,0.6714,positive,0.1855,B_after_Delphes_reco_jets
top0.1pct_proxy,175,R_HH,0.6662,negative,-0.0862,C_after_HH_pairing
top0.1pct_proxy,175,jet4_pt,0.6597,positive,0.133,B_after_Delphes_reco_jets
top0.1pct_proxy,175,HT,0.6576,positive,0.2,B_after_Delphes_reco_jets
top0.1pct_proxy,175,m_HH,0.6251,negative,-0.1399,C_after_HH_pairing
top0.1pct_proxy,175,jet5_pt,0.6175,positive,0.0987,B_after_Delphes_reco_jets
top0.1pct_proxy,175,m_bb1,0.6128,negative,-0.0305,C_after_HH_pairing
top0.1pct_proxy,175,m_bb2,0.5911,negative,-0.0087,C_after_HH_pairing
top0.1pct_proxy,175,leading_jet_pt,0.5787,positive,0.1087,B_after_Delphes_reco_jets
top0.1pct_proxy,175,jet1_pt,0.5787,positive,0.1087,B_after_Delphes_reco_jets
top0.1pct_proxy,175,mass_asymmetry,0.5664,negative,-0.0738,C_after_HH_pairing
top0.1pct_proxy,175,n_selected_jets,0.5255,negative,0.041,B_after_Delphes_reco_jets
top0.5pct_proxy,873,probB_leading4_mean,0.9659,positive,0.6298,B_after_Delphes_btag
top0.5pct_proxy,873,sumprobB_leading4,0.9659,positive,0.6298,B_after_Delphes_btag
top0.5pct_proxy,873,probL_leading4_mean,0.9463,negative,-0.5111,B_after_Delphes_btag
top0.5pct_proxy,873,HT_over_mHH,0.8045,positive,0.3321,C_after_HH_pairing (needs m_HH)
top0.5pct_proxy,873,minprobB_leading4,0.7708,positive,0.0587,B_after_Delphes_btag
top0.5pct_proxy,873,maxprobB_leading4,0.7173,positive,0.5109,B_after_Delphes_btag
top0.5pct_proxy,873,deltaR_bb_max,0.7047,negative,-0.1965,C_after_HH_pairing
top0.5pct_proxy,873,pT_pair1_H1,0.6753,positive,0.2064,C_after_HH_pairing
top0.5pct_proxy,873,pT_pair2_H2,0.6747,positive,0.1974,C_after_HH_pairing
top0.5pct_proxy,873,deltaR_bb_min,0.6633,negative,-0.0971,C_after_HH_pairing
top0.5pct_proxy,873,jet3_pt,0.646,positive,0.1856,B_after_Delphes_reco_jets
top0.5pct_proxy,873,HT,0.6437,positive,0.2,B_after_Delphes_reco_jets
top0.5pct_proxy,873,jet2_pt,0.6395,positive,0.1855,B_after_Delphes_reco_jets
top0.5pct_proxy,873,probC_leading4_mean,0.6296,negative,-0.2672,B_after_Delphes_btag
top0.5pct_proxy,873,m_HH,0.6256,negative,-0.1399,C_after_HH_pairing
top0.5pct_proxy,873,R_HH,0.6255,negative,-0.0862,C_after_HH_pairing
top0.5pct_proxy,873,jet5_pt,0.6128,positive,0.0987,B_after_Delphes_reco_jets
top0.5pct_proxy,873,jet4_pt,0.6095,positive,0.133,B_after_Delphes_reco_jets
top0.5pct_proxy,873,m_bb1,0.6065,negative,-0.0305,C_after_HH_pairing
top0.5pct_proxy,873,m_bb2,0.5712,negative,-0.0087,C_after_HH_pairing
top0.5pct_proxy,873,leading_jet_pt,0.5673,positive,0.1087,B_after_Delphes_reco_jets
top0.5pct_proxy,873,jet1_pt,0.5673,positive,0.1087,B_after_Delphes_reco_jets
top0.5pct_proxy,873,n_selected_jets,0.5297,positive,0.041,B_after_Delphes_reco_jets
top0.5pct_proxy,873,mass_asymmetry,0.5275,negative,-0.0738,C_after_HH_pairing
top1pct_proxy,1745,probB_leading4_mean,0.9554,positive,0.6298,B_after_Delphes_btag
top1pct_proxy,1745,sumprobB_leading4,0.9554,positive,0.6298,B_after_Delphes_btag
top1pct_proxy,1745,probL_leading4_mean,0.9279,negative,-0.5111,B_after_Delphes_btag
top1pct_proxy,1745,HT_over_mHH,0.7781,positive,0.3321,C_after_HH_pairing (needs m_HH)
top1pct_proxy,1745,minprobB_leading4,0.7245,positive,0.0587,B_after_Delphes_btag
top1pct_proxy,1745,maxprobB_leading4,0.7057,positive,0.5109,B_after_Delphes_btag
top1pct_proxy,1745,deltaR_bb_max,0.6713,negative,-0.1965,C_after_HH_pairing
top1pct_proxy,1745,pT_pair1_H1,0.6487,positive,0.2064,C_after_HH_pairing
top1pct_proxy,1745,pT_pair2_H2,0.6478,positive,0.1974,C_after_HH_pairing
top1pct_proxy,1745,HT,0.63,positive,0.2,B_after_Delphes_reco_jets
top1pct_proxy,1745,deltaR_bb_min,0.624,negative,-0.0971,C_after_HH_pairing
top1pct_proxy,1745,jet3_pt,0.6228,positive,0.1856,B_after_Delphes_reco_jets
top1pct_proxy,1745,probC_leading4_mean,0.6215,negative,-0.2672,B_after_Delphes_btag
top1pct_proxy,1745,m_HH,0.6209,negative,-0.1399,C_after_HH_pairing
top1pct_proxy,1745,jet2_pt,0.6201,positive,0.1855,B_after_Delphes_reco_jets
top1pct_proxy,1745,R_HH,0.6036,negative,-0.0862,C_after_HH_pairing
top1pct_proxy,1745,jet4_pt,0.5967,positive,0.133,B_after_Delphes_reco_jets
top1pct_proxy,1745,jet5_pt,0.5913,positive,0.0987,B_after_Delphes_reco_jets
top1pct_proxy,1745,m_bb1,0.574,negative,-0.0305,C_after_HH_pairing
top1pct_proxy,1745,leading_jet_pt,0.5605,positive,0.1087,B_after_Delphes_reco_jets
top1pct_proxy,1745,jet1_pt,0.5605,positive,0.1087,B_after_Delphes_reco_jets
top1pct_proxy,1745,m_bb2,0.5554,negative,-0.0087,C_after_HH_pairing
top1pct_proxy,1745,n_selected_jets,0.5448,positive,0.041,B_after_Delphes_reco_jets
top1pct_proxy,1745,mass_asymmetry,0.5324,negative,-0.0738,C_after_HH_pairing
