score_set	target_class	diagonal_target_cell	n_events	top1_exact_count	top3_count	top5_count	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	mean_chebyshev_distance	mean_target_rank
model0	0	True	15	0	2	4	0.0	0.13333333333333333	0.26666666666666666	0.13333333333333333	0.2	9.733333333333333	54.266666666666666
model0	1	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	6.2	43.8
model0	2	False	5	0	2	4	0.0	0.4	0.8	0.6	0.8	3.6	17.8
model0	3	False	5	1	2	2	0.2	0.4	0.4	0.4	0.8	2.4	10.4
model0	4	False	5	0	3	3	0.0	0.6	0.6	0.4	0.4	2.4	12.4
model0	5	False	5	0	3	3	0.0	0.6	0.6	0.8	0.8	2.0	16.2
model0	6	False	5	2	4	4	0.4	0.8	0.8	0.8	0.8	1.6	11.8
model0	7	False	5	1	2	4	0.2	0.4	0.8	0.6	0.8	2.4	3.8
model0	8	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	1.6	10.0
model0	9	False	5	1	1	2	0.2	0.2	0.4	0.4	0.8	2.2	11.2
model0	10	False	5	0	2	2	0.0	0.4	0.4	0.6	0.6	4.0	18.6
model0	11	False	5	1	3	4	0.2	0.6	0.8	0.8	0.8	3.0	12.4
model0	12	False	5	0	2	4	0.0	0.4	0.8	0.4	0.6	3.8	15.2
model0	13	False	5	0	2	2	0.0	0.4	0.4	0.2	0.6	3.0	5.2
model0	14	False	5	2	4	4	0.4	0.8	0.8	0.8	0.8	1.2	20.8
model0	15	False	5	2	4	4	0.4	0.8	0.8	0.6	0.8	3.2	15.2
model0	16	True	15	0	2	2	0.0	0.13333333333333333	0.13333333333333333	0.5333333333333333	0.5333333333333333	5.466666666666667	59.53333333333333
model0	17	False	5	1	3	4	0.2	0.6	0.8	0.6	0.6	4.6	27.4
model0	18	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	5.0	18.8
model0	19	False	5	1	1	1	0.2	0.2	0.2	0.4	0.4	7.0	32.8
model0	20	False	5	1	1	1	0.2	0.2	0.2	0.4	0.4	5.6	39.4
model0	21	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	3.2	40.0
model0	22	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	3.8	57.2
model0	23	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	3.0	32.4
model0	24	False	5	1	3	3	0.2	0.6	0.6	0.6	0.8	3.0	17.6
model0	25	False	5	0	0	0	0.0	0.0	0.0	0.4	1.0	1.6	24.8
model0	26	False	5	0	1	2	0.0	0.2	0.4	0.4	0.6	2.2	10.2
model0	27	False	5	1	1	1	0.2	0.2	0.2	0.2	0.4	5.2	28.2
model0	28	False	5	0	3	3	0.0	0.6	0.6	0.4	0.8	1.8	20.6
model0	29	False	5	0	0	1	0.0	0.0	0.2	0.4	1.0	1.6	17.2
model0	30	False	5	0	1	3	0.0	0.2	0.6	0.4	0.6	4.0	7.8
model0	31	True	15	0	1	2	0.0	0.06666666666666667	0.13333333333333333	0.2	0.26666666666666666	6.866666666666666	59.333333333333336
model0	32	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	3.2	7.2
model0	33	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	5.2	35.2
model0	34	False	5	0	1	1	0.0	0.2	0.2	0.0	0.6	5.0	20.2
model0	35	False	5	0	1	3	0.0	0.2	0.6	0.4	0.8	2.0	10.0
model0	36	False	5	1	1	2	0.2	0.2	0.4	0.2	0.4	3.4	43.8
model0	37	False	5	0	1	2	0.0	0.2	0.4	0.4	0.8	2.6	10.0
model0	38	False	5	0	2	2	0.0	0.4	0.4	0.6	0.6	3.0	36.8
model0	39	False	5	0	0	0	0.0	0.0	0.0	0.4	0.6	3.8	39.2
model0	40	False	5	0	0	1	0.0	0.0	0.2	0.0	0.0	4.0	31.6
model0	41	False	5	1	2	2	0.2	0.4	0.4	0.6	1.0	1.2	8.8
model0	42	False	5	0	0	1	0.0	0.0	0.2	0.0	0.2	7.4	48.6
model0	43	False	5	1	2	3	0.2	0.4	0.6	0.4	0.6	2.8	11.4
model0	44	False	5	3	3	3	0.6	0.6	0.6	0.8	0.8	1.0	4.8
model0	45	True	15	0	5	6	0.0	0.3333333333333333	0.4	0.6666666666666666	0.6666666666666666	3.1333333333333333	29.066666666666666
model0	46	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.4	17.6
model0	47	False	5	1	2	2	0.2	0.4	0.4	0.4	0.6	3.2	11.2
model0	48	False	5	0	1	2	0.0	0.2	0.4	0.4	0.4	3.8	35.2
model0	49	False	5	2	2	2	0.4	0.4	0.4	0.8	1.0	0.8	10.8
model0	50	False	5	0	1	1	0.0	0.2	0.2	0.2	0.2	5.4	47.2
model0	51	False	5	2	2	2	0.4	0.4	0.4	0.8	0.8	1.8	9.0
model0	52	False	5	2	3	3	0.4	0.6	0.6	0.8	0.8	1.0	23.6
model0	53	False	5	1	1	2	0.2	0.2	0.4	0.2	0.6	2.2	22.0
model0	54	False	5	0	1	3	0.0	0.2	0.6	0.6	1.0	1.4	6.8
model0	55	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	2.6	14.6
model0	56	False	5	0	1	2	0.0	0.2	0.4	0.4	0.4	5.0	31.2
model0	57	False	5	1	2	3	0.2	0.4	0.6	0.4	0.8	3.2	5.4
model0	58	True	15	2	6	7	0.13333333333333333	0.4	0.4666666666666667	0.6	0.6666666666666666	2.6	17.0
model0	59	False	5	2	3	3	0.4	0.6	0.6	0.8	1.0	0.8	9.8
model0	60	False	5	1	1	2	0.2	0.2	0.4	0.6	0.6	4.0	41.0
model0	61	False	5	0	1	2	0.0	0.2	0.4	0.2	0.4	3.2	14.6
model0	62	False	5	2	4	4	0.4	0.8	0.8	1.0	1.0	0.6	3.0
model0	63	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.0	39.4
model0	64	False	5	1	1	1	0.2	0.2	0.2	0.6	0.8	1.8	15.6
model0	65	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	3.2	39.6
model0	66	False	5	1	1	2	0.2	0.2	0.4	0.4	0.6	2.0	16.0
model0	67	False	5	0	1	1	0.0	0.2	0.2	0.2	0.6	4.0	28.0
model0	68	False	5	0	2	4	0.0	0.4	0.8	0.8	0.8	1.6	21.2
model0	69	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	2.4	5.6
model0	70	True	15	1	4	8	0.06666666666666667	0.26666666666666666	0.5333333333333333	0.6666666666666666	0.8666666666666667	2.2666666666666666	19.2
model0	71	False	5	3	4	4	0.6	0.8	0.8	0.8	1.0	0.6	11.6
model0	72	False	5	0	1	1	0.0	0.2	0.2	0.4	1.0	1.6	9.2
model0	73	False	5	0	1	2	0.0	0.2	0.4	0.8	0.8	2.2	17.0
model0	74	False	5	1	1	1	0.2	0.2	0.2	0.4	0.4	2.8	16.2
model0	75	False	5	1	1	1	0.2	0.2	0.2	0.4	0.6	2.6	40.8
model0	76	False	5	2	2	2	0.4	0.4	0.4	0.8	0.8	1.2	6.6
model0	77	False	5	1	1	1	0.2	0.2	0.2	0.2	0.4	2.6	36.8
model0	78	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	27.0
model0	79	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	3.0	17.6
model0	80	False	5	0	2	4	0.0	0.4	0.8	0.8	0.8	2.6	9.4
model0	81	True	15	0	1	4	0.0	0.06666666666666667	0.26666666666666666	0.4666666666666667	0.6	3.1333333333333333	35.86666666666667
model0	82	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	5.0
model0	83	False	5	0	2	2	0.0	0.4	0.4	0.4	0.4	4.0	20.4
model0	84	False	5	0	0	1	0.0	0.0	0.2	0.4	0.8	2.4	15.4
model0	85	False	5	2	3	3	0.4	0.6	0.6	0.6	0.8	1.8	11.2
model0	86	False	5	1	1	3	0.2	0.2	0.6	0.6	0.8	1.4	24.6
model0	87	False	5	1	1	2	0.2	0.2	0.4	0.6	0.8	2.4	14.0
model0	88	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	1.8	19.2
model0	89	False	5	0	3	4	0.0	0.6	0.8	0.6	1.0	1.4	4.8
model0	90	False	5	0	1	1	0.0	0.2	0.2	0.6	0.6	4.0	8.2
model0	91	True	15	2	3	4	0.13333333333333333	0.2	0.26666666666666666	0.5333333333333333	0.6666666666666666	2.8	26.0
model0	92	False	5	1	2	2	0.2	0.4	0.4	0.4	0.8	2.4	29.4
model0	93	False	5	0	1	2	0.0	0.2	0.4	0.2	0.6	2.4	16.0
model0	94	False	5	1	3	4	0.2	0.6	0.8	1.0	1.0	0.8	5.2
model0	95	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	2.6	13.2
model0	96	False	5	0	0	1	0.0	0.0	0.2	0.0	0.6	3.2	18.0
model0	97	False	5	0	1	3	0.0	0.2	0.6	0.4	0.6	2.8	18.4
model0	98	False	5	0	0	0	0.0	0.0	0.0	0.2	0.2	3.8	21.4
model0	99	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	2.6	15.0
model0	100	True	15	0	3	8	0.0	0.2	0.5333333333333333	0.8	0.8	2.066666666666667	23.6
model0	101	False	5	2	3	3	0.4	0.6	0.6	0.6	0.6	2.0	8.8
model0	102	False	5	1	2	2	0.2	0.4	0.4	0.4	0.4	4.2	39.0
model0	103	False	5	0	1	1	0.0	0.2	0.2	0.2	0.8	2.0	22.2
model0	104	False	5	0	0	0	0.0	0.0	0.0	0.0	0.0	4.8	22.2
model0	105	False	5	0	0	0	0.0	0.0	0.0	0.0	0.2	4.8	19.8
model0	106	False	5	0	0	0	0.0	0.0	0.0	0.0	0.0	4.0	30.6
model0	107	False	5	0	1	1	0.0	0.2	0.2	0.2	0.4	3.8	26.8
model0	108	True	15	0	4	6	0.0	0.26666666666666666	0.4	0.4666666666666667	0.6	2.8	30.466666666666665
model0	109	False	5	2	3	4	0.4	0.6	0.8	0.8	1.0	0.8	3.8
model0	110	False	5	0	1	3	0.0	0.2	0.6	0.8	0.8	1.8	12.0
model0	111	False	5	0	1	3	0.0	0.2	0.6	0.6	0.6	2.0	14.2
model0	112	False	5	0	1	1	0.0	0.2	0.2	0.2	0.8	2.6	16.4
model0	113	False	5	0	1	1	0.0	0.2	0.2	0.4	0.4	2.6	15.0
model0	114	False	5	0	1	2	0.0	0.2	0.4	0.6	0.6	2.4	21.2
model0	115	True	15	0	1	3	0.0	0.06666666666666667	0.2	0.4	0.6	3.4	33.86666666666667
model0	116	False	5	0	2	2	0.0	0.4	0.4	0.6	0.8	1.6	7.6
model0	117	False	5	0	0	0	0.0	0.0	0.0	0.2	0.6	3.2	26.6
model0	118	False	5	0	1	1	0.0	0.2	0.2	0.4	0.6	2.2	13.8
model0	119	False	5	0	3	4	0.0	0.6	0.8	0.8	0.8	1.4	5.2
