score_set	file_slot	n_events	top1_exact_fraction	top3_fraction	top5_fraction	within_chebyshev_1_fraction	within_chebyshev_2_fraction	mean_signal_probability	diagonal_top5_fraction	off_diagonal_top5_fraction
model0	0	168	0.10714285714285714	0.2916666666666667	0.375	0.47619047619047616	0.6309523809523809	0.8891189195394411	0.3333333333333333	0.39166666666666666
model0	1	168	0.10714285714285714	0.27380952380952384	0.3869047619047619	0.44047619047619047	0.6130952380952381	0.9048455046171805	0.2708333333333333	0.43333333333333335
model0	2	168	0.08333333333333333	0.23214285714285715	0.34523809523809523	0.44047619047619047	0.6011904761904762	0.8914384371450045	0.20833333333333334	0.4
model0	3	168	0.10119047619047619	0.30357142857142855	0.3869047619047619	0.5059523809523809	0.6607142857142857	0.9192883872347237	0.3333333333333333	0.4083333333333333
model0	4	168	0.10119047619047619	0.27976190476190477	0.39285714285714285	0.47023809523809523	0.6428571428571429	0.9141194006049558	0.3333333333333333	0.4166666666666667
model1	0	168	0.13095238095238096	0.2857142857142857	0.36904761904761907	0.4583333333333333	0.6071428571428571	0.8845904706487162	0.2708333333333333	0.4083333333333333
model1	1	168	0.11904761904761904	0.22023809523809523	0.36904761904761907	0.4523809523809524	0.5952380952380952	0.90068959094389	0.22916666666666666	0.425
model1	2	168	0.05952380952380952	0.21428571428571427	0.32142857142857145	0.44047619047619047	0.5833333333333334	0.8836995749679734	0.1875	0.375
model1	3	168	0.125	0.2857142857142857	0.3869047619047619	0.4880952380952381	0.6666666666666666	0.923949362870929	0.2916666666666667	0.425
model1	4	168	0.10119047619047619	0.30357142857142855	0.4166666666666667	0.4583333333333333	0.5833333333333334	0.9145465903810139	0.3541666666666667	0.44166666666666665
model2	0	168	0.1130952380952381	0.26785714285714285	0.35714285714285715	0.42857142857142855	0.6130952380952381	0.8914319007162684	0.2916666666666667	0.38333333333333336
model2	1	168	0.1130952380952381	0.25595238095238093	0.36904761904761907	0.44642857142857145	0.6071428571428571	0.8998276353348073	0.25	0.4166666666666667
model2	2	168	0.07142857142857142	0.22023809523809523	0.32142857142857145	0.4166666666666667	0.5952380952380952	0.8848119909996329	0.22916666666666666	0.35833333333333334
model2	3	168	0.09523809523809523	0.27380952380952384	0.375	0.44642857142857145	0.6607142857142857	0.9253566595287163	0.3125	0.4
model2	4	168	0.10714285714285714	0.2619047619047619	0.3869047619047619	0.44047619047619047	0.6130952380952381	0.9157947455434128	0.3333333333333333	0.4083333333333333
ensemble	0	168	0.10714285714285714	0.27976190476190477	0.38095238095238093	0.4523809523809524	0.6011904761904762	0.8883804303014752	0.3125	0.4083333333333333
ensemble	1	168	0.1130952380952381	0.25595238095238093	0.3869047619047619	0.47023809523809523	0.6309523809523809	0.9017875769652927	0.2708333333333333	0.43333333333333335
ensemble	2	168	0.08928571428571429	0.24404761904761904	0.3333333333333333	0.42857142857142855	0.6190476190476191	0.8866500010375369	0.1875	0.39166666666666666
ensemble	3	168	0.10714285714285714	0.2976190476190476	0.39880952380952384	0.5059523809523809	0.6785714285714286	0.9228648032114561	0.3333333333333333	0.425
ensemble	4	168	0.1130952380952381	0.2857142857142857	0.4107142857142857	0.47023809523809523	0.625	0.9148202455097941	0.3333333333333333	0.44166666666666665
