artifact_type	source_path	checkpoint_name	size_bytes	sha256	copied_to_repository
comparison_readme	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/README.md	README.md	1311	a70e28e71212e717b4eb818b5e994d268f9c72daf9741927306ed29a7ffc3278	true
input_inventory_json	/tmp/iturkmen_track_b_four_control_preflight_20260804_v1/four_control_input_inventory.json	four_control_input_inventory.json	11608	ac503233a2e414aa38ad745d50c117676b804f36ae60350a81d9d4e9d1f443bd	true
input_inventory_tsv	/tmp/iturkmen_track_b_four_control_preflight_20260804_v1/four_control_input_inventory.tsv	four_control_input_inventory.tsv	2669	113441facfe152958647e2f0bdbd126f1d4b094e1a58817321eed2b05d50ba8e	true
comparison_receipt	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_comparison.json	four_control_comparison.json	12493	a052a91c587b8e493333c46988763937af0669b9f9663a54baad916d8def843b	true
comparison_summary	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_summary.tsv	four_control_summary.tsv	1090	1fcede59a6e473ac851b816f1c280e6c101d7ac3633f812676e9804bf20164eb	true
top1_response_table	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_top1_response.tsv	four_control_top1_response.tsv	382	f53c34f83d494d8d0c9c496173a4d9494f960358fbac8615b584302c410c30aa	true
probability_quantiles_table	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_probability_quantiles.tsv	four_control_probability_quantiles.tsv	1208	f2a84016ded7a14e89c0aa3b5304960e2734f0af0b2670d5b4281fbadb2aa97a	true
threshold_counts_table	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_threshold_counts.tsv	four_control_threshold_counts.tsv	609	79d3477580b1c5952253bdae5c02140845c1f63f90889307c64ac02ce38bc523	true
mean_probability_plot	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_mean_probabilities.svg	four_control_mean_probabilities.svg	5530	85277261fb3647a9b5372b96b91967cd4e544be9794fbb8eb34e8f1500261db1	true
top1_response_plot	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_top1_response.svg	four_control_top1_response.svg	5300	ff283f8a8d5338a92cbddb75f434cf8e7210c1089a7ab07c6a92f5d5bf627a70	true
signal_probability_ecdf	/tmp/iturkmen_track_b_four_control_comparison_20260804_v1/four_control_signal_probability_ecdf.svg	four_control_signal_probability_ecdf.svg	11815	4352c0cefefca209f0d0322cc0811e3b709e8208fc9ff81e8894a6bc07429d14	true
