branch	typename
pass_selection	int32_t
pass_4j3b_selection	int32_t
pass_4j2b_selection	int32_t
pass_boosted_trigger	int32_t
HT	float
pfcand_sum_mass	float
pfcand_sum_HT	float
pfcand_sum_pt	float
pfcand_sum_eta	float
pfcand_sum_phi	float
pfcand_sum_energy	float
gen_higgs1_pt	float
gen_higgs1_eta	float
gen_higgs1_phi	float
gen_higgs1_mass	float
gen_higgs2_pt	float
gen_higgs2_eta	float
gen_higgs2_phi	float
gen_higgs2_mass	float
gen_dihiggs_mass	float
gen_dihiggs_HT	float
jet_pt	std::vector<float>
jet_eta	std::vector<float>
jet_phi	std::vector<float>
jet_energy	std::vector<float>
jet_mass	std::vector<float>
jet_hadronFlavor	std::vector<int32_t>
jet_partonFlavor	std::vector<int32_t>
jet_flavor	std::vector<int32_t>
jet_nparticles	std::vector<float>
jet_sophonAK4_probB	std::vector<float>
jet_sophonAK4_probC	std::vector<float>
jet_sophonAK4_probL	std::vector<float>
fj_pt	std::vector<float>
fj_eta	std::vector<float>
fj_phi	std::vector<float>
fj_energy	std::vector<float>
fj_mass	std::vector<float>
fj_sdmass	std::vector<float>
fj_trmass	std::vector<float>
fj_nparticles	std::vector<float>
fj_sophon_probXbb	std::vector<float>
fj_sophon_probXcc	std::vector<float>
fj_sophon_probXqq	std::vector<float>
fj_sophon_probXbc	std::vector<float>
fj_sophon_probXcs	std::vector<float>
fj_sophon_probXbq	std::vector<float>
fj_sophon_probXcq	std::vector<float>
fj_sophon_probXbqq	std::vector<float>
fj_sophon_probQCD	std::vector<float>
lep_pt	std::vector<float>
lep_eta	std::vector<float>
lep_phi	std::vector<float>
lep_energy	std::vector<float>
lep_charge	std::vector<int32_t>
lep_pid	std::vector<int32_t>
lep_iso	std::vector<float>
met_pt	float
met_phi	float
part_label	std::vector<int32_t>
part_fjlabel	std::vector<int32_t>
part_px	std::vector<float>
part_py	std::vector<float>
part_pz	std::vector<float>
part_energy	std::vector<float>
part_mass	std::vector<float>
part_pt	std::vector<float>
part_eta	std::vector<float>
part_phi	std::vector<float>
part_charge	std::vector<int32_t>
part_pid	std::vector<int32_t>
part_d0val	std::vector<float>
part_d0err	std::vector<float>
part_dzval	std::vector<float>
part_dzerr	std::vector<float>
part_dr	std::vector<float>
part_deta	std::vector<float>
part_dphi	std::vector<float>
gen_bhadron_fromhh	std::vector<int32_t>
gen_bhadron_px	std::vector<float>
gen_bhadron_py	std::vector<float>
gen_bhadron_pz	std::vector<float>
gen_bhadron_energy	std::vector<float>
gen_bhadron_mass	std::vector<float>
gen_bhadron_pt	std::vector<float>
gen_bhadron_eta	std::vector<float>
gen_bhadron_phi	std::vector<float>
gen_bhadron_charge	std::vector<int32_t>
gen_bhadron_pid	std::vector<int32_t>
genpart_pt	std::vector<float>
genpart_eta	std::vector<float>
genpart_phi	std::vector<float>
genpart_energy	std::vector<float>
genpart_pid	std::vector<int32_t>
process_index	int32_t
gen_weight	std::vector<float>
