output_index_zero_based	paper_class_number_one_based	matrix_i	matrix_j	first_mass_cell_low_gev	first_mass_cell_high_gev	second_mass_cell_low_gev	second_mass_cell_high_gev	first_dcb_cell_center_gev	second_dcb_cell_center_gev	unordered_cell_pair	released_code_triangle
0	1	0	0	40	50	40	50	45.0	45.0	[40,50)x[40,50)	i<=j (mathematical upper triangle)
1	2	0	1	40	50	50	60	45.0	55.0	[40,50)x[50,60)	i<=j (mathematical upper triangle)
2	3	0	2	40	50	60	70	45.0	65.0	[40,50)x[60,70)	i<=j (mathematical upper triangle)
3	4	0	3	40	50	70	80	45.0	75.0	[40,50)x[70,80)	i<=j (mathematical upper triangle)
4	5	0	4	40	50	80	90	45.0	85.0	[40,50)x[80,90)	i<=j (mathematical upper triangle)
5	6	0	5	40	50	90	100	45.0	95.0	[40,50)x[90,100)	i<=j (mathematical upper triangle)
6	7	0	6	40	50	100	110	45.0	105.0	[40,50)x[100,110)	i<=j (mathematical upper triangle)
7	8	0	7	40	50	110	120	45.0	115.0	[40,50)x[110,120)	i<=j (mathematical upper triangle)
8	9	0	8	40	50	120	130	45.0	125.0	[40,50)x[120,130)	i<=j (mathematical upper triangle)
9	10	0	9	40	50	130	140	45.0	135.0	[40,50)x[130,140)	i<=j (mathematical upper triangle)
10	11	0	10	40	50	140	150	45.0	145.0	[40,50)x[140,150)	i<=j (mathematical upper triangle)
11	12	0	11	40	50	150	160	45.0	155.0	[40,50)x[150,160)	i<=j (mathematical upper triangle)
12	13	0	12	40	50	160	170	45.0	165.0	[40,50)x[160,170)	i<=j (mathematical upper triangle)
13	14	0	13	40	50	170	180	45.0	175.0	[40,50)x[170,180)	i<=j (mathematical upper triangle)
14	15	0	14	40	50	180	190	45.0	185.0	[40,50)x[180,190)	i<=j (mathematical upper triangle)
15	16	0	15	40	50	190	200	45.0	195.0	[40,50)x[190,200)	i<=j (mathematical upper triangle)
16	17	1	1	50	60	50	60	55.0	55.0	[50,60)x[50,60)	i<=j (mathematical upper triangle)
17	18	1	2	50	60	60	70	55.0	65.0	[50,60)x[60,70)	i<=j (mathematical upper triangle)
18	19	1	3	50	60	70	80	55.0	75.0	[50,60)x[70,80)	i<=j (mathematical upper triangle)
19	20	1	4	50	60	80	90	55.0	85.0	[50,60)x[80,90)	i<=j (mathematical upper triangle)
20	21	1	5	50	60	90	100	55.0	95.0	[50,60)x[90,100)	i<=j (mathematical upper triangle)
21	22	1	6	50	60	100	110	55.0	105.0	[50,60)x[100,110)	i<=j (mathematical upper triangle)
22	23	1	7	50	60	110	120	55.0	115.0	[50,60)x[110,120)	i<=j (mathematical upper triangle)
23	24	1	8	50	60	120	130	55.0	125.0	[50,60)x[120,130)	i<=j (mathematical upper triangle)
24	25	1	9	50	60	130	140	55.0	135.0	[50,60)x[130,140)	i<=j (mathematical upper triangle)
25	26	1	10	50	60	140	150	55.0	145.0	[50,60)x[140,150)	i<=j (mathematical upper triangle)
26	27	1	11	50	60	150	160	55.0	155.0	[50,60)x[150,160)	i<=j (mathematical upper triangle)
27	28	1	12	50	60	160	170	55.0	165.0	[50,60)x[160,170)	i<=j (mathematical upper triangle)
