sampling_mode	purpose	sample_group	process_family	selection_rank_within_group	available_file_count_in_group	selected_file_count_in_group	remote_path	remote_size_bytes	remote_adler32	identity_status	deterministic_rank_sha256	target_valid_events_per_file	physical_weight_status
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	1	381	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid160.root	971396190	96d5d1b9	complete	00cc262192d2321f6fd9891685f4c7674baea75e75324768ae9eeef74b71dfac	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	2	381	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid84.root	975017116	bcf013f9	complete	00d2b8f8e9d377c6842734787f7a4af222c602fe09aa488a1da3879cff22f027	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	3	381	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid354.root	970362034	72d3bddd	complete	021b43d6c58189ce82603698e7f1fd43097d0eb1ecd4b31c8e3c2564d83a22a9	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer2_merged_ntuple	qcd	4	381	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer2_merged_ntuple/QCD_DelphesHH4JTrig_forInfer2_ntuple_mergeid369.root	973458943	fe6fcc9f	complete	022af2ef3b91c4da7f76c7ab7fcfdb80457c68fb00f9413b276e0365972d9e7d	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	1	176	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid136.root	969162870	ec6e2765	complete	001007770e00d949a08076d5e33dc110f56793645c46fd30f3df98dd92f95102	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	2	176	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid118.root	975041693	ac524e84	complete	0032b397c58af10eb3b92b908953882b36bf1c5e94dd57a929d360b63af86c1d	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	3	176	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid82.root	974395354	6006c30d	complete	034888777a4e97ec5bd577cc690c2afa87b3021372af7e699d94c145a7257b97	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	qcd	4	176	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid16.root	970780955	2bcc80eb	complete	034b6e1d3704ba8c0de64ec723ca64330f2894f2d54df083780fd707b1ff9e59	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	SingleHiggs_ntuple	single_higgs	1	7	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/SingleHiggs_ntuple/selected_ntuples_0006.root	102267108	f0bc6d68	complete	18ae9f677c6ddc65c9a047f6b3f96eaba2f9d5ed372482a6fa050c4e52d50c1a	256	blocked_pending_author_clarification
balanced_control_multifile_v1	Equal per-file event target across every accessible sample group for process and file-stability control studies.	SingleHiggs_ntuple	single_higgs	2	7	4	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/SingleHiggs_ntuple/selected_ntuples_0003.root	986894486	5def2b49	complete	1bd1af0002551ad3e2b25773c8f3a44d1d94126e1907b6dfa071b23a790c27d6	256	blocked_pending_author_clarification
