canary_lane	canary_sample_group	remote_path	remote_size_bytes	remote_adler32	selection_rank_within_group	deterministic_rank_sha256	identity_status	physical_weight_status	is_published_canary_file	within_maximum_file_bytes	eligible_for_replication	exclusion_reason
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid1.root	969674887	f6ebd6b5	1	071c1bce4d308f11bd799a13573628f33fb786415c04c65abae41f967805176f	complete	blocked_pending_author_clarification	False	True	True	
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid62.root	970883574	a635adbc	2	093e33be70afea78e7cb9197a8c005fabb164c7cd522089b5f16e33de27f9ae2	complete	blocked_pending_author_clarification	False	True	True	
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid128.root	963892408	0aaf934b	3	0953011dd991bca4b7f746ecf71741f0d7af92f7ad8d5287f0e61a9991c47f22	complete	blocked_pending_author_clarification	True	True	False	published_canary_file
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid35.root	966455560	1646496e	4	0aa02096b1c9b569ef3d5348a5dc5192a1c00f3d6492792d48901f455b8e7f4f	complete	blocked_pending_author_clarification	False	True	True	
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid98.root	967341166	bbb92d1e	5	0c0ec5ecd46a92d314a641c6cd2475bb1c6d068e1b30fdee93d50b921dec9587	complete	blocked_pending_author_clarification	False	True	True	
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid153.root	967958463	63888c12	6	0c328c91f411811be0f2e03ba5d8f0571a98257c8af028b96272a0e2b3ae0988	complete	blocked_pending_author_clarification	False	True	True	
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid125.root	976197583	1d36d41d	7	1505b72763207055577f5ba1eb999d358d8f536b2f9c08555cdef534a326bcde	complete	blocked_pending_author_clarification	False	True	True	
qcd	QCD_DelphesHH4JTrig_forInfer_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/QCD_DelphesHH4JTrig_forInfer_merged_ntuple/QCD_DelphesHH4JTrig_forInfer_ntuple_mergeid172.root	972472943	84ca1212	8	154d8fdda398e510427f632b9f26f8f0caaaca540d6680a56c6f19ca474cd55a	complete	blocked_pending_author_clarification	False	True	True	
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0045.root	1355253655	5ee51885	1	014ce107a1280f5d941054150293bfc3a44c69d393519c85b4a97cca7a25ef68	complete	blocked_pending_author_clarification	False	True	True	
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0036.root	1355222248	90c6c23b	2	02c34b010953be2f6ec17e281b001d14e34e39bfe3c8ab787653d6f156eadc6a	complete	blocked_pending_author_clarification	False	True	True	
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0002.root	1357207237	d6813779	3	03526c2004e41005b374db312279d4ff04dbaeb8dd83b5174dc817009cd02230	complete	blocked_pending_author_clarification	False	True	True	
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0037.root	1354590819	e98b74b9	4	0395e53339c9608a2e5df424210df381c9ffc8ccdc268854dd3a933678239e17	complete	blocked_pending_author_clarification	True	True	False	published_canary_file
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0021.root	1356765167	8efc4d1e	5	0a66f22fa1b50dad3ebe86c869b69a99b4efdc421d27ffea5d1265f7b7416dce	complete	blocked_pending_author_clarification	False	True	True	
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0009.root	1355513010	2e5c6daf	6	0f6a4ed7ca788cfcf6c1c1d075ed20cdcc56775ef517628bf2e75556ed2f7691	complete	blocked_pending_author_clarification	False	True	True	
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0017.root	1356833017	b0cba725	7	139f269e31b0cbb6569b641f208d541a21b2b6ee3ad16624955feaa39a0263eb	complete	blocked_pending_author_clarification	False	True	True	
ttbar	TTbar_forInfer_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/TTbar_forInfer_ntuple/selected_ntuples_0019.root	1355988764	fe1fc31f	8	184ba24c40d13c4c53589e352d0253476a4fa4dc72a8cc53e5c34c5bf825f156	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id500-999.root	1763435733	c5d36b3f	1	11cf381535cd2f58523e3a5e66b45d9e50ed50f62b062677b528d1cf3b930a06	complete	blocked_pending_author_clarification	False	True	True	
zjets	ZJetsToQQ_DelphesHH4JTrig_merged_ntuple	/eos/ihep/cms/store/user/coli/datasets/hh4b/inference/ZJetsToQQ_DelphesHH4JTrig_merged_ntuple/ZJetsToQQ_DelphesHH4JTrig_ntuple_id0-499.root	1759940750	aa7186e9	2	193de740ff0d7750913f3bed6c6ba98763f04e8a9bb95e0586a5a622e1479d25	complete	blocked_pending_author_clarification	False	True	True	
