category	metric	variant	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
0	signal_yield	mass_aware	22.813452955999725	22.772369209757418	22.755844788468195	1.0415607972834677	21.74586254152334	23.830969309706088	20.737890481149858	24.797330631115358	1000	0	{}	22.755844788468195	21.74586254152334	23.830969309706088	1000	True	common_paired_source_member_bootstrap_p16_p84
1	signal_yield	mass_aware	7.943014813894008	7.978402857417879	7.991183338651732	0.8316709238276595	7.102217982135413	8.798624564281306	6.384391309528915	9.549439570842795	1000	0	{}	7.991183338651732	7.102217982135413	8.798624564281306	1000	True	common_paired_source_member_bootstrap_p16_p84
2	signal_yield	mass_aware	4.840981119006377	4.850351948696512	4.834394628342867	0.39169823982154145	4.454481635792367	5.257445191704851	4.119193838190794	5.653814032750698	1000	0	{}	4.834394628342867	4.454481635792367	5.257445191704851	1000	True	common_paired_source_member_bootstrap_p16_p84
3	signal_yield	mass_aware	7.889806052787328	7.889713147250906	7.878180108331067	0.38775773525560586	7.4949861035359175	8.282200644657541	7.15651096059516	8.674134345554343	1000	0	{}	7.878180108331067	7.4949861035359175	8.282200644657541	1000	True	common_paired_source_member_bootstrap_p16_p84
4	signal_yield	mass_aware	9.341342288318822	9.336629584105337	9.354578647353533	0.48946163618143335	8.835494975536289	9.789368023885041	8.34229434294906	10.267944137407904	1000	0	{}	9.354578647353533	8.835494975536289	9.789368023885041	1000	True	common_paired_source_member_bootstrap_p16_p84
5	signal_yield	mass_aware	26.408771290591634	26.380783834301	26.39614963983453	0.7450096709548508	25.657791457550267	27.092950857838012	24.855219492827388	27.862072482211246	1000	0	{}	26.39614963983453	25.657791457550267	27.092950857838012	1000	True	common_paired_source_member_bootstrap_p16_p84
0	ordinary_background_yield	mass_aware	220145.26468265255	220178.17229625292	219779.5345710965	8268.442300465256	211725.97967471383	228726.4643731974	203744.10190365542	236562.2931270229	1000	0	{}	219779.5345710965	211725.97967471383	228726.4643731974	1000	True	common_paired_source_member_bootstrap_p16_p84
1	ordinary_background_yield	mass_aware	56095.059399916936	56256.53198161897	56001.722564109026	6533.441022068696	49742.29091706291	62958.680031570926	44116.91415714962	69506.48154802703	1000	0	{}	56001.722564109026	49742.29091706291	62958.680031570926	1000	True	common_paired_source_member_bootstrap_p16_p84
2	ordinary_background_yield	mass_aware	16902.0504736155	16870.604945599764	16800.80624393605	1488.5016861658755	15405.559116373997	18368.615878065422	14224.003027150668	19988.92083084712	1000	0	{}	16800.80624393605	15405.559116373997	18368.615878065422	1000	True	common_paired_source_member_bootstrap_p16_p84
3	ordinary_background_yield	mass_aware	19115.796588555397	19096.938490216082	19125.350263528017	1431.5239448906475	17700.744115876878	20460.123434403497	16261.411212414561	21964.258567979887	1000	0	{}	19125.350263528017	17700.744115876878	20460.123434403497	1000	True	common_paired_source_member_bootstrap_p16_p84
4	ordinary_background_yield	mass_aware	16592.96336591825	16604.469847945682	16577.494859768874	1503.7138821882404	15084.558024281418	18072.589535374984	13729.701584790613	19573.817078615022	1000	0	{}	16577.494859768874	15084.558024281418	18072.589535374984	1000	True	common_paired_source_member_bootstrap_p16_p84
