variable	category	bin_low	bin_high	central_value	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind	variant
mbb1	0	40.0	50.0	0.039314407148401745	0.03901678684998454	0.027001382201196168	0.05218895908521507	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	50.0	60.0	0.06114306110581351	0.0594559898918433	0.04176080663363208	0.08123312186003813	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	60.0	70.0	0.023388199529766646	0.023243524445863174	0.01483283922202856	0.03328626079832121	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	70.0	80.0	0.06149291831883292	0.06074495999525384	0.04323476995667985	0.08218468548213335	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	80.0	90.0	0.08019445241636824	0.0792237274613613	0.05371435828949357	0.10583039600452387	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	90.0	100.0	0.04281590707821851	0.042180296079172036	0.026152248896320878	0.059540617000606505	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	100.0	110.0	0.06735488525106281	0.06593346863602131	0.040491812880483244	0.09307659060292726	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	110.0	120.0	0.014857461249906148	0.013876334041610766	0.008205065193084561	0.021555055087565052	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	120.0	130.0	0.06363256760439691	0.06288252747781203	0.04773091136767279	0.08161942497165083	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	130.0	140.0	0.0946686122185055	0.09269154194427026	0.0683563130074389	0.12334086620193727	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	140.0	150.0	0.09478110942281645	0.09318533086966296	0.06819054544533329	0.11792811776153844	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	150.0	160.0	0.0942149859287928	0.09220581111960649	0.06949940448734263	0.11798053603202856	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	160.0	170.0	0.05225876881593719	0.05042553610496368	0.037127747962067845	0.06535921385443336	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	170.0	180.0	0.0649445583680675	0.06372306183432305	0.04531982028672749	0.08353131577491549	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	180.0	190.0	0.050042268297757	0.04660711511129992	0.03148861524408996	0.06731113516124441	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	190.0	200.0	0.03631784880494895	0.034995050251981075	0.02376888107376929	0.04876462231308099	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	200.0	210.0	0.02021680544560103	0.019242794165487187	0.012459245277205672	0.0274203198871913	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	210.0	220.0	0.013626204938454284	0.013122015830992578	0.007937255738768165	0.01944131100704824	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	220.0	230.0	0.008697642432381015	0.00823990818816344	0.0025864988037677377	0.014979212272851147	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	0	230.0	240.0	0.016037335623970816	0.015239561872315115	0.008077775197416858	0.023570464094154298	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	40.0	50.0	0.0008507387393559042	0.0007891529461425547	0.00026305550268185024	0.0016915964540412751	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	50.0	60.0	0.0008185361625625569	0.0007303592722088274	0.00022389322658614917	0.0015170452336524256	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	60.0	70.0	0.0011053467768648503	0.0010690429101797318	0.00043553055452445565	0.00210743946197165	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	70.0	80.0	0.001288176454594045	0.0012359406646739758	0.000556401354688125	0.002350569731474756	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	80.0	90.0	0.003729257472658566	0.0036929179568858635	0.0023813039534370467	0.005704057715947568	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	90.0	100.0	0.010208524573089687	0.010395820168927589	0.007109442615230522	0.015127819337262694	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	100.0	110.0	0.405520811272012	0.4011616566353712	0.22726796341104644	0.5565577725378376	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	110.0	120.0	0.1531782304230362	0.13897193151651915	0.057698181519077504	0.24993033141439486	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	120.0	130.0	0.2316599494456202	0.2247985153891765	0.11223195615137832	0.34221341207111167	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	130.0	140.0	0.06783336337861887	0.06076259858917736	0.018026597597777992	0.12388055226626372	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	140.0	150.0	0.08570294042173118	0.08186614949456486	0.0074338997497399514	0.163942934041238	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	150.0	160.0	0.004700673048843694	0.004186443260265467	0.001096325655893378	0.00866889935510265	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	160.0	170.0	0.025691813486452563	0.022827383990780117	0.004600086963094486	0.04965957789475143	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	170.0	180.0	6.807199132318571e-05	6.732443318560594e-05	3.6217088550263926e-05	0.00011474270662024777	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	180.0	190.0	6.180066587961117e-05	6.090474729351515e-05	3.2416017966723394e-05	0.00010365390705567771	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	190.0	200.0	3.6098745784673965e-05	3.351447005041511e-05	1.3489867076948805e-05	6.755162418400989e-05	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	200.0	210.0	0.0035067056768244864	0.003118906717690508	5.4163995764535006e-05	0.007124573516005985	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	210.0	220.0	0.0005689389296712012	0.0005047144856919547	2.8064681113425244e-05	0.0012314008647771012	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	220.0	230.0	3.6224148147623215e-05	3.5940307349100975e-05	1.4104032882842378e-05	6.950321175008259e-05	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb1	5	230.0	240.0	0.0034337981869289845	0.0032550892565155953	4.601562368454265e-06	0.0078067639656782565	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	40.0	50.0	0.008942376216210987	0.008511764978754843	0.002834603264133026	0.015301156811025063	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	50.0	60.0	0.02018449507287591	0.019790047266952916	0.011488360071335137	0.030077302696442976	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	60.0	70.0	0.03138034462610226	0.029711426593238773	0.0144245154095333	0.0476205355583694	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	70.0	80.0	0.11979404237055608	0.11547596349858412	0.08265179866338439	0.15560814644124438	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	80.0	90.0	0.04095010466561157	0.039300014430369234	0.023677880845040692	0.056942350833811106	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	90.0	100.0	0.05639990075373629	0.05542457761712506	0.035526757564759724	0.07646954089363033	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	100.0	110.0	0.037184392858477334	0.03547442073064125	0.024638736714348894	0.04740695401676315	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	110.0	120.0	0.0661649571199036	0.06449704504360103	0.04245644388516909	0.0888158141211756	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	120.0	130.0	0.12162635326155875	0.11987171919130153	0.09092699525763868	0.15039243886760523	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	130.0	140.0	0.11633430874464833	0.11452837823098588	0.08967066630360307	0.14565865512639828	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	140.0	150.0	0.09288403285641941	0.09105493588091843	0.06794777087444509	0.11550006897444312	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	150.0	160.0	0.07117582816316206	0.06949981153360847	0.05098536655887977	0.09288121647120147	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	160.0	170.0	0.06837420479312735	0.06743544870908047	0.052167345179070304	0.08517505572158787	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	170.0	180.0	0.026935328337653736	0.025575358712431533	0.015687449597197665	0.037900722217054594	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	180.0	190.0	0.04425411758064774	0.042230052656603054	0.02453662911517216	0.06224126586807602	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	190.0	200.0	0.022734630106871274	0.022367207285671497	0.014910058282125879	0.03142477700142379	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	200.0	210.0	0.020226626820458823	0.020078043971781208	0.011390489375606123	0.029621871957852024	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	210.0	220.0	0.019280427080269197	0.018554606486380056	0.010199707962934327	0.028442380457215685	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	220.0	230.0	0.0014442866387025333	0.0014514118711509041	0.0012036391308613257	0.0017062654354127668	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	0	230.0	240.0	0.013729241933006713	0.012810469858739737	0.006526663230151315	0.021416602590906955	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	40.0	50.0	0.0010412096050626122	0.0009496226884817859	0.0003654756956143942	0.001960235219082112	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	50.0	60.0	0.0005514769474793292	0.0004677801289557281	3.731853434705944e-05	0.0010959318511858111	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	60.0	70.0	0.05006809578208962	0.04439103674864865	0.0025487556255727626	0.09149431387140046	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	70.0	80.0	0.0035248537838326877	0.003518889803592157	0.0022075178434089724	0.005411737264807461	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	80.0	90.0	0.015246996334199975	0.015157074473149828	0.009819236242787154	0.023118212700190915	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	90.0	100.0	0.014901834040177938	0.015169853675687756	0.010969567521203564	0.021549162631898346	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	100.0	110.0	0.09464679547149181	0.08838530068462702	0.021041919469170525	0.17409935640192145	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
mbb2	5	110.0	120.0	0.3831256398892716	0.38305034981240305	0.2601062139225718	0.5326308984461358	1000	True	source_member_bootstrap_unit_shape_p16_p84	mass_aware
