figure_stem	png_dimensions	pdf_pages	pdf_render_pass	clipping	missing_glyphs	legend_overlap	scale_and_units	source_data_consistency	review_status
fig01_weighted_roc	1749x1452	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig02_oof_score_distributions	2836x1311	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig03_efficiency_background_rejection	1749x1452	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig04_nominal_za_scan	1801x1452	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig05_systematic_za_scan	1913x1887	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig06_bootstrap_za	1954x1318	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig07_nominal_baseline_comparison	4234x2282	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig08_earlier_current_metrics	2616x1802	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig09_population_change	1885x1472	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig10_selected_process_composition	3646x1409	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig11_transfer_factors	2098x1391	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig12_transfer_closure	2396x1822	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig13_rhh_distributions	1859x1455	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig14_higgs_mass_planes	3940x1391	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig15_mhh_promoted_jet_quality	3940x1366	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig16_unweighted_roc_appendix	1749x1452	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig17_multijet_systematic_nonclosure	4323x1355	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
fig18_raw_systematic_za_scan	1900x1476	1	pass	none	none	none	pass	quantile_and_support_audit_pass	pass
