table_id	path	caption	source_checkpoint	generation	placement
tab01	tables/tab01_train_source_inventory.tex	Frozen train-source and candidate inventory.	c7q-c7u	machine_generated	main_text
tab02	tables/tab02_fourb_population.tex	Authoritative $\geq4b$ development population.	c7q-c7u	machine_generated	main_text
tab03	tables/tab03_transfer_factors.tex	Frozen multijet transfer factors.	c7q-c7u	machine_generated	main_text
tab04	tables/tab04_multijet_nuisances.tex	Frozen multijet systematic components.	c7q-c7u	machine_generated	main_text
tab05	tables/tab05_baseline_metrics.tex	Unified frozen-model comparison with nominal and paired-bootstrap uncertainty values.	c7q-c7u	machine_generated	main_text
tab06	tables/tab06_earlier_current.tex	Historical aggregate diagnostic with uncertainty on every resampleable current value.	c7q-c7u	machine_generated	appendix_diagnostic
tab07	tables/tab07_process_composition.tex	Selected background composition grouped by frozen population kind.	c7q-c7u	machine_generated	appendix
tab08	tables/tab08_model_artifacts.tex	Frozen model artifact identities.	c7q-c7u	machine_generated	appendix
tab09	tables/tab09_transfer_closure.tex	Inclusive frozen multijet-transfer yields and secondary direct $\geq4b$ QCD closure.	c7q-c7u	machine_generated	appendix
tab09b	tables/tab09b_transfer_closure_ratios.tex	Inclusive frozen $3b\rightarrow{\geq4b}$ closure ratios.	c7q-c7u	machine_generated	appendix
tab10	tables/tab10_uncertainty_summary.tex	Baseline paired-bootstrap uncertainty summary.	c7q-c7v	machine_generated	main_text
tab10b	tables/tab10b_selected_yield_uncertainty.tex	Selected-yield paired-bootstrap uncertainty summary.	c7q-c7v	machine_generated	main_text
tab11	tables/tab11_paired_improvements.tex	All paired baseline-model differences.	c7q-c7v	machine_generated	appendix
tab11b	tables/tab11b_paired_positive_fraction.tex	Positive paired-difference replica fractions.	c7q-c7v	machine_generated	appendix
