model	component	central_yield	bootstrap_median_yield	bootstrap_p16_yield	bootstrap_p84_yield	central_fraction	bootstrap_median_fraction	bootstrap_p16_fraction	bootstrap_p84_fraction	total_central_yield	total_bootstrap_p16	total_bootstrap_p84	valid_replicas	support_flag	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
cut	Other	2286.1266757308554	2249.3140174282844	1834.6183885579508	2754.2034046496997	0.0024253390427152943	0.0023748083540105504	0.0018818888157697015	0.003077924566922559	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	2286.1266757308554	1834.6183885579508	2754.2034046496997	1000	True	paired_source_member_bootstrap_p16_p84
cut	Tchannel Antitop	966.3281187771358	966.0409452470122	551.8267488674787	1381.189000359096	0.001025172112912141	0.0009933769783805999	0.0005259717042484073	0.001569215626026001	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	966.3281187771358	551.8267488674787	1381.189000359096	1000	True	paired_source_member_bootstrap_p16_p84
cut	Tchannel Top	926.4028541185572	926.4028541185572	462.5492742248999	1391.5607396809721	0.0009828156222613177	0.0009630977219983647	0.0004187982013510315	0.0017016356196998983	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	926.4028541185572	462.5492742248999	1391.5607396809721	1000	True	paired_source_member_bootstrap_p16_p84
cut	Transferred QCD	822051.9325452247	811657.9351185565	689311.0372495987	969295.7129896864	0.8721103114306238	0.8712757005585539	0.8503254320090112	0.8901868979282056	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	822051.9325452247	689311.0372495987	969295.7129896864	1000	True	paired_source_member_bootstrap_p16_p84
cut	Ttbar Inclusive	108312.8880147965	108308.84469169602	104834.21899648513	111450.79659307221	0.11490853893630103	0.1154012876745188	0.09866944005803147	0.13479086527566628	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	108312.8880147965	104834.21899648513	111450.79659307221	1000	True	paired_source_member_bootstrap_p16_p84
cut	Tth Hbb	985.7767128723157	985.7767128723157	464.681344700129	1506.8720810445025	0.0010458050179412912	0.0010353425251501372	0.00046138121486401023	0.001774829924685986	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	985.7767128723157	464.681344700129	1506.8720810445025	1000	True	paired_source_member_bootstrap_p16_p84
cut	Tw Antitop	662.807123190277	662.1081442974431	331.7530510415554	994.2629329643573	0.0007031683811437397	0.0006778221382435982	0.0003442263268283683	0.0010871288041633162	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	662.807123190277	331.7530510415554	994.2629329643573	1000	True	paired_source_member_bootstrap_p16_p84
cut	Zbbbb	6408.601367530968	6411.702699283947	6296.749192826541	6521.285748049184	0.006798849456101337	0.006875990897652954	0.005869507388476934	0.007966621943034826	942600.8634122413	810409.6974396056	1091686.249972574	1000	True	6408.601367530968	6296.749192826541	6521.285748049184	1000	True	paired_source_member_bootstrap_p16_p84
bdt	Ggh Hbb	871.0827849214919	870.8601724857253	536.28036448435	1205.795226340562	0.0015211259964251188	0.0015017244979241777	0.0009374071662505998	0.002156426715381607	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	871.0827849214919	536.28036448435	1205.795226340562	1000	True	paired_source_member_bootstrap_p16_p84
bdt	Other	1554.0866835910256	1544.3584395293524	1212.7188996321388	1893.9248448773976	0.002713819737950009	0.002732287931410643	0.002012086653855007	0.0035431275436623296	572656.5629465745	468811.43014060816	681766.0024485774	1000	True	1554.0866835910256	1212.7188996321388	1893.9248448773976	1000	True	paired_source_member_bootstrap_p16_p84
