metric	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_format	bootstrap_unit
matchable_event_efficiency	0.617864410410196	0.6179536056371479	0.6181662809973465	0.0035244899175502207	0.6142730985523338	0.6214667057416609	0.6110287311507805	0.6246341845060204	1000	0	{}	median_asymmetric_p16_p84	source_member
ambiguity_fraction	0.0004284031273428296	0.0004388505307754795	0.00042760169024829765	0.00021215161732269448	0.00021467704119074602	0.000642946272572272	0.00010606647197423258	0.0008696857748398103	1000	0	{}	median_asymmetric_p16_p84	source_member
unmatched_fraction	0.38170718646246116	0.3816075438320767	0.38141056901833137	0.003536714438994785	0.3781243030938998	0.38523893444657115	0.3748254708065833	0.38855125511178057	1000	0	{}	median_asymmetric_p16_p84	source_member
learned_exact_event_pairing_accuracy	0.8478072456231582	0.8479608781999288	0.8478222930419608	0.004424163031427373	0.843484420845237	0.8524770538069212	0.8392325793057639	0.8568950713825081	1000	0	{}	median_asymmetric_p16_p84	source_member
learned_weighted_exact_event_pairing_accuracy	0.8501758188643815	0.8503074674920054	0.8501424767076107	0.004235097056966984	0.846143781693279	0.8545839086224459	0.8420140990738225	0.8585226426672429	1000	0	{}	median_asymmetric_p16_p84	source_member
learned_per_higgs_pairing_accuracy	0.8478072456231582	0.8479608781999288	0.8478222930419608	0.004424163031427373	0.843484420845237	0.8524770538069212	0.8392325793057639	0.8568950713825081	1000	0	{}	median_asymmetric_p16_p84	source_member
learned_per_jet_partner_accuracy	0.8478072456231582	0.8479608781999288	0.8478222930419608	0.004424163031427373	0.843484420845237	0.8524770538069212	0.8392325793057639	0.8568950713825081	1000	0	{}	median_asymmetric_p16_p84	source_member
geometric_exact_event_pairing_accuracy	0.8297798578609811	0.829683405729252	0.8297313020159547	0.00409470498577053	0.8256317375950696	0.833702552534917	0.8218474053946079	0.8379941202931971	1000	0	{}	median_asymmetric_p16_p84	source_member
geometric_weighted_exact_event_pairing_accuracy	0.8309569846739164	0.8308309059547883	0.8308410055729226	0.003954746515231788	0.826935616678419	0.8346017626427764	0.8229383857992177	0.8386121065914235	1000	0	{}	median_asymmetric_p16_p84	source_member
geometric_per_higgs_pairing_accuracy	0.8297798578609811	0.829683405729252	0.8297313020159547	0.00409470498577053	0.8256317375950696	0.833702552534917	0.8218474053946079	0.8379941202931971	1000	0	{}	median_asymmetric_p16_p84	source_member
geometric_per_jet_partner_accuracy	0.8297798578609811	0.829683405729252	0.8297313020159547	0.00409470498577053	0.8256317375950696	0.833702552534917	0.8218474053946079	0.8379941202931971	1000	0	{}	median_asymmetric_p16_p84	source_member
learned_mass_residual_MAE_GeV	18.013723595489882	18.017875625698434	18.013038159591545	0.179275995011321	17.845166005830908	18.201458115053583	17.66853789701394	18.382250900854455	1000	0	{}	median_asymmetric_p16_p84	source_member
geometric_mass_residual_MAE_GeV	16.52717595945509	16.529989502507654	16.530046806860895	0.15656750362930227	16.37325227309766	16.687963870872693	16.225369769666923	16.846099929008382	1000	0	{}	median_asymmetric_p16_p84	source_member
learned_mass_residual_RMS_GeV	24.64093110024972	24.643952031639135	24.641645215476675	0.48945027203312674	24.158587842879054	25.127699118161395	23.7512139307438	25.644064641658055	1000	0	{}	median_asymmetric_p16_p84	source_member
geometric_mass_residual_RMS_GeV	22.760412247297563	22.762240714241603	22.74997327101665	0.43110374214649305	22.318062145168845	23.19744505486431	21.94224570822897	23.679065250947737	1000	0	{}	median_asymmetric_p16_p84	source_member
