model	weighting	signal_efficiency	background_rejection_central	background_rejection_p16	background_rejection_p84	background_rejection_p2p5	background_rejection_p97p5	valid_replicas	support_pass
bdt	development_hierarchical	0.05	0.9974936567294381	0.9961638684632952	0.9987770228887648	0.9945646848581459	0.9994193933205406	1000	True
bdt	development_hierarchical	0.1	0.9933454328805388	0.9912021198263112	0.9953822520292527	0.9887238480992763	0.996883456650766	1000	True
bdt	development_hierarchical	0.15	0.9866780262299067	0.9827442566057049	0.9903976008851907	0.9774758235646688	0.9929181505236386	1000	True
bdt	development_hierarchical	0.2	0.9795674312399745	0.9754912649022298	0.9841446096098088	0.9704374249850874	0.9873347561937229	1000	True
bdt	development_hierarchical	0.25	0.9724239489802329	0.9667696787239239	0.976427321598476	0.9611744931269227	0.9800881388852325	1000	True
bdt	development_hierarchical	0.3	0.9644250702422789	0.9587545425883585	0.9689242947174675	0.95344633180912	0.9729365083582303	1000	True
bdt	development_hierarchical	0.35	0.9472758393640385	0.9416478962122437	0.9541728682790375	0.9342320301661288	0.9597553680227889	1000	True
bdt	development_hierarchical	0.39999999999999997	0.9328220303527717	0.9246790459452398	0.9402450709023598	0.9159908364815048	0.9469723699291346	1000	True
bdt	development_hierarchical	0.44999999999999996	0.8951364238370042	0.8779264181185737	0.9107792236778558	0.8606982950735244	0.9218839188354404	1000	True
bdt	development_hierarchical	0.49999999999999994	0.8643528515183558	0.8473187218467202	0.8814695114613856	0.8294751927661467	0.8941469629032568	1000	True
bdt	development_hierarchical	0.5499999999999999	0.8380876660351027	0.8197217143756429	0.8544381025116777	0.8015991846419446	0.8682822283797655	1000	True
bdt	development_hierarchical	0.6	0.7988708704216863	0.7792286272473107	0.8186318665874196	0.7589739466920695	0.834602103988108	1000	True
bdt	development_hierarchical	0.65	0.7527178173053168	0.7332032711110547	0.7759619031096452	0.7124567998282932	0.7906953086613889	1000	True
bdt	development_hierarchical	0.7	0.7034697080790941	0.6818475048953894	0.7270441155707124	0.6575491498182543	0.7437733194218316	1000	True
bdt	development_hierarchical	0.75	0.6437305354835764	0.6193778596729724	0.6704062152020808	0.5976107419084624	0.6919696560955548	1000	True
bdt	development_hierarchical	0.7999999999999999	0.5709664944672985	0.5446649121563442	0.599754295717669	0.5184502709118678	0.6272104005801582	1000	True
bdt	development_hierarchical	0.85	0.47069922671374664	0.44854591533039123	0.49903918973255856	0.4259843811382394	0.5217980693269932	1000	True
bdt	development_hierarchical	0.9	0.36258263891900355	0.3371061321697034	0.3929021279597498	0.30890584419263384	0.4195516004740572	1000	True
bdt	development_hierarchical	0.95	0.2210111632395868	0.19930381754467993	0.24242296827530593	0.18106257944527684	0.26563644621856225	1000	True
single_head	development_hierarchical	0.05	0.9822370893844575	0.9784077339214201	0.9859134060412814	0.973391846240366	0.9891335855754637	1000	True
single_head	development_hierarchical	0.1	0.9581741704102686	0.9509655104822592	0.9658371227248514	0.9453101761310283	0.972235845090702	1000	True
single_head	development_hierarchical	0.15	0.9166705438863698	0.9019655993419509	0.9369226357136982	0.8848259120019405	0.9471612513628282	1000	True
single_head	development_hierarchical	0.2	0.8990925129033502	0.8822619107613203	0.9148317714528903	0.8653750953354424	0.9270239652298043	1000	True
single_head	development_hierarchical	0.25	0.8676620832134159	0.8453634813313093	0.8847554018627234	0.8277172025302473	0.9036279509209464	1000	True
single_head	development_hierarchical	0.3	0.8408634545961358	0.819636584681751	0.8591293742267294	0.8010946673838053	0.8761243275559633	1000	True
single_head	development_hierarchical	0.35	0.820384831601122	0.7952544823734906	0.8359016245487032	0.7740556803168858	0.8560602879303905	1000	True
single_head	development_hierarchical	0.39999999999999997	0.7882873731187277	0.7655137000622211	0.805667680628786	0.7482489480469249	0.82588529948013	1000	True
single_head	development_hierarchical	0.44999999999999996	0.761446151244799	0.7382514845950648	0.7795265833204477	0.7201732056635638	0.8001084718959822	1000	True
single_head	development_hierarchical	0.49999999999999994	0.7129506951527862	0.6905392512169877	0.7381834715791513	0.6697349310710079	0.761632485671279	1000	True
single_head	development_hierarchical	0.5499999999999999	0.6809505908384699	0.6551619362750849	0.7037819277010307	0.6331658255151346	0.7271427931943236	1000	True
single_head	development_hierarchical	0.6	0.6266513688666222	0.6035408305495784	0.6516511350469739	0.5791780678112936	0.6751619793360081	1000	True
single_head	development_hierarchical	0.65	0.5911678734851902	0.5575298831433757	0.6115125815115302	0.5341676731042091	0.6354519803709824	1000	True
single_head	development_hierarchical	0.7	0.5339528998517415	0.509065567396904	0.555496380327777	0.4886599853166482	0.5785054617328093	1000	True
single_head	development_hierarchical	0.75	0.46589909614839864	0.44010805445059736	0.4998156142958919	0.4142684801589042	0.5242852539711308	1000	True
single_head	development_hierarchical	0.7999999999999999	0.39754853035997173	0.3656522939367036	0.4304689685138634	0.33911162624837854	0.4597721469424316	1000	True
single_head	development_hierarchical	0.85	0.33352367635063773	0.30204348536919284	0.36625394442510717	0.279283495895692	0.3970935787766271	1000	True
single_head	development_hierarchical	0.9	0.2724285205442537	0.23944329115013194	0.30428364767058425	0.21478338143082953	0.3350144026394846	1000	True
single_head	development_hierarchical	0.95	0.18191431691071003	0.15012130336027613	0.21063308444479872	0.12646047736638816	0.24032628624881103	1000	True
