figure	panel	series	bin_low	bin_high	central_value	weighted_statistical_uncertainty	bootstrap_median	bootstrap_p16	bootstrap_p84	valid_replicas	multijet_systematic_lower	multijet_systematic_upper	multijet_systematic_support	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
fig02	unit_shape	signal	0.0	0.03333333333333333	0.00021873097991479	0.00015513908296108718	0.00021873097991479	0.00010080645161290323	0.00035377358490566046	1000			not_applicable	0.00021873097991479	0.00010080645161290323	0.00035377358490566046	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.03333333333333333	0.06666666666666667	0.0008769532097633072	0.0003105229704162905	0.0008651972219457784	0.0006358809166345135	0.0011027372517648498	1000			not_applicable	0.0008769532097633072	0.0006358809166345135	0.0011027372517648498	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.06666666666666667	0.1	0.0007264740154212857	0.00027577922364402623	0.0007145561027162978	0.0004381682250364934	0.0010153343840896536	1000			not_applicable	0.0007264740154212857	0.0004381682250364934	0.0010153343840896536	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.1	0.13333333333333333	0.001977666306901304	0.0004561733328406177	0.0019689268333950307	0.0015197214831686456	0.0024456681704477005	1000			not_applicable	0.001977666306901304	0.0015197214831686456	0.0024456681704477005	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.13333333333333333	0.16666666666666666	0.003846354079963688	0.0006444368427172987	0.003837788869030215	0.0031894914883563276	0.004452063002100834	1000			not_applicable	0.003846354079963688	0.0031894914883563276	0.004452063002100834	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.16666666666666666	0.2	0.005877060436330976	0.0007972909049485539	0.005837204785601424	0.00496981478211141	0.006776447974552984	1000			not_applicable	0.005877060436330976	0.00496981478211141	0.006776447974552984	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.2	0.23333333333333334	0.008689118512658188	0.0009645636300673221	0.008675923131845764	0.007818410745054771	0.009535607383886608	1000			not_applicable	0.008689118512658188	0.007818410745054771	0.009535607383886608	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.23333333333333334	0.26666666666666666	0.012207611653089843	0.001154534870903243	0.01223112574320754	0.011105045049457845	0.013297719536622085	1000			not_applicable	0.012207611653089843	0.011105045049457845	0.013297719536622085	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.26666666666666666	0.3	0.016395129262060198	0.0013345784365446233	0.016341587718952742	0.01493528852671902	0.017692376264024125	1000			not_applicable	0.016395129262060198	0.01493528852671902	0.017692376264024125	1000	True	paired_source_member_bootstrap_p16_p84
fig02	unit_shape	signal	0.3	0.3333333333333333	0.01771483030407985	0.0013868363563048335	0.01764839053678962	0.01658987660482665	0.018834066602461518	1000			not_applicable	0.01771483030407985	0.01658987660482665	0.018834066602461518	1000	True	paired_source_member_bootstrap_p16_p84
