model	metric	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_format	bootstrap_unit	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
cut	weighted_auc	0.7383222020425906	0.737672113214897	0.7382970984105771	0.013531569620611639	0.7238644834628419	0.7510319595458663	0.7112565620043413	0.7627920564290094	1000	0	{}	median_asymmetric_p16_p84	source_member	0.7382970984105771	0.7238644834628419	0.7510319595458663	1000	True	paired_source_member_bootstrap_p16_p84
bdt	weighted_auc	0.7714696516085886	0.7712363032377111	0.7709832430327013	0.0096098470825415	0.7618945704679284	0.7812193726191982	0.7517410863712438	0.7900317140734535	1000	0	{}	median_asymmetric_p16_p84	source_member	0.7709832430327013	0.7618945704679284	0.7812193726191982	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	weighted_auc	0.7214607574655768	0.7217318514399769	0.7219880487572303	0.010718595987968477	0.7109333770330858	0.7322362093690415	0.7000190162164728	0.7424829075593029	1000	0	{}	median_asymmetric_p16_p84	source_member	0.7219880487572303	0.7109333770330858	0.7322362093690415	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	weighted_auc	0.6601779458020627	0.6601487186597617	0.6600307769236283	0.01550567471794332	0.6444900876039232	0.6762398147854866	0.6302944639920822	0.6902941537484274	1000	0	{}	median_asymmetric_p16_p84	source_member	0.6600307769236283	0.6444900876039232	0.6762398147854866	1000	True	paired_source_member_bootstrap_p16_p84
cut	nominal_asimov_ZA	0.05168233122760832	0.052064119970087336	0.05194607843772431	0.004097735850286478	0.047850511394315065	0.05601844264440543	0.04470127596643945	0.06048241842617494	1000	0	{}	median_asymmetric_p16_p84	source_member	0.05194607843772431	0.047850511394315065	0.05601844264440543	1000	True	paired_source_member_bootstrap_p16_p84
bdt	nominal_asimov_ZA	0.0635540927813342	0.06418988716040389	0.06369841500355196	0.006154918061544391	0.05813163014270017	0.07027486739618811	0.05358386617160889	0.07814619599156145	1000	0	{}	median_asymmetric_p16_p84	source_member	0.06369841500355196	0.05813163014270017	0.07027486739618811	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	nominal_asimov_ZA	0.057385211864261335	0.05790686457739382	0.05772057131361032	0.004688382966621321	0.05336461486716846	0.06256289730591034	0.04925111878733048	0.06788598318468808	1000	0	{}	median_asymmetric_p16_p84	source_member	0.05772057131361032	0.05336461486716846	0.06256289730591034	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	nominal_asimov_ZA	0.05210617245456651	0.05254837956091889	0.05222111686702567	0.0037744262280282274	0.04873852263569831	0.056275370879518116	0.04607960848604639	0.060736352667387014	1000	0	{}	median_asymmetric_p16_p84	source_member	0.05222111686702567	0.04873852263569831	0.056275370879518116	1000	True	paired_source_member_bootstrap_p16_p84
cut	systematic_aware_asimov_ZA	2.3620672288837465e-05	2.3212512036255244e-05	2.3515534156140832e-05	5.6937810777759985e-06	1.88569015253553e-05	2.7901729983100852e-05	7.94047987204837e-06	3.3633391025910275e-05	937	63	"{""fewer than 3 direct-QCD source groups"":63}"	median_asymmetric_p16_p84	source_member	2.3515534156140832e-05	1.88569015253553e-05	2.7901729983100852e-05	937	True	paired_source_member_bootstrap_p16_p84
bdt	systematic_aware_asimov_ZA	3.713309954838485e-05	3.873501309225888e-05	3.7762369760236686e-05	8.813149858524668e-06	3.0256697263772876e-05	4.714620447532851e-05	2.5371631905160384e-05	5.974012648688873e-05	865	135	"{""fewer than 3 direct-QCD source groups"":135}"	median_asymmetric_p16_p84	source_member	3.7762369760236686e-05	3.0256697263772876e-05	4.714620447532851e-05	865	True	paired_source_member_bootstrap_p16_p84
dense_dnn	systematic_aware_asimov_ZA	3.0455459669892325e-05	3.086948203434333e-05	3.063181201911938e-05	6.747163139115633e-06	2.527682922742694e-05	3.682762672111189e-05	1.9474229649047334e-05	4.41823965159747e-05	986	14	"{""fewer than 3 direct-QCD source groups"":14}"	median_asymmetric_p16_p84	source_member	3.063181201911938e-05	2.527682922742694e-05	3.682762672111189e-05	986	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	systematic_aware_asimov_ZA	2.5426345636026114e-05	2.6080182910770617e-05	2.5488245402322748e-05	4.696248196115516e-06	2.1978683881806876e-05	3.019834563201919e-05	1.928162706424134e-05	3.679964262162371e-05	986	14	"{""fewer than 3 direct-QCD source groups"":14}"	median_asymmetric_p16_p84	source_member	2.5488245402322748e-05	2.1978683881806876e-05	3.019834563201919e-05	986	True	paired_source_member_bootstrap_p16_p84
cut	signal_over_background	5.323313355328446e-05	5.434179874520002e-05	5.3708980635995226e-05	8.477216198681369e-06	4.56670384694717e-05	6.223151825207015e-05	4.01337206781736e-05	7.317716655071024e-05	1000	0	{}	median_asymmetric_p16_p84	source_member	5.3708980635995226e-05	4.56670384694717e-05	6.223151825207015e-05	1000	True	paired_source_member_bootstrap_p16_p84
bdt	signal_over_background	8.398514596893798e-05	8.643670678403078e-05	8.49478398557457e-05	1.664122702339132e-05	7.032846450038954e-05	0.0001021808474836129	6.004888240716612e-05	0.00012601298633939473	1000	0	{}	median_asymmetric_p16_p84	source_member	8.49478398557457e-05	7.032846450038954e-05	0.0001021808474836129	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	signal_over_background	6.908394733092538e-05	7.078351043963368e-05	6.989926139179477e-05	1.14527119078583e-05	5.96706809016959e-05	8.201112503687365e-05	5.12518631827617e-05	9.58706064207748e-05	1000	0	{}	median_asymmetric_p16_p84	source_member	6.989926139179477e-05	5.96706809016959e-05	8.201112503687365e-05	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	signal_over_background	5.686814923545112e-05	5.8111675337072804e-05	5.705700075018295e-05	8.270480225863365e-06	4.998046581625709e-05	6.596235487361194e-05	4.474503988891967e-05	7.716073215378031e-05	1000	0	{}	median_asymmetric_p16_p84	source_member	5.705700075018295e-05	4.998046581625709e-05	6.596235487361194e-05	1000	True	paired_source_member_bootstrap_p16_p84
cut	background_effective_events	45.79522835444936	46.45699668220362	45.97372701835259	6.788706256439637	39.93614540567578	53.25683051921678	34.577491631225314	60.67820524978602	1000	0	{}	median_asymmetric_p16_p84	source_member	45.97372701835259	39.93614540567578	53.25683051921678	1000	True	paired_source_member_bootstrap_p16_p84
bdt	background_effective_events	28.11643505960061	29.22484536922692	28.675118475946025	5.034902493808271	24.426055907107898	34.13828896376661	20.976464937793736	40.57272071257485	1000	0	{}	median_asymmetric_p16_p84	source_member	28.675118475946025	24.426055907107898	34.13828896376661	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	background_effective_events	39.982791262374924	41.182764942826545	41.10861313870562	6.668613012511433	34.609199931398464	47.510270248210745	28.850949048040953	55.67569145923638	1000	0	{}	median_asymmetric_p16_p84	source_member	41.10861313870562	34.609199931398464	47.510270248210745	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	background_effective_events	55.93278877750688	57.77415805024013	56.670077357696535	9.708999954955706	48.11039774587109	68.43025954343992	40.29020241569141	77.70887455879084	1000	0	{}	median_asymmetric_p16_p84	source_member	56.670077357696535	48.11039774587109	68.43025954343992	1000	True	paired_source_member_bootstrap_p16_p84
cut	transferred_qcd_fraction	0.8721103114306217	0.8695373869492239	0.8712757005585516	0.020607706905719815	0.8503254320090089	0.8901868979282034	0.8241292106261602	0.9042300907335522	1000	0	{}	median_asymmetric_p16_p84	source_member	0.8712757005585516	0.8503254320090089	0.8901868979282034	1000	True	paired_source_member_bootstrap_p16_p84
bdt	transferred_qcd_fraction	0.8542372564148268	0.8502450906049723	0.8527430538727612	0.02922051866486526	0.8231346984694164	0.8791104923565684	0.7844354181638714	0.8967514541836349	1000	0	{}	median_asymmetric_p16_p84	source_member	0.8527430538727612	0.8231346984694164	0.8791104923565684	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	transferred_qcd_fraction	0.8648597437850026	0.8617570960996013	0.8639857495354664	0.022815142256433257	0.8402309004134055	0.8832202177774241	0.811722382390431	0.899047903386537	1000	0	{}	median_asymmetric_p16_p84	source_member	0.8639857495354664	0.8402309004134055	0.8832202177774241	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	transferred_qcd_fraction	0.8477764481484029	0.8445784510432308	0.8472398236259221	0.0222170772002398	0.8231483872628577	0.8661234035367895	0.7947650792539847	0.8801697169507138	1000	0	{}	median_asymmetric_p16_p84	source_member	0.8472398236259221	0.8231483872628577	0.8661234035367895	1000	True	paired_source_member_bootstrap_p16_p84
