model	metric	nominal_full_oof	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	uncertainty_central	uncertainty_lower_68	uncertainty_upper_68	uncertainty_valid_replicas	uncertainty_support_flag	uncertainty_kind
cut	transferred_qcd_fraction	0.8721103114306217	0.8695373869492239	0.8712757005585516	0.020607706905719815	0.8503254320090089	0.8901868979282034	0.8241292106261602	0.9042300907335522	1000	0	{}	0.8712757005585516	0.8503254320090089	0.8901868979282034	1000	True	paired_source_member_bootstrap_p16_p84
bdt	transferred_qcd_fraction	0.8542372564148268	0.8502450906049723	0.8527430538727612	0.02922051866486526	0.8231346984694164	0.8791104923565684	0.7844354181638714	0.8967514541836349	1000	0	{}	0.8527430538727612	0.8231346984694164	0.8791104923565684	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	transferred_qcd_fraction	0.8648597437850026	0.8617570960996013	0.8639857495354664	0.022815142256433257	0.8402309004134055	0.8832202177774241	0.811722382390431	0.899047903386537	1000	0	{}	0.8639857495354664	0.8402309004134055	0.8832202177774241	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	transferred_qcd_fraction	0.8477764481484029	0.8445784510432308	0.8472398236259221	0.0222170772002398	0.8231483872628577	0.8661234035367895	0.7947650792539847	0.8801697169507138	1000	0	{}	0.8472398236259221	0.8231483872628577	0.8661234035367895	1000	True	paired_source_member_bootstrap_p16_p84
cut	score_domain_qcd_nonclosure	0.40543287571597414	3.541626074273321	0.5203521146238348	24.475692401009603	0.20991315256852078	0.7601276660806808	0.03862919312597103	18.905088271738016	1000	0	{}	0.5203521146238348	0.20991315256852078	0.7601276660806808	1000	True	paired_source_member_bootstrap_p16_p84
bdt	score_domain_qcd_nonclosure	0.7041830151241526	37.62491591303033	0.7076533883844105	556.3531437982671	0.44707704945521054	0.8335888053680339	0.06840540341855757	2.062106599033339	1000	0	{}	0.7076533883844105	0.44707704945521054	0.8335888053680339	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	score_domain_qcd_nonclosure	0.603612096786246	3.906395923582431	0.6374757485419815	54.51803914725374	0.3578335085713552	0.7929387645049788	0.06645821616571108	2.287399052316399	1000	0	{}	0.6374757485419815	0.3578335085713552	0.7929387645049788	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	score_domain_qcd_nonclosure	0.6681527785230239	1.6910960814912015	0.674821475969678	17.91259306433022	0.4583609369781385	0.7818822629738681	0.11461945270779872	0.8627581236281703	1000	0	{}	0.674821475969678	0.4583609369781385	0.7818822629738681	1000	True	paired_source_member_bootstrap_p16_p84
cut	multijet_relative	2.2536792864082464	4.809720996082411	2.2693404064959055	21.064902800541436	2.2107001710094845	2.3413783854466024	2.152218234104624	16.456375691791557	1000	0	{}	2.2693404064959055	2.2107001710094845	2.3413783854466024	1000	True	paired_source_member_bootstrap_p16_p84
bdt	multijet_relative	2.2616196405090867	34.11880703133481	2.2523970850051436	480.3643243711292	2.172961898594917	2.323295743983138	2.0940658889362544	2.7794432490646703	1000	0	{}	2.2523970850051436	2.172961898594917	2.323295743983138	1000	True	paired_source_member_bootstrap_p16_p84
dense_dnn	multijet_relative	2.2681586771010696	5.132146145962113	2.2669147133445566	48.01450739990992	2.2068877705332963	2.327988011914551	2.1372158579138913	3.026521364278728	1000	0	{}	2.2669147133445566	2.2068877705332963	2.327988011914551	1000	True	paired_source_member_bootstrap_p16_p84
lbn_dnn	multijet_relative	2.236583855965237	3.1149959321007854	2.2290584258402046	15.095759401817576	2.1647610008149294	2.287317897568542	2.083885139315862	2.3421927020429147	1000	0	{}	2.2290584258402046	2.1647610008149294	2.287317897568542	1000	True	paired_source_member_bootstrap_p16_p84
