model_label,model_sha256,target_epsilon_sm,actual_epsilon_sm,threshold_float32,n_sm_pass,n_sm_total,n_sm_strictly_greater,tie_block_size,n_qcd1_pass,n_qcd1_total,n_qcd2_pass,n_qcd2_total,n_qcd_pass,n_qcd_total,epsilon_qcd,r_qcd_central,garwood_count_lower68,garwood_count_upper68,poisson_count_upper95_one_sided,s_450,b_qcd_450_central,s_over_b_450_central,s_over_sqrt_b_450_central,z_a_450_central,b_qcd_450_95up,z_a_450_using_b_qcd_95up_mcstat,s_4000,b_qcd_4000_central,s_over_b_4000_central,s_over_sqrt_b_4000_central,z_a_4000_central,b_qcd_4000_95up,z_a_4000_using_b_qcd_95up_mcstat,support_label,provenance_label
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.50,0.5,0.63843345642089844,254084,508168,254083,1,3711528,27683689,8034361,59939617,11745889,87623306,0.13404982688053335,7.4599126553979866,11742480.76286279,11749298.229913279,11751527.856440119,600.77465925750005,85877571.907350197,6.9957108231431051e-06,0.064829358982160259,0.06482928339533113,85918799.208188102,0.064813727714079061,5340.2191934000002,763356194.73200178,6.9957108231431043e-06,0.19328380482912924,0.19328357947065369,763722659.62833869,0.19323720139126749,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.50,0.5,0.95109862089157104,254084,508168,254083,1,198096,27683689,429860,59939617,627956,87623306,0.0071665408287607864,139.53733382593686,627167.9515537906,628745.04170468939,629261.01176418329,600.77465925750005,4591166.8792930022,0.00013085445923717194,0.28038195940633631,0.28037584486773748,4600708.1955457432,0.28008497372789409,5340.2191934000002,40810372.260382243,0.00013085445923717194,0.83593749452953925,0.83591926449856246,40895183.960406609,0.8350520543087222,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.50,0.5,0.96284818649291992,254084,508168,254083,1,170716,27683689,369662,59939617,540378,87623306,0.0061670578829792159,162.15187516886328,539646.96649976016,541110.02680766163,541588.70796903584,600.77465925750005,3950858.9389998564,0.00015206178416726356,0.3022496758793552,0.30224201626061542,3959710.7730900371,0.30190401712802734,5340.2191934000002,35118746.124443166,0.00015206178416726356,0.90113442859135562,0.90111159201999513,35197429.094133668,0.90010387330504349,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.50,0.5,0.9595332145690918,254084,508168,254083,1,182274,27683689,395023,59939617,577297,87623306,0.0065883955576841622,151.78202207875668,576541.40680614242,578053.58647929167,578548.33016349562,600.77465925750005,4220784.3637376064,0.00014233720737287314,0.29242535331106639,0.29241841655429479,4229933.1983720418,0.29210202750314312,5340.2191934000002,37518083.23322317,0.00014233720737287311,0.87184395779724999,0.87182327638387369,37599406.207751483,0.87087998648420062,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.40,0.40000157428252076,0.69969272613525391,203268,508168,203267,1,2504556,27683689,5418985,59939617,7923541,87623306,0.090427323068590901,11.058604479991963,7920741.7182545401,7926341.2745530922,7928172.631855933,480.62161898408993,57931286.596385978,8.2964085077660493e-06,0.063146126474676947,0.063146039161058945,57965149.788670212,0.063127591585995541,4272.192168747466,514944769.74565315,8.2964085077660493e-06,0.18826537508423574,0.18826511476854271,515245775.8992908,0.18821011471800739,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.40,0.40000354213567169,0.97222429513931274,203269,508168,203267,2,102830,27683689,224103,59939617,326933,87623306,0.0037311192070292351,268.01609504087992,326364.38492821198,327502.60857243685,327875.06492487318,480.62398345670243,2390301.1697442164,0.00020107256338251864,0.31087022433284989,0.31085980729350376,2397188.8772925497,0.31041292795539555,4272.2131862817996,21247121.50883748,0.00020107256338251864,0.92683593838514866,0.92680488077456391,21308345.575933777,0.92547254400379386,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.40,0.40000157428252076,0.97989815473556519,203268,508168,203267,1,85668,27683689,185928,59939617,271596,87623306,0.0030995863132577991,322.6236984344394,271077.73617010494,272115.25741504005,272454.78309661523,480.62161898408993,1985716.4510705562,0.00024203940030056816,0.34107091407857881,0.34105715669924147,1991995.2612255297,0.34051926616415135,4272.192168747466,17650812.898404945,0.00024203940030056816,1.0168769987035897,1.0168359821235657,17706624.544226933,1.0152323023885153,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.40,0.40000157428252076,0.97770154476165771,203268,508168,203267,1,92514,27683689,201219,59939617,293733,87623306,0.0033522245782417752,298.30936939329257,293194.02888924239,294272.96465924161,294626.03329520678,480.62161898408993,2147566.4233726109,0.00022379825543617201,0.32796688834933913,0.32795465642046884,2154095.6465778346,0.327457288824544,4272.192168747466,19089479.318867654,0.00022379825543617201,0.9778083422909416,0.97777187372418151,19147516.858469643,0.97628901005168522,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.30,0.30000118071189058,0.7557375431060791,152451,508168,152450,1,1573053,27683689,3400464,59939617,4973517,87623306,0.056760207153106049,17.617976574725692,4971299.2177405553,4975735.7751133945,4977186.8199266959,360.46621423806749,36362812.878610432,9.9130453807687481e-06,0.059777235968016061,0.059777137206293185,36389643.98731935,0.059755095532083947,3204.1441265605999,323225003.36542606,9.9130453807687481e-06,0.17822128417537247,0.17822098972083542,323463502.10950536,0.17815527414529123,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.30,0.30000118071189058,0.98514986038208008,152451,508168,152450,1,47681,27683689,104033,59939617,151714,87623306,0.0017314343286705023,577.55583532172375,151326.65060918455,152102.34329846926,152356.24852774246,360.46621423806749,1109224.6780428223,0.00032497132580397881,0.34225894224765829,0.34224040736679334,1113920.3417021327,0.34151837667607399,3204.1441265605999,9859774.9159361981,0.00032497132580397881,1.020419014363918,1.0203637540260244,9901514.1484634019,1.018211074417986,ADEQUATE_RAW_SUPPORT,SUPPLEMENTAL_EXACT_COMMON_GRID_COMPLETION
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.30,0.30000118071189058,0.98987728357315063,152451,508168,152450,1,37265,27683689,81368,59939617,118633,87623306,0.0013538977860524915,738.60819502162133,118290.47426125874,118976.51981347827,119201.10959538636,360.46621423806749,867359.97488863347,0.00041559009485577235,0.38704804374586316,0.38702123949819839,871513.58749548229,0.38609799850076454,3204.1441265605999,7709866.4434545198,0.00041559009485577235,1.1539543151654164,1.1538744003388435,7746787.4444042873,1.151121827498744,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.30,0.30000118071189058,0.98860222101211548,152451,508168,152450,1,41167,27683689,90045,59939617,131212,87623306,0.001497455482905427,667.79948480321923,130851.77233596155,131573.22166782184,131809.38881245436,360.46621423806749,959328.66087081481,0.00037574840504698382,0.36802799495864202,0.36800495091100843,963696.34225263237,0.36717016882190051,3204.1441265605999,8527365.874407243,0.00037574840504698382,1.0972474858006311,1.0971787817244203,8566189.7089122888,1.0946899423943657,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.20,0.20000078714126038,0.80991148948669434,101634,508168,101633,1,853032,27683689,1846301,59939617,2699333,87623306,0.030806107680986152,32.461095389120203,2697699.1372204609,2700967.8557131737,2702037.0053386427,240.31080949204497,19735599.732756145,1.2176514154428725e-05,0.054093881107220534,0.054093771328702939,19755369.493300207,0.054066698075171275,2136.096084373733,175427553.18005463,1.2176514154428724e-05,0.16127679376338225,0.16127646646707852,175603284.38489074,0.16119574962224753,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.20,0.20000275499441131,0.99251234531402588,101635,508168,101633,2,18320,27683689,40885,59939617,59205,87623306,0.00067567640052293855,1479.9984122962587,58963.024734273829,59447.969940479234,59606.798148367488,240.31317396465741,432864.77888346027,0.00055516915602264023,0.36525944473905225,0.36522565575826338,435802.44067974231,0.36399284274517701,2136.1171019080662,3847686.9234085358,0.00055516915602264033,1.0889932638137985,1.0888925245366454,3873799.4727088208,1.0852169862685765,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.20,0.20000078714126038,0.99543273448944092,101634,508168,101633,1,12812,27683689,28374,59939617,41186,87623306,0.00047003476449519033,2127.5022094886613,40984.178527734279,41388.816553704215,41521.383691276496,240.31080949204497,301122.68867653399,0.00079804949453738056,0.43792684325923115,0.43786861473652045,303574.77528012358,0.43609708348371251,2136.096084373733,2676646.1215691911,0.00079804949453738056,1.305645587599382,1.3054719836861119,2698442.4469344318,1.3001902979450373,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.20,0.20000275499441131,0.99483746290206909,101635,508168,101633,2,14134,27683689,31654,59939617,45788,87623306,0.00052255503803976531,1913.6740193937276,45575.201693457202,46001.793261560211,46141.539370178441,240.31317396465741,334769.23394165828,0.00071784724998515798,0.41534100576000699,0.41529132871732205,337354.06193420774,0.41369765435605765,2136.1171019080662,2975726.5239258516,0.00071784724998515809,1.2383076302966767,1.2381595219708568,2998702.7727485136,1.2334081030297683,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.15,0.15000157428252073,0.83719074726104736,76226,508168,76225,1,568454,27683689,1232431,59939617,1800885,87623306,0.02055257992662363,48.655692062513708,1799550.4632308425,1802220.5297706751,1803093.9141338442,180.23428935533994,13166788.063838195,1.3688553995210324e-05,0.04967038153295112,0.049670268214132611,13182938.070224803,0.049639834280801653,1602.0825720474661,117038116.12300618,1.3688553995210324e-05,0.14808846610137191,0.14808812825061252,117181671.73533158,0.14799739179108373,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.15,0.15000157428252073,0.99484813213348389,76226,508168,76225,1,9907,27683689,22429,59939617,32336,87623306,0.00036903423844793074,2709.7756679861454,32157.171700058349,32515.823696506635,32633.353085793424,180.23428935533994,236417.79393591033,0.00076235500871055001,0.37067844991505777,0.37063136677388292,238591.82784744291,0.36893934451020099,1602.0825720474661,2101491.5016525364,0.0007623550087105499,1.1051496157390934,1.1050092409334351,2120816.2475328259,1.0999646051986518,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.15,0.15000157428252073,0.99717521667480469,76226,508168,76221,5,6178,27683689,14097,59939617,20275,87623306,0.00023138821080318517,4321.741356350185,20133.39631707986,20417.599806655562,20510.784126428382,180.23428935533994,148236.35490012934,0.0012158575369501526,0.46812308117582146,0.46802826737182901,149960.24044612463,0.46533143759255835,1602.0825720474661,1317656.4880011498,0.0012158575369501524,1.3956733751277184,1.3953906949795372,1332979.9150766635,1.3873503020326818,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.15,0.15000157428252073,0.99678504467010498,76226,508168,76225,1,6620,27683689,15379,59939617,21999,87623306,0.00025106334152696772,3983.0585935724353,21851.49884673905,22147.497137318489,22244.538409801899,180.23428935533994,160841.01462135365,0.0011205741879932881,0.44940615532378658,0.44932226233164063,162636.21653785219,0.4468364597289684,1602.0825720474661,1429697.9077453658,0.0011205741879932881,1.3398702837477543,1.3396201631699611,1445655.2581142418,1.3322089317055521,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.10,0.10000039357063019,0.86601793766021729,50817,508168,50816,1,329129,27683689,714962,59939617,1044091,87623306,0.011915676863413485,83.92305459964696,1043074.8517438299,1045108.1413737892,1045773.2932481884,120.15540474602248,7633649.5202974565,1.5740230727980875e-05,0.043488777792855045,0.043488663706296976,7645949.2499637725,0.043453670582504052,1068.0480421868665,67854662.402644068,1.5740230727980872e-05,0.12965848453760953,0.1296581443974055,67963993.333011314,0.12955381505973429,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.10,0.10000039357063019,0.99668967723846436,50817,508168,50815,2,4092,27683689,9780,59939617,13872,87623306,0.00015831404489577238,6316.5589677047292,13754.871018447355,13990.125835303532,14067.303792622413,120.15540474602248,101422.18077309959,0.0011847053951130535,0.37729134134592252,0.37721688158075312,102850.1029588711,0.37459020493312351,1068.0480421868665,901530.4957608853,0.0011847053951130533,1.1248654487620797,1.1246434526332683,914223.13741218753,1.1168122159147895,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.10,0.10001023283638481,0.99851471185684204,50822,508168,50816,6,2075,27683689,4943,59939617,7018,87623306,8.0092846531035935e-05,12485.509546879453,6934.6890770717519,7102.3094914032363,7157.3711371670342,120.16722710908465,51310.615964937497,0.0023419564323920706,0.53049638122313292,0.53028951645163869,52329.598423725511,0.52510511695467266,1068.1531298585303,456094.36413277779,0.0023419564323920706,1.5816346269767576,1.5810178753885722,465151.98598867125,1.5655609824582319,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
