target_epsilon_sm,model_label,actual_epsilon_sm,n_qcd_pass,r_qcd_central,s_450,b_qcd_450_central_diagnostic,s_over_b_450_central_diagnostic,s_over_sqrt_b_450_central_diagnostic,z_a_450_central_diagnostic,z_a_450_using_b_qcd_95up_mcstat,support_label,primary_inference
0.20,Step2j BDT-K,0.20000078714126038,2699333,32.461095389120203,240.31080949204497,19735599.732756145,1.2176514154428725e-05,0.054093881107220534,0.054093771328702939,0.054066698075171275,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.20,Step2j BDT-KF,0.20000275499441131,59205,1479.9984122962587,240.31317396465741,432864.77888346027,0.00055516915602264023,0.36525944473905225,0.36522565575826338,0.36399284274517701,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.20,SPA-Net 2M primary checkpoint,0.20000078714126038,41186,2127.5022094886613,240.31080949204497,301122.68867653399,0.00079804949453738056,0.43792684325923115,0.43786861473652045,0.43609708348371251,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.20,SPA-Net 10M primary checkpoint,0.20000275499441131,45788,1913.6740193937276,240.31317396465741,334769.23394165828,0.00071784724998515798,0.41534100576000699,0.41529132871732205,0.41369765435605765,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.15,Step2j BDT-K,0.15000157428252073,1800885,48.655692062513708,180.23428935533994,13166788.063838195,1.3688553995210324e-05,0.04967038153295112,0.049670268214132611,0.049639834280801653,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.15,Step2j BDT-KF,0.15000157428252073,32336,2709.7756679861454,180.23428935533994,236417.79393591033,0.00076235500871055001,0.37067844991505777,0.37063136677388292,0.36893934451020099,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.15,SPA-Net 2M primary checkpoint,0.15000157428252073,20275,4321.741356350185,180.23428935533994,148236.35490012934,0.0012158575369501526,0.46812308117582146,0.46802826737182901,0.46533143759255835,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.15,SPA-Net 10M primary checkpoint,0.15000157428252073,21999,3983.0585935724353,180.23428935533994,160841.01462135365,0.0011205741879932881,0.44940615532378658,0.44932226233164063,0.4468364597289684,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.10,Step2j BDT-K,0.10000039357063019,1044091,83.92305459964696,120.15540474602248,7633649.5202974565,1.5740230727980875e-05,0.043488777792855045,0.043488663706296976,0.043453670582504052,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.10,Step2j BDT-KF,0.10000039357063019,13872,6316.5589677047292,120.15540474602248,101422.18077309959,0.0011847053951130535,0.37729134134592252,0.37721688158075312,0.37459020493312351,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
0.10,SPA-Net 2M primary checkpoint,0.10001023283638481,7018,12485.509546879453,120.16722710908465,51310.615964937497,0.0023419564323920706,0.53049638122313292,0.53028951645163869,0.52510511695467266,ADEQUATE_RAW_SUPPORT,CENTRAL_WITH_B95_CROSSCHECK
