metric,value_2M,value_10M
primary_best_epoch,49,47
validation_average_jet_accuracy,0.491227924823761,0.4928354024887085
secondary_best_val_loss_total_loss,0.5106494426727295,0.4917766749858856
total_fit_wall_s,8577.312471553989,31727.155170865008
events_per_s_train_only,15499.291834971384,16848.253262387578
gpu_peak_reserved_bytes,1614807040,1614807040
n_train_events,2000000,10000000
auc_all_background,0.9692811749569128,0.9692723276616946
auc_qcd,0.9681550020366414,0.9677556643819263
auc_ttbar,0.9753918283758747,0.9775017953474364
