sample_id,process_directory,physics_family,intended_role,physical_normalization_allowed,overlap_group,phase_space_axis,phase_space_min,phase_space_max,exclusive_lower_edge,exclusive_upper_edge,cross_section_pb,cross_section_source,event_weight_formula,detector_card_sha256,truth_definition_status,production_status,decision_notes
HH4b_ggf_heft,HH4b_ggf_heft,ggf_hh4b,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
HH4b_ggf_heft_smoke,HH4b_ggf_heft_smoke,ggf_hh4b,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
HH4b_ggf_loop_smoke,HH4b_ggf_loop_smoke,ggf_hh4b,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
HH4b_smoke_vbf,HH4b_smoke_vbf,vbf_hh4b,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
QCD_bbbb_presel_smoke,QCD_bbbb_presel_smoke,qcd_bbbb,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
QCD_bbbb_smoke,QCD_bbbb_smoke,qcd_bbbb,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
TTbar_smoke,TTbar_smoke,ttbar,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
TTbb_smoke,TTbb_smoke,ttbb,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
ZH4b_smoke,ZH4b_smoke,zh4b,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
ZZ4b_smoke,ZZ4b_smoke,zz4b,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
Zbb_smoke,Zbb_smoke,unresolved,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
Zbbbb_presel_smoke,Zbbbb_presel_smoke,zbbbb,UNRESOLVED,NO_UNTIL_AUDITED,UNRESOLVED,UNRESOLVED,,,,,,UNRESOLVED,UNRESOLVED,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,UNRESOLVED,DISCOVERED_ONLY,
