process,shard,split,tag,n_generated,n_root_events,n_candidate_rows,candidate_efficiency,candidate_columns,generator_cross_section_pb_median,root_size_bytes,parquet_size_bytes,detector_card_sha256,input_hepmc_sha256,root_sha256,candidate_parquet_sha256
qcd_bbbb_general,0,train,qcd_bbbb_general_run2_frozen_v2_shard000_10k,10000,10000,336,0.0336,80,348.1773681640625,873691260,182092,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,421356836218c5ce8e5c2b401e67f3d5297dd99701476456ae51dde535394a33,160fa59895afdb24f1081b92c1585885eed1159e615bdb14686f7ea8411855ae,ba74b2d7ca1e9648b939e37563d9494b904f734ae36c212a9760d144dd3fcc8d
qcd_bbbb_general,1,train,qcd_bbbb_general_run2_frozen_v2_shard001_10k,10000,10000,361,0.0361,80,345.25982666015625,877143121,191675,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,d04026c3f9aa90a9d6f7a418ab27ff3e2bf485af5c74590482c3932a9dda8377,ee9f38245d114e1f6b8a17d01007b7fbebb190e2d308c192ff96de5699580b79,7a448605748aac8812a43f41eb61b302b28e63c68bb3be21354929f9282d50b7
qcd_bbbb_general,2,train,qcd_bbbb_general_run2_frozen_v2_shard002_10k,10000,10000,355,0.0355,80,346.3462219238281,873940629,189408,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,2763ffce6550516d422a477d45174a0ac26222f67c2bd9df837c8d490e75d000,4f53ea872dc957d4bc6c3eef26d22fda845143ead078d5900a47ee2e2cedf74b,ecaecea94c29a13d1b82efa66ec94ce6479d73064e58b2a7c8bda77d0a458662
qcd_bbbb_general,3,validation,qcd_bbbb_general_run2_frozen_v2_shard003_10k,10000,10000,380,0.038,80,347.25372314453125,870744347,198748,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,a8d1418bb1361fd34e1f406fad296cb466e0379c05fba6608a5ff046570f04c1,1b1b9c877db4de7cc4d9932534102aeea7f56fbce23f0afc9808f246b96017fa,caa4c129a248a0c81a515173503bc1aa2648fba0cc1d03d4614fa81364e7d3e3
qcd_bbbb_general,4,test,qcd_bbbb_general_run2_frozen_v2_shard004_10k,10000,10000,367,0.0367,80,346.9773254394531,868342421,193600,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,631ffa5abb1c75ca48cf9216bd888cce5be41aad71b2c423eca7889a03aa1580,66bfe2d612edd4b17335a013e12c09737d4ae81bf33f481951606f57607997bf,a53c000a24790b278785411056d45072748b6bae432374364d18021397bc88b5
qcd_bbbb_iht400to600,0,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard000_10k,10000,10000,1606,0.1606,80,9.761781692504883,968842875,675474,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,f1a44f72f849f695240df0ebc0c66b6bbab9cefea49462febc9f233f68959857,c1a721f9ac80432e16d81032df8898d2f8e3e1389206789457e4946495e23867,37dc0ec6057b837f6a7b17de975538d477d64ebb197afc0244c930b2d96aa05f
qcd_bbbb_iht400to600,1,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard001_10k,10000,10000,1531,0.1531,80,9.798187255859375,968450225,646966,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,2f63833eba1ae95f3bc6daa456abe2e2f54c813660363d0fb5bb94b0c1625993,64f93c8a25ae3d6f52e1764e30ebe20cc15f5570d77a8d47cf882533b74779bf,958e4bdff054bdd3234dffa59b8de6ed10ed4030d8c0304cac6109f899443f95
qcd_bbbb_iht400to600,2,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard002_10k,10000,10000,1555,0.1555,80,9.795002937316895,970119267,655941,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,834fa2d5e47144648275354887bea7b6f04b5a99fed7af7c9e62348c40d9149c,d7b571ebc640f976f5ba5d55d2e3da727ebe2a83817302fcb8de9a41dc156837,102e584a0927a662149df26ded5e143181040b7560ea39d86da78082b7b1a2ef
qcd_bbbb_iht400to600,3,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard003_10k,10000,10000,1522,0.1522,80,9.776556015014648,972046617,643659,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,fb7576da3f56e4c1c8ec2b1ca1478b3e9c06ff825625fe1cf756810f6ff7cab7,b4df8e2bb2a85b29fe2e0d7be40c75b5ba4b2484a7ea0d4f7b28edb2f0c63aec,d9944cdbcbb58d7b54ce69610bc0f77cc2ac52fe33ec314a2d4a2f2303880406
qcd_bbbb_iht400to600,4,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard004_10k,10000,10000,1580,0.158,80,9.774056434631348,968480050,665846,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,fb20cc07575913e0bc7c41eadee1b3c2b9049dcc809d6df4559848c9ac5474f1,95977199f4940b5ec40d516a3bba00dde36977f62e1f5203cde2b308fb552930,8e7693448194cc701eccf3c01b19f64f0e09d447570aeb9b67dca6e65c2a549b
qcd_bbbb_iht400to600,5,train,qcd_bbbb_iht400to600_run2_frozen_v2_shard005_10k,10000,10000,1588,0.1588,80,9.775683403015137,975259577,669011,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,af1d25423671c380db3f5639a8306fbf4c2f8f24f56190d552b79c4e2eee0dff,fc0c4445ee4ce35971b18bd5e2cf07e3158da819e164d9afa35d5f5317c129e3,2f4dec26fea74abb7fba7981da03e4875602b0de32f9308eeab7757f29a5553e
qcd_bbbb_iht400to600,6,validation,qcd_bbbb_iht400to600_run2_frozen_v2_shard006_10k,10000,10000,1590,0.159,80,9.830878257751465,968312675,669644,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,9bc23c4b5d14ecfcc43fb3ad87596b8207a7ff49e2e68d096dbf9d6297e0d573,b76fc67353d64904148a9a79b9524ec1c69507c7956204898a589e30ecda1758,7afa97d7036653a98c886afedf2eed23b6bc86b6a8d0800d6100fa8fa1b66ea8
qcd_bbbb_iht400to600,7,validation,qcd_bbbb_iht400to600_run2_frozen_v2_shard007_10k,10000,10000,1513,0.1513,80,9.836658477783203,972382574,639983,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,0f7863c0495c2c480e0f98f35ffd6292f9ac9fb80404223dba26c5479a67802d,326def6813f69dae1a9f8015c561a4520c3d73e1d3c869e559d7b44dac1d635a,74506e08f28aca4a6017cccf02ee9227dc55725842332943dffd958d3a0d1303
qcd_bbbb_iht400to600,8,test,qcd_bbbb_iht400to600_run2_frozen_v2_shard008_10k,10000,10000,1543,0.1543,80,9.790712356567383,971169645,651261,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,9dc35acba647fcd42b02d2551225c50bf581dc350b4484928cc383ea27cef73c,d68b112fcd041c2497efcf8e5b9303dfff65b7f2cf05556729469f5490960776,dbda1f16a5187001d7566d8e30996f38065899fa8abc61514f9ecf74fbb156c1
qcd_bbbb_iht400to600,9,test,qcd_bbbb_iht400to600_run2_frozen_v2_shard009_10k,10000,10000,1526,0.1526,80,9.74275016784668,967798829,644584,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,2f94d52f189b1ef85a2070d771e3c2842d04fcbfe4e7d4e03cc384f4981b9da9,1b4e2371cdf5ee5cd901d3a12656b7ad95849a61da539515925e0bb2b1d5e690,70446e85793ad5d796fde3500915765350017ced9d8a3d9c6d84202cb5405c0c
ttbar,0,train,ttbar_run2_frozen_v2_shard000_10k,10000,10000,31,0.0031,80,511.1163635253906,916410061,67139,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,61e8b38c1d8b35e831dd6bfcf8b14e9f2f0a7ff5e3a931937e6697d25dbea73a,dc8b5f387e4c6e4ca1987c8db57e3b0daef0ab9fba847dd6fe390203a689418f,e35f00dac203a3e43b9a57609a637ebf1362adfc8e2c4366000af1b12ed43576
ttbar,1,train,ttbar_run2_frozen_v2_shard001_10k,10000,10000,34,0.0034,80,512.611328125,916371863,68597,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,b998b96cfee4f4b609c5ea31d9d300523fa059b52c05d98af4e5b55643840354,39affd631d540e3a4077f59dc245ab495df847049e2c299d4972952f7034aa03,9c8191119ee4bde66ee55ff94f7621d58200ac1c461e4d52ca77d7976d57dada
ttbar,2,train,ttbar_run2_frozen_v2_shard002_10k,10000,10000,30,0.003,80,512.3019409179688,918004272,66674,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,3369ea82eedf30894b0d30dd27d1392736521d491afd43378934691ff2fc5757,04e4b3eab4fd167120326896ed74256e536dc2dd46505c102f7593685d08ad82,0a68835006a8ffa101783a51dd62b68e7942b300aa8fdb7a875938fc545a2729
ttbar,3,validation,ttbar_run2_frozen_v2_shard003_10k,10000,10000,46,0.0046,80,512.4491577148438,919929858,72986,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,6921af83f6dabd464b88104174736491b6661dd38217f46bef5b62d68c24b00c,9c0edab95b017ebad6a4195fd2d0eeadc83a11f43edb1e2eac7a848c4c8510d2,8ae667cac6f8ede5c291237ee4e01f192d252a0b328566e9231898825097cfeb
ttbar,4,test,ttbar_run2_frozen_v2_shard004_10k,10000,10000,30,0.003,80,511.9331970214844,919579650,66681,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,3cf6898ca9dba3d52e1330d98b6f635f8bff42fdabd39b1ffec162ad0b408f5f,b004e515839bd790f1b580493ac6e5acdcd003d4ca3b5c0780fcc36d3a706c47,d0a578f5f663f87fcb170b77945f93b3aa8205f872cacb20fb04de08dabd8991
zbbbb,0,train,zbbbb_run2_frozen_v2_shard000_10k,10000,10000,294,0.0294,80,6.925642967224121,869042539,166507,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,ff9e9e2beb3d9ced93ba148d9a5cb717cec5d5f477a28ed7f850e2ffd7bba880,707436a8166d485abb64286b5247d126a447be157e78b1f90f8c89e1ce2f3a92,92667089dc0005a55d4e6a4efb13b3b5cdee54cdd1b9c26dc03d5a478e500724
zbbbb,1,train,zbbbb_run2_frozen_v2_shard001_10k,10000,10000,311,0.0311,80,6.871753215789795,869408557,172766,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,14a3954d6c73cb2656fe2b74fcd9f6b3db905ee4a08fd092d398e268435dee35,10d69f9e1b72f7a22d5b07ee6a7b82700e6ad3d7cb8a01a079fe5df67884b158,9920ab86025756fe25766b5313a8041e9b504d561a41bf2c8891b04ac6b0d023
zbbbb,2,train,zbbbb_run2_frozen_v2_shard002_10k,10000,10000,285,0.0285,80,6.914364814758301,857114900,163094,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,98f38d343d0c39df4196ae836dfc30cb2951405e5e7ff726114fbb61be55c178,33392a46472b92ac41299b7cd353e3d358fee19dfe566c3809b0e2de8e86f41c,bf2383495daf7a2e3a4affac11b71ec236b64adc2beed9520cadc8b3dfcda817
