process,split,shards,n_generated,n_candidate_rows,root_size_bytes,parquet_size_bytes,candidate_efficiency
qcd_bbbb_general,test,1,10000,367,868342421,193600,0.0367
qcd_bbbb_general,train,3,30000,1052,2624775010,563175,0.03506666666666667
qcd_bbbb_general,validation,1,10000,380,870744347,198748,0.038
qcd_bbbb_iht400to600,test,2,20000,3069,1938968474,1295845,0.15345
qcd_bbbb_iht400to600,train,6,60000,9382,5823198611,3956897,0.15636666666666665
qcd_bbbb_iht400to600,validation,2,20000,3103,1940695249,1309627,0.15515
ttbar,test,1,10000,30,919579650,66681,0.003
ttbar,train,3,30000,95,2750786196,202410,0.0031666666666666666
ttbar,validation,1,10000,46,919929858,72986,0.0046
zbbbb,test,1,10000,279,865069728,160901,0.0279
zbbbb,train,3,30000,890,2595565996,502367,0.029666666666666668
zbbbb,validation,1,10000,309,865172970,172256,0.0309
