campaign,job_id,bin_id,pthat_min_GeV,pthat_max_GeV,n_events,shard_id,seed,dataset_split,split_assignment_reason,split_salt
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,0,0,50,75,10000,9773,1209773,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,1,0,50,75,10000,9774,1209774,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,2,0,50,75,10000,9775,1209775,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,3,0,50,75,10000,9776,1209776,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,4,0,50,75,10000,9777,1209777,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,5,0,50,75,10000,9778,1209778,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,6,0,50,75,10000,9779,1209779,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,7,0,50,75,10000,9780,1209780,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,8,0,50,75,10000,9781,1209781,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,9,0,50,75,10000,9782,1209782,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,10,0,50,75,10000,9783,1209783,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,11,0,50,75,10000,9784,1209784,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,12,0,50,75,10000,9785,1209785,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,13,0,50,75,10000,9786,1209786,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,14,0,50,75,10000,9787,1209787,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,15,0,50,75,10000,9788,1209788,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,16,0,50,75,10000,9789,1209789,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,17,0,50,75,10000,9790,1209790,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,18,0,50,75,10000,9791,1209791,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,19,0,50,75,10000,9792,1209792,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,20,0,50,75,10000,9793,1209793,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,21,0,50,75,10000,9794,1209794,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,22,0,50,75,10000,9795,1209795,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,23,0,50,75,10000,9796,1209796,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,24,0,50,75,10000,9797,1209797,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,25,0,50,75,10000,9798,1209798,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,26,0,50,75,10000,9799,1209799,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,27,0,50,75,10000,9800,1209800,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,28,0,50,75,10000,9801,1209801,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,29,0,50,75,10000,9802,1209802,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,30,0,50,75,1212,9803,1209803,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,31,1,75,100,10000,9804,1219804,test,predeclared_sealed_test_for_missing_stratum,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,32,1,75,100,10000,9805,1219805,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,33,1,75,100,10000,9806,1219806,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,34,1,75,100,10000,9807,1219807,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,35,1,75,100,10000,9808,1219808,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,36,1,75,100,10000,9809,1219809,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,37,1,75,100,10000,9810,1219810,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,38,1,75,100,10000,9811,1219811,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,39,1,75,100,2809,9812,1219812,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,40,2,100,200,10000,9813,1229813,test,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,41,2,100,200,10000,9814,1229814,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,42,2,100,200,10000,9815,1229815,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,43,2,100,200,10000,9816,1229816,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,44,2,100,200,10000,9817,1229817,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,45,2,100,200,1052,9818,1229818,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,46,3,200,300,10000,9819,1239819,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,47,3,200,300,4532,9820,1239820,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,48,4,300,500,10000,9821,1249821,test,predeclared_sealed_test_for_missing_stratum,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,49,4,300,500,2864,9822,1249822,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,50,5,500,700,10000,9823,1259823,test,predeclared_sealed_test_for_missing_stratum,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,51,5,500,700,2527,9824,1259824,train,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,52,6,700,1000,10000,9825,1269825,test,predeclared_sealed_test_for_missing_stratum,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,53,6,700,1000,2504,9826,1269826,validation,deterministic_non_test_coverage_guard,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,54,7,1000,0,10000,9827,1279827,test,predeclared_sealed_test_for_missing_stratum,qcd-adaptive-wave2-whole-shard-v2
qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717,55,7,1000,0,2500,9828,1279828,validation,deterministic_hash_70_15_15,qcd-adaptive-wave2-whole-shard-v2
