campaign,job_id,bin_id,pthat_min_GeV,pthat_max_GeV,n_events,shard_id,seed,dataset_split,split_assignment_reason,split_salt
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,0,0,50,75,10000,1033,1201033,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,1,0,50,75,10000,1034,1201034,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,2,0,50,75,10000,1035,1201035,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,3,0,50,75,10000,1036,1201036,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,4,0,50,75,10000,1037,1201037,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,5,0,50,75,10000,1038,1201038,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,6,0,50,75,10000,1039,1201039,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,7,0,50,75,10000,1040,1201040,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,8,0,50,75,10000,1041,1201041,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,9,0,50,75,10000,1042,1201042,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,10,0,50,75,10000,1043,1201043,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,11,0,50,75,10000,1044,1201044,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,12,0,50,75,10000,1045,1201045,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,13,0,50,75,10000,1046,1201046,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,14,0,50,75,10000,1047,1201047,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,15,0,50,75,10000,1048,1201048,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,16,0,50,75,10000,1049,1201049,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,17,0,50,75,10000,1050,1201050,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,18,0,50,75,10000,1051,1201051,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,19,0,50,75,10000,1052,1201052,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,20,0,50,75,10000,1053,1201053,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,21,0,50,75,10000,1054,1201054,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,22,0,50,75,10000,1055,1201055,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,23,0,50,75,10000,1056,1201056,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,24,0,50,75,10000,1057,1201057,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,25,0,50,75,10000,1058,1201058,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,26,0,50,75,10000,1059,1201059,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,27,0,50,75,10000,1060,1201060,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,28,0,50,75,10000,1061,1201061,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,29,0,50,75,10000,1062,1201062,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,30,0,50,75,10000,1063,1201063,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,31,0,50,75,10000,1064,1201064,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,32,0,50,75,10000,1065,1201065,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,33,0,50,75,10000,1066,1201066,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,34,0,50,75,10000,1067,1201067,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,35,0,50,75,10000,1068,1201068,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,36,0,50,75,10000,1069,1201069,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,37,0,50,75,10000,1070,1201070,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,38,0,50,75,10000,1071,1201071,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,39,0,50,75,10000,1072,1201072,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,40,0,50,75,10000,1073,1201073,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,41,0,50,75,10000,1074,1201074,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,42,0,50,75,10000,1075,1201075,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,43,0,50,75,10000,1076,1201076,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,44,0,50,75,10000,1077,1201077,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,45,0,50,75,10000,1078,1201078,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,46,0,50,75,10000,1079,1201079,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,47,0,50,75,10000,1080,1201080,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,48,0,50,75,10000,1081,1201081,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,49,0,50,75,10000,1082,1201082,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,50,0,50,75,10000,1083,1201083,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,51,0,50,75,10000,1084,1201084,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,52,0,50,75,10000,1085,1201085,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,53,0,50,75,10000,1086,1201086,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,54,0,50,75,10000,1087,1201087,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,55,0,50,75,10000,1088,1201088,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,56,0,50,75,10000,1089,1201089,validation,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,57,0,50,75,10000,1090,1201090,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,58,0,50,75,10000,1091,1201091,train,deterministic_trainval_hash,qcd-adaptive-wave3-trainval-v1
