campaign	local_shard	inner_shard	seed	immutable_split	generated_events	candidate_rows	analysis_sample	source_root	source_root_index	candidate_parquet	candidate_parquet_sha256	remote_bundle	training_authorized	validation_authorized	test_sealed	physics_yield_authorized	status
ggf_hh4b_ml_ext20k_frozen_v2_20260716	0	16000	86000	train	1000	58	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16000_1000_pythia8_delphes.root	10	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard000_train_v2_hh4b_candidates.parquet	8fa51f3f244d0380b908ac6dfe645cc83a2ae8bbd8eb85ec1a2fed7cf1227a74	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	1	16001	86001	train	1000	60	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16001_1000_pythia8_delphes.root	11	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard001_train_v2_hh4b_candidates.parquet	4f8b0754e1d12ef38c7303df9ad6756bb3034537397fcbf7457e75806fc4d669	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard001_seed86001_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	2	16002	86002	train	1000	65	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16002_1000_pythia8_delphes.root	12	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard002_train_v2_hh4b_candidates.parquet	f39a6489cfdd0a65a0cd359645cae9ea3c35cab24b21457be2dc7506f3204c06	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard002_seed86002_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	3	16003	86003	train	1000	59	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16003_1000_pythia8_delphes.root	13	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard003_train_v2_hh4b_candidates.parquet	66de4c8b00c7acdcfba4a47538c93334d0f24e119b50652b448124bddc0e4504	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard003_seed86003_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	4	16004	86004	train	1000	63	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16004_1000_pythia8_delphes.root	14	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard004_train_v2_hh4b_candidates.parquet	927ad59252724ce1ab1852da686e5dfd83bcead274b3adb57ac8b9984618f3cd	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard004_seed86004_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	5	16005	86005	train	1000	62	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16005_1000_pythia8_delphes.root	15	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard005_train_v2_hh4b_candidates.parquet	64e2a974cff4518a10fd5b2928d9c24f406d5b52d74b2c0c5a9294be68577cac	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard005_seed86005_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	6	16006	86006	train	1000	67	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16006_1000_pythia8_delphes.root	16	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard006_train_v2_hh4b_candidates.parquet	ac632bfbb4d193ebeef09945c360ceac248ce5e5eebf35f83921dd7ca22846a2	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard006_seed86006_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	7	16007	86007	train	1000	72	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16007_1000_pythia8_delphes.root	17	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard007_train_v2_hh4b_candidates.parquet	21bc9499df58a1ece1717352466c238e1ba9d85e58d0431d523fd1603e0cc646	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard007_seed86007_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	8	16008	86008	train	1000	77	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16008_1000_pythia8_delphes.root	18	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard008_train_v2_hh4b_candidates.parquet	014680b88faadadb4336b76cde6608327536841111af87c73d939afed5e117b9	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard008_seed86008_bundle.tar.gz	True	False	False	False	pass
ggf_hh4b_ml_ext20k_frozen_v2_20260716	9	16009	86009	train	1000	56	ggF_HH4b_SMnorm	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16009_1000_pythia8_delphes.root	19	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard009_train_v2_hh4b_candidates.parquet	95236fa201892cb006dd5a7e83b7ffc9aad04d867fda5bee57e5dd135a83c220	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard009_seed86009_bundle.tar.gz	True	False	False	False	pass
