global_member_index	signal_mode	mode_member_index	member_id	source_campaign	generated_events	immutable_split	candidate_rows	candidate_access	candidate_parquet	candidate_parquet_sha256	candidate_schema_columns	candidate_schema_sha256	common72_schema_sha256	source_bundle	source_registry	source_registry_sha256	source_summary	source_summary_sha256	training_authorized	validation_authorized	test_sealed	physics_yield_authorized	status
0	ggf_hh4b	0	ggf_shard_000	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	58	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard000_train_v2_hh4b_candidates.parquet	8fa51f3f244d0380b908ac6dfe645cc83a2ae8bbd8eb85ec1a2fed7cf1227a74	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
1	ggf_hh4b	1	ggf_shard_001	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	60	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard001_train_v2_hh4b_candidates.parquet	4f8b0754e1d12ef38c7303df9ad6756bb3034537397fcbf7457e75806fc4d669	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard001_seed86001_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
2	ggf_hh4b	2	ggf_shard_002	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	65	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard002_train_v2_hh4b_candidates.parquet	f39a6489cfdd0a65a0cd359645cae9ea3c35cab24b21457be2dc7506f3204c06	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard002_seed86002_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
3	ggf_hh4b	3	ggf_shard_003	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	59	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard003_train_v2_hh4b_candidates.parquet	66de4c8b00c7acdcfba4a47538c93334d0f24e119b50652b448124bddc0e4504	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard003_seed86003_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
4	ggf_hh4b	4	ggf_shard_004	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	63	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard004_train_v2_hh4b_candidates.parquet	927ad59252724ce1ab1852da686e5dfd83bcead274b3adb57ac8b9984618f3cd	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard004_seed86004_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
5	ggf_hh4b	5	ggf_shard_005	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	62	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard005_train_v2_hh4b_candidates.parquet	64e2a974cff4518a10fd5b2928d9c24f406d5b52d74b2c0c5a9294be68577cac	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard005_seed86005_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
6	ggf_hh4b	6	ggf_shard_006	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	67	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard006_train_v2_hh4b_candidates.parquet	ac632bfbb4d193ebeef09945c360ceac248ce5e5eebf35f83921dd7ca22846a2	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard006_seed86006_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
7	ggf_hh4b	7	ggf_shard_007	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	72	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard007_train_v2_hh4b_candidates.parquet	21bc9499df58a1ece1717352466c238e1ba9d85e58d0431d523fd1603e0cc646	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard007_seed86007_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
8	ggf_hh4b	8	ggf_shard_008	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	77	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard008_train_v2_hh4b_candidates.parquet	014680b88faadadb4336b76cde6608327536841111af87c73d939afed5e117b9	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard008_seed86008_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
9	ggf_hh4b	9	ggf_shard_009	ggf_hh4b_ml_ext20k_frozen_v2_20260716	1000	train	56	local_path	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_signal_extensions/ggf_hh4b_ml_ext20k_frozen_v2_20260716/ggF_HH4b_SMnorm_ext20k_shard009_train_v2_hh4b_candidates.parquet	95236fa201892cb006dd5a7e83b7ffc9aad04d867fda5bee57e5dd135a83c220	75	0aca5014841a8e3ca7fffcde416ce3bfe96695a92b87190395ce9de5a01858d6	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard009_seed86009_bundle.tar.gz	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.tsv	e0385488fe53bba2eb46b0a6cc30038aba42cff21ddaa9726a7de99101e54afb	/uscms_data/d3/iturkmen/repos/hh-bbww-baselines/outputs/agent_runs/ggf_hh4b_canonical100k_registry_audit_20260723_v2/ggf_hh4b_canonical100k_registry.json	af3e76d524499ebe40dd193769602f566afc7f6c8fb46046a34f7a018f619fca	True	False	False	False	pass
