family	final_counted_events	qa_canary_events	pilot_events	pilot_split	scaleout_events	scaleout_train_events	scaleout_validation_events	new_test_events	counting_rule	status
ggh_hbb	100000	100	10000	train	90000	70000	20000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
bbh_hbb_4fs	50000	100	10000	train	40000	30000	10000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
wh_hbb	60000	100	10000	train	50000	40000	10000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
tchannel_top	80000	100	10000	train	70000	50000	20000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
tchannel_antitop	80000	100	10000	train	70000	50000	20000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
tw_top	70000	100	10000	validation	60000	50000	10000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
tw_antitop	70000	100	10000	train	60000	40000	20000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
schannel_single_top	30000	100	10000	train	20000	10000	10000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
ttw	60000	100	10000	train	50000	40000	10000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
wz_zbb	60000	100	10000	train	50000	40000	10000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
ww	40000	100	10000	validation	30000	30000	0	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
triboson_zbb	50000	100	10000	train	40000	30000	10000	0	validated_pilot_plus_validated_scaleout	canary_required_not_authorized
