family	group	events	seed	dataset_split	sampling_mode	forced_decay	generator_enrichment	run_card_profile	dataset_role	overlap_group	normalization_rule	production_status
ggh_hbb	single_higgs	10000	921001	train	forced_decay_reference	H_to_bb	none	preserve_template	physical_reference	ggh_hbb	reference_xsec_times_Hbb_BR	template_required
bbh_hbb_4fs	single_higgs	10000	921002	train	exclusive_hf_stratum	H_to_bb	bbH_4FS_extra_b_pt20_eta27_dr04	preserve_template	physical_stratum	bbh_hbb	exclusive_generator_xsec_times_Hbb_BR	template_required
vbf_hbb	single_higgs	10000	921003	validation	forced_decay_reference	H_to_bb	none	preserve_template	physical_reference	vbf_hbb	reference_xsec_times_Hbb_BR	template_required
wh_hbb	single_higgs	10000	921004	train	forced_decay_reference	H_to_bb	W_decays_inclusive	preserve_template	physical_reference	wh_hbb	reference_xsec_times_Hbb_BR	template_required
tchannel_top	single_top	10000	922001	train	inclusive_reference	top_decays_inclusive	none	preserve_template	physical_reference	tchannel_top	higher_order_reference_xsec	template_required
tchannel_antitop	single_top	10000	922002	train	inclusive_reference	antitop_decays_inclusive	none	preserve_template	physical_reference	tchannel_antitop	higher_order_reference_xsec	template_required
tw_top	single_top	10000	922003	validation	inclusive_reference	top_and_W_decays_inclusive	none	preserve_template	physical_reference	tW	higher_order_reference_xsec_with_tW_scheme	template_required
tw_antitop	single_top	10000	922004	train	inclusive_reference	antitop_and_W_decays_inclusive	none	preserve_template	physical_reference	tW	higher_order_reference_xsec_with_tW_scheme	template_required
schannel_single_top	single_top	10000	922005	train	inclusive_reference	top_or_antitop_decays_inclusive	none	preserve_template	physical_reference	schannel_single_top	higher_order_reference_xsec	template_required
tth_hbb	rare_top	10000	923001	train	forced_decay_reference	H_to_bb	top_decays_inclusive	preserve_template	physical_stratum	ttH	reference_xsec_times_Hbb_BR	template_required
ttz_zbb	rare_top	10000	923002	validation	forced_decay_reference	Z_to_bb	top_decays_inclusive	preserve_template	physical_stratum	ttZ	reference_xsec_times_Zbb_BR	template_required
ttw	rare_top	10000	923003	train	inclusive_reference	top_and_W_decays_inclusive	none	preserve_template	physical_reference	ttW	higher_order_reference_xsec	template_required
tttt	rare_top	10000	923004	train	inclusive_reference	top_decays_inclusive	four_top_b_quarks	preserve_template	physical_reference	tttt	higher_order_reference_xsec	template_required
wz_zbb	diboson_triboson	10000	924001	train	forced_decay_reference	Z_to_bb	W_decays_inclusive	preserve_template	physical_stratum	WZ	reference_xsec_times_Zbb_BR	template_required
ww	diboson_triboson	10000	924002	validation	inclusive_reference	W_decays_inclusive	none	preserve_template	physical_reference	WW	higher_order_reference_xsec	template_required
triboson_zbb	diboson_triboson	10000	924003	train	forced_decay_reference	at_least_one_Z_to_bb	other_boson_decays_inclusive	preserve_template	physical_stratum	triboson	exclusive_process_xsec_times_Zbb_BR	template_required
