process,analysis_use,format,detector_version,path,filename,size_GB,n_entries_or_rows
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_0_1000_pythia8_delphes.root,0.094352273,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_1_1000_pythia8_delphes.root,0.093009388,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_2_1000_pythia8_delphes.root,0.094544715,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_3_1000_pythia8_delphes.root,0.094732828,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_4_1000_pythia8_delphes.root,0.094746932,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_5_1000_pythia8_delphes.root,0.094607426,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_6_1000_pythia8_delphes.root,0.093846796,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_7_1000_pythia8_delphes.root,0.093524159,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_8_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_8_1000_pythia8_delphes.root,0.096018162,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_9_1000_pythia8_delphes.root,HH4b_ggf_hh4b_10k_transfer_cluster_84730223_shard_9_1000_pythia8_delphes.root,0.092609649,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_1k_transfer_test_cluster_3474222_shard_0_1000_pythia8_delphes.root,HH4b_ggf_hh4b_1k_transfer_test_cluster_3474222_shard_0_1000_pythia8_delphes.root,0.094371103,1000.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_hh4b_smoke_cluster_local_shard_0_20_pythia8_delphes.root,HH4b_ggf_hh4b_smoke_cluster_local_shard_0_20_pythia8_delphes.root,0.001925272,20.0
ggF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_ggf_loop_sm_hh4b_smoke_20_pythia8_delphes.root,HH4b_ggf_loop_sm_hh4b_smoke_20_pythia8_delphes.root,0.001947667,20.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_smoke_vbf_run_01_20_delphes.root,HH4b_smoke_vbf_run_01_20_delphes.root,3.3575e-05,0.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_smoke_vbf_run_01_20_delphes_uncompressed.root,HH4b_smoke_vbf_run_01_20_delphes_uncompressed.root,0.000141493,20.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_smoke_vbf_run_01_20_pipeline_test_pythia8_delphes.root,HH4b_smoke_vbf_run_01_20_pipeline_test_pythia8_delphes.root,0.001830788,20.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_smoke_vbf_run_01_20_pythia8_delphes.root,HH4b_smoke_vbf_run_01_20_pythia8_delphes.root,0.001829258,20.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_smoke_vbf_run_02_200_pythia8_delphes.root,HH4b_smoke_vbf_run_02_200_pythia8_delphes.root,0.017504436,200.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_smoke_vbf_run_03_1000_pythia8_delphes.root,HH4b_smoke_vbf_run_03_1000_pythia8_delphes.root,0.091080816,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_0_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_0_1000_pythia8_delphes.root,0.089307325,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_1_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_1_1000_pythia8_delphes.root,0.089992178,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_2_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_2_1000_pythia8_delphes.root,0.091178088,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_3_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_3_1000_pythia8_delphes.root,0.089768289,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_4_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_4_1000_pythia8_delphes.root,0.088884416,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_5_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_5_1000_pythia8_delphes.root,0.089749431,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_6_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_6_1000_pythia8_delphes.root,0.089675521,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_7_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_7_1000_pythia8_delphes.root,0.090305689,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_8_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_8_1000_pythia8_delphes.root,0.090475864,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_9_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3463792_shard_9_1000_pythia8_delphes.root,0.091110371,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3473183_shard_0_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3473183_shard_0_1000_pythia8_delphes.root,0.089315272,1000.0
VBF_HH_4b,signal_pilot_physics_and_ml,root,legacy_card_v1,/uscms_data/d3/iturkmen/hh4b_delphes/root/HH4b_vbf_hh4b_10k_transfer_cluster_3473183_shard_1_1000_pythia8_delphes.root,HH4b_vbf_hh4b_10k_transfer_cluster_3473183_shard_1_1000_pythia8_delphes.root,0.090004889,1000.0
