qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background
0.8,0.5,92.1126645652174,214886.27150962732,0.00042865774494621717,0.1987078435128151,0.004286577449462171,144,389,74.25654848348607,127.08391842503387
0.8,0.55,86.35613261144745,191487.96488357274,0.0004509742043786049,0.19734332569828858,0.004509742043786048,134,360,69.54942548109724,120.17520598643429
0.85,0.875,18.592703470005507,8944.4075986552,0.002078695907462998,0.1965924123962406,0.02078695907462998,31,24,15.118234677135398,5.797030377304204
0.775,0.5,104.63943506879473,287827.4053376867,0.0003635492421092737,0.19504252693708332,0.003635492421092737,161,495,84.18353861407837,129.43695903443265
0.825,0.5,79.43119355531095,167056.7485416721,0.00047547431785131946,0.19433860288637356,0.004754743178513195,125,290,64.08830774320919,88.81456859470205
0.8,0.525,86.66553362410568,203038.38800575185,0.00042684309344324847,0.19233456389069314,0.004268430934432484,138,379,70.03305724918043,125.04386268313645
0.85,0.5,68.5450849779857,127046.82861635668,0.0005395261394912209,0.19230669535736478,0.005395261394912209,97,199,54.59019668374893,57.800966845348256
0.825,0.55,73.75201185470557,147791.52679254636,0.0004990273357026117,0.19184439001065723,0.004990273357026118,116,270,59.5019343609546,84.40226056529119
0.8,0.575,82.23210927903138,184635.71683299175,0.00044537487485919454,0.19137428087273434,0.004453748748591945,129,349,66.3210438417049,116.74003852813584
0.75,0.5,114.59734060814529,360188.2394316638,0.00031815958452437784,0.19094565267501148,0.0031815958452437784,177,610,92.23975185946716,140.4319942638109
0.775,0.55,97.48244525316457,261791.32943559653,0.0003723669743506394,0.1905236027142641,0.003723669743506394,149,459,78.36026468774571,118.1402689446068
0.85,0.55,63.02060378370942,109754.42923996442,0.0005741964512969468,0.1902267253863055,0.005741964512969467,90,186,50.24357310340088,53.547794157846646
0.625,0.5,172.17896675564117,819786.7669796846,0.00021002896569066964,0.19016458740095515,0.0021002896569066965,245,1346,137.21292451814492,305.7710913719032
0.8,0.6,79.50854380847554,178836.6819078264,0.0004445874468273504,0.18801196901466322,0.004445874468273504,126,336,64.20928488323622,111.00839271911191
0.825,0.525,74.06141286736381,156039.2337353876,0.0004746332771215582,0.18748869591921968,0.004746332771215582,120,282,59.986516686029695,86.61324141588341
0.65,0.5,160.19364802421578,731268.120409873,0.0002190628082274773,0.1873298438487279,0.002190628082274773,235,1172,128.12173836019298,253.21624438525956
0.6,0.5,177.78079820308204,907981.9640719091,0.00019579771982012895,0.18657190280416272,0.001957977198201289,253,1502,141.67901913715272,335.2295290689506
0.775,0.525,97.86919651898735,275786.54557675676,0.0003548729917709073,0.18636291093162263,0.003548729917709073,154,483,78.96379127388758,125.4363126713323
0.75,0.55,106.11724318381948,327077.0710511679,0.00032444109531364404,0.1855499787394833,0.00324441095313644,164,567,85.4205828818495,127.02730903356371
0.775,0.575,93.28107166758394,253915.73643037002,0.0003673701873659332,0.18511802931161342,0.003673701873659332,143,444,75.01093192636117,113.82221865172014
