seed,auc_all,auc_vs_ttbar,auc_vs_qcdlike,threshold,selected_signal_rows,selected_background_rows,S_over_sqrtB_rows,S_over_B_rows
0,0.7325999087503294,0.6625125180816736,0.7610541912867494,0.79,127,15,32.791258997889464,8.466666666666667
1,0.758959496713084,0.6820760068065798,0.784483570285284,0.755,148,14,39.55466380303881,10.571428571428571
2,0.7360506885494515,0.6988070069465417,0.7488199508133063,0.445,351,113,33.019302480264265,3.106194690265487
3,0.7078146989082169,0.6724713475019473,0.7184316740342112,0.765,144,18,33.941125496954285,8.0
4,0.728879235559097,0.6740874703889554,0.7473658880352017,0.78,133,10,42.05829288023944,13.3
5,0.73851185924417,0.6766353989203391,0.7667121929315797,0.625,248,50,35.07249634685276,4.96
6,0.7282687624102765,0.632823639313634,0.7620476948642323,0.61,270,68,32.74230937990495,3.9705882352941178
7,0.7297017678017181,0.7088939073611378,0.7372996587509759,0.76,157,20,35.1062672467467,7.85
8,0.729496134741063,0.6728032876452004,0.7505197322057786,0.8,113,10,35.733737559902686,11.3
9,0.7093376687636955,0.6441325555923483,0.7313377679231339,0.74,156,24,31.843366656181317,6.5
10,0.7452077857817591,0.6569910290840524,0.7708079426273681,0.67,214,33,37.252618374519336,6.484848484848484
11,0.7177236420185454,0.6243240235896295,0.7556422905260114,0.675,217,41,33.88970632982752,5.2926829268292686
12,0.7327605595789664,0.6665659921473874,0.7554558398412219,0.545,297,82,32.79816324422942,3.6219512195121952
13,0.7138551700649671,0.6660650750270716,0.7297207076888839,0.805,119,11,35.87985000475387,10.818181818181818
14,0.7101280708405895,0.6289112050739958,0.7362218429744347,0.705,179,26,35.10478818973495,6.884615384615385
15,0.7077954208087804,0.633499283911887,0.7370731357723869,0.785,136,15,35.11504900561391,9.066666666666666
16,0.7113425911050848,0.640063424947146,0.740710831238828,0.78,153,23,31.902705350732443,6.6521739130434785
17,0.7427723192196226,0.6709801826080896,0.7702222538063851,0.785,136,11,41.00554286257585,12.363636363636363
18,0.7119980464859237,0.6655289233042105,0.727676653087884,0.535,313,107,30.258852107129268,2.925233644859813
19,0.7278767743884023,0.6949760765550239,0.7377599879668083,0.795,123,10,38.896015220071064,12.3
20,0.7357679430910504,0.6092318534179,0.7879029843297733,0.74,165,22,35.17811819867572,7.5
21,0.7050258005230792,0.6516010931779508,0.7227619381842147,0.605,252,63,31.749015732775085,4.0
22,0.7345084405945365,0.6272379372173308,0.7684059196617335,0.725,166,23,34.61339273347441,7.217391304347826
23,0.7252356747656103,0.6615486257928118,0.7456973772468307,0.77,152,22,32.406508886052784,6.909090909090909
24,0.7103015737355173,0.6204849084611579,0.7462282398452611,0.77,149,21,32.514465645162865,7.095238095238095
25,0.7440189696498455,0.6942389006342495,0.7621959243111419,0.75,163,19,37.39476462090156,8.578947368421053
26,0.7179678312780737,0.6597144689645342,0.739570119802678,0.655,238,55,32.09191345325032,4.327272727272727
27,0.7389359774317716,0.6241411205073997,0.7862334292117703,0.67,243,48,35.074028853269766,5.0625
28,0.7148897614013893,0.6209055215397711,0.7436071680257728,0.635,251,63,31.623027575105343,3.984126984126984
29,0.7165990862180868,0.6018557669720461,0.7598078675241272,0.45,336,127,29.815178716381425,2.645669291338583
