seed,auc_all,auc_vs_ttbar,auc_vs_qcd_bbbb,auc_vs_zbbbb,threshold,selected_signal_rows,selected_background_rows,selected_ttbar_rows,selected_qcd_bbbb_rows,selected_zbbbb_rows,S_over_sqrtB_rows,S_over_B_rows
0,0.7487264362107107,0.6489212664611936,0.765593165586129,0.7435172016144533,0.78,120,40,9,17,14,18.973665961010276,3.0
1,0.7680071626730626,0.6908216082233724,0.7851248526417318,0.7600422832980972,0.755,143,56,11,22,23,19.109178796738345,2.5535714285714284
2,0.7582009665687464,0.6327571197612237,0.7867020666371667,0.7445121676937608,0.7000000000000001,176,81,16,32,33,19.555555555555557,2.1728395061728394
3,0.7632282350480835,0.5920407909463997,0.7905899058927196,0.7564029551500588,0.665,208,119,24,42,53,19.067328738186795,1.7478991596638656
4,0.7558923769160641,0.595137420718816,0.7819398968591813,0.7516471050220341,0.805,125,37,11,17,9,20.549873413169664,3.3783783783783785
5,0.7561635912701655,0.6211913941052107,0.7815289740967748,0.7456521309596728,0.6900000000000001,192,106,18,42,46,18.648688557259472,1.8113207547169812
6,0.7861474817910603,0.6957246887479446,0.807302147278331,0.775205543810195,0.77,131,30,5,14,11,23.917218344392253,4.366666666666666
7,0.7664746381902487,0.6537093984239861,0.7910033755844523,0.7551958779560763,0.81,110,25,4,11,10,22.0,4.4
8,0.7787511722668619,0.6447687309854071,0.8017715683028095,0.7709063131741795,0.775,132,41,9,20,12,20.614936569296002,3.2195121951219514
9,0.7445732621858571,0.6237266961368442,0.7714961584076729,0.7317970401691332,0.8300000000000001,102,28,8,12,8,19.276188123470586,3.642857142857143
10,0.7393286954589569,0.6361831588717579,0.7625488979757187,0.7263633254570327,0.8150000000000001,106,29,3,13,13,19.6837058467675,3.6551724137931036
11,0.7641154000738488,0.6351227134846954,0.7895716518062321,0.756003394788091,0.755,143,41,10,15,16,22.33284795007067,3.4878048780487805
12,0.7641350059307717,0.6195912614517265,0.7854268761995695,0.7625941912076737,0.805,101,25,6,12,7,20.2,4.04
13,0.7440831157627823,0.6294557254535621,0.7654592293403741,0.7363801953965888,0.805,107,33,7,12,14,18.626309187259668,3.242424242424242
14,0.7709562103185624,0.6441887921803355,0.796150635772645,0.7561878736675303,0.67,206,105,15,44,46,20.103541502739784,1.9619047619047618
15,0.7608183484679656,0.6521934460887948,0.7829180585451224,0.7500574501332844,0.805,110,29,9,12,8,20.426487199475705,3.793103448275862
16,0.7595521368750225,0.6597409540472893,0.7774825660282099,0.7533513647584065,0.615,243,182,21,85,76,18.01235839486476,1.335164835164835
17,0.7861278759341375,0.6636003778507489,0.8072357946388953,0.7822142047369549,0.68,188,85,16,38,31,20.39146303495368,2.211764705882353
18,0.7634912802951335,0.6722528747486206,0.7801555057439058,0.7569520532090555,0.7000000000000001,178,85,12,39,34,19.3068107458604,2.0941176470588236
19,0.7578170185373377,0.6982486362331324,0.7801877122173105,0.7398430242115848,0.735,155,64,7,29,28,19.375,2.421875
20,0.779708591613268,0.6675882257277606,0.8052819360567822,0.7667767299332494,0.675,191,92,17,37,38,19.91312654245064,2.0760869565217392
21,0.7900555826043767,0.6754052149400986,0.8098626120081948,0.7856168587601446,0.715,182,71,14,30,27,21.59942617912813,2.563380281690141
22,0.7659812241243534,0.6743142014459843,0.7891730667435838,0.7512487512487511,0.66,193,109,16,44,49,18.48604730476822,1.7706422018348624
23,0.741585002826511,0.6698731501057084,0.7558282598674275,0.7347820561697802,0.77,128,43,5,19,19,19.519817002573397,2.9767441860465116
24,0.7671314343971689,0.6719414013282936,0.7880109898193844,0.7589337324116525,0.775,127,34,7,16,11,21.78032031309862,3.735294117647059
25,0.758919847989256,0.6612280540490855,0.7890589588926468,0.7381438817648338,0.785,134,41,7,20,14,20.92728409307321,3.268292682926829
26,0.7570246151533669,0.6420468753552024,0.7861800032222108,0.742590950767995,0.775,137,57,11,26,20,18.1460932917911,2.4035087719298245
27,0.7597465616228422,0.6388301620859761,0.7839766190685483,0.7492009531008391,0.7000000000000001,176,75,13,28,34,20.322729475474826,2.3466666666666667
28,0.7633997862961596,0.6807075762036021,0.7737114529416053,0.7627698646625825,0.64,222,142,18,66,58,18.6298261541865,1.5633802816901408
29,0.7462201541673883,0.621736565219529,0.7782511731036971,0.7275484879124919,0.76,154,70,15,29,26,18.40652058374966,2.2
30,0.7655662334861502,0.6280644145562503,0.781059477035632,0.7703473385101731,0.675,189,97,21,40,36,19.1900425210254,1.9484536082474226
31,0.7838013142459425,0.6661225145181577,0.8013214309066623,0.7789514373165882,0.725,162,53,11,23,19,22.252411359687624,3.056603773584906
32,0.7506020631896768,0.6753837668903393,0.7661088068686152,0.7446846338475095,0.78,117,41,6,16,19,18.27233014096691,2.8536585365853657
33,0.7682538697060102,0.6395021904492055,0.7922288330362047,0.7603211200079906,0.77,138,49,14,17,18,19.714285714285715,2.816326530612245
34,0.7478686799703298,0.6553701881816089,0.7672817975070195,0.7425635478637101,0.81,104,30,3,17,10,18.98771532684576,3.466666666666667
35,0.7764425826141796,0.6699287286676403,0.7980811375238488,0.7693020129507255,0.795,114,31,8,12,11,20.47500443105234,3.6774193548387095
36,0.7617855707428332,0.630946088794926,0.7875201349038559,0.7527874018279889,0.645,215,152,25,61,66,17.438802771556976,1.4144736842105263
37,0.7780731363816085,0.6655182314097042,0.7999768567747101,0.7674772933964827,0.71,176,81,11,34,36,19.555555555555557,2.1728395061728394
38,0.7685986060235727,0.6631813585807518,0.7937536036901787,0.7558607615674466,0.73,169,80,14,35,31,18.89477440987322,2.1125
39,0.7641546117876947,0.672083189930675,0.7774984286612192,0.7623670845587949,0.605,231,173,19,84,70,17.562604781330197,1.3352601156069364
40,0.7500874094454484,0.631187577458628,0.7663627554615926,0.7489794708660173,0.6950000000000001,191,101,18,52,31,19.005210333010794,1.891089108910891
41,0.7485597864268653,0.5918326471570046,0.7794068556542457,0.7394492466614927,0.755,159,69,17,24,28,19.141350640637302,2.3043478260869565
42,0.7693975446931847,0.635883144339804,0.7913464486871198,0.764629368858466,0.795,126,32,9,11,12,22.273863607376246,3.9375
43,0.7781074466312237,0.6539183314725515,0.8080956253049276,0.7629011675523303,0.805,123,35,8,13,14,20.790794666321506,3.5142857142857142
44,0.7574445072558009,0.6450317124735729,0.7816913943807557,0.7436230566021393,0.6,223,151,17,67,67,18.147482630596855,1.4768211920529801
45,0.7602530462600194,0.6370070778564205,0.7868359262665238,0.7481605178712383,0.635,217,138,20,60,58,18.472266717464844,1.5724637681159421
46,0.7585767454931036,0.661508104298802,0.7816939282667558,0.7426290727312244,0.635,210,114,13,43,58,19.668302043215572,1.8421052631578947
47,0.7634978155807746,0.6645168196537051,0.7845239308184111,0.7523510971786834,0.79,129,37,8,12,17,21.20746936239109,3.4864864864864864
48,0.761718584065013,0.6797040169133193,0.776391078927757,0.757165855266986,0.755,137,41,6,15,20,21.39580537873903,3.341463414634146
49,0.767512114785757,0.6667458488728413,0.7862192820932506,0.7617175872570046,0.71,178,72,13,29,30,20.977501175200914,2.4722222222222223
50,0.7556832477755522,0.6614429175475687,0.7817708497680729,0.737412168884467,0.77,126,39,8,15,16,20.17614737944098,3.230769230769231
51,0.7496854893785271,0.6435963057750084,0.7795888139155093,0.7310471685718041,0.8300000000000001,102,32,5,12,15,18.031222920256962,3.1875
52,0.7462920423094391,0.6436519416935573,0.7593099471790147,0.7454217394474011,0.805,104,30,6,12,12,18.98771532684576,3.466666666666667
53,0.781340779202107,0.6741014799154333,0.7986113017825491,0.7748353507850003,0.725,163,59,10,23,26,21.22079248987429,2.76271186440678
54,0.7717927268806102,0.6879998161595735,0.7929898742628241,0.7598985830764446,0.705,185,73,13,30,30,21.652612231284156,2.5342465753424657
55,0.759838055621816,0.626772004005786,0.7781151899545136,0.7609110913248637,0.545,274,225,33,100,92,18.266666666666666,1.2177777777777778
56,0.7694302211213897,0.6582716701902748,0.7923812360580051,0.7585668901425648,0.775,135,48,9,17,22,19.48557158514987,2.8125
