category,group,n_test_rows,yield_450fb,neff,mbb1_median,mbb1_weighted_mean,mbb1_p16,mbb1_p84,mbb2_median,mbb2_weighted_mean,mbb2_p16,mbb2_p84,avg_mbb_median,avg_mbb_weighted_mean,avg_mbb_p16,avg_mbb_p84,delta_mbb_median,delta_mbb_weighted_mean,delta_mbb_p16,delta_mbb_p84,mhh_median,mhh_weighted_mean,mhh_p16,mhh_p84,r_hh_median,r_hh_weighted_mean,r_hh_p16,r_hh_p84,h_delta_r_median,h_delta_r_weighted_mean,h_delta_r_p16,h_delta_r_p84
CAT0_high_purity_diagnostic,signal,34,20.070511585030275,16.35623219485898,119.07442354545543,119.96674261040424,111.21568097778014,128.58826850391725,113.23466292673626,109.72097464249953,100.02771351977447,121.05142628756782,114.98126750966472,114.84385862645185,108.69015991429526,122.80291038194157,4.810872800577727,13.1009784200444,2.822853504880381,21.03077868204463,440.70955483858586,410.6396772031629,323.43519935511256,735.735071949237,14.911290703365609,18.819297452952547,6.527379862637058,28.004235377180663,2.384730174792,2.0391840992840327,1.5817979720117528,3.371370273991863
CAT0_high_purity_diagnostic,background,43,19177.410982349113,9.865931669629173,119.84234412782105,119.83793618111038,108.03957952004335,128.79483873405843,112.14112585366493,108.48462421624887,104.82953801570689,118.65168136255744,115.53528140414687,114.16128019867962,106.85520739929036,122.93736682379202,7.254647407206107,14.59997600565439,3.171631471078881,19.04565349782623,395.35114147798,359.2947538280341,289.6804943818348,625.9151394092764,18.81837776513415,20.418468385576936,9.755992818606304,26.467914331389263,2.668393855490609,2.364763115336306,1.4935484851021048,3.1740543115200146
CAT1_tight,signal,63,48.474573392955435,38.245804889117736,124.15636395135688,120.78875020100081,109.4050695285635,135.37841881815197,116.05348587758472,110.92608890854746,102.57200862744001,125.01886858230927,118.56845462323406,115.85741955477413,108.86086403933476,127.22067137457815,14.977904001027738,20.716580115134317,6.2463044551524325,26.790773364735255,332.2927194962416,318.804165006338,275.49777157587255,461.25373989166985,15.890810805468838,23.200216160128736,7.713914433052289,29.555295334775373,2.5728219546247524,1.9275332048732088,1.074116830165745,3.06325058050422
CAT1_tight,background,156,107869.41763400758,48.08732528190167,119.82308754407353,120.25197710355964,104.29187771442741,132.62702872088832,114.51352909299501,108.6497907099578,92.2990498508879,126.18521490508591,115.308281520047,114.4508839067587,104.25844244258467,126.94762105540116,13.868473126161035,18.13327800158163,4.56606657854839,30.890908893753533,313.01303929141955,335.09031925163555,255.83588001991174,428.3748727721918,19.094490612591116,23.062909135239103,10.383083318923928,36.40993132997029,2.448554401553171,2.215826788172543,1.2908464934041683,3.063858421848397
CAT2_medium_tight,signal,47,23.567579587231705,19.699414784404606,119.05711710347175,120.04305606323759,106.98015199767369,130.23927369836042,116.3911826427899,115.41172262395352,100.85545719155805,128.62365641155674,115.85358958647285,117.72738934359555,109.68045170273334,125.08886482847593,11.257772936327967,13.735223756152651,4.15630787206308,26.551249317714298,365.23168661619314,343.73660757760655,273.1561374592624,500.16449368620096,18.345927246356904,19.045632241089262,9.463286611325683,29.225814344108198,2.961022742594884,2.8433949283075646,2.193132760378077,3.3925962460299752
CAT2_medium_tight,background,190,87839.44289327062,91.74327552643605,119.38464992163833,114.78883479330685,101.4618724730002,134.10056950664358,113.2155361386442,113.91604091712185,98.16055444159649,130.0100524871318,115.67440871378545,114.35243785521438,103.39827611480916,127.2184156748559,14.797221953620834,16.499518775263216,3.9772987079823223,31.04205375451662,334.7656489506554,327.83837953658616,257.257564263277,500.66153262900224,20.68241160420809,22.881102523856665,9.935567717664025,37.524174423933914,2.840351038395709,2.586015467955506,1.9198603066105624,3.2751061208253045
CAT3_medium,signal,58,41.85903534947717,33.25704932217002,117.59606441579652,119.60206204707765,97.5297438147988,142.48810399108234,115.58922381545727,117.52649382385876,98.61719370525961,129.96735524094694,116.87742859254156,118.56427793546823,104.77314477944454,131.64181133007298,15.14240595362675,22.21448089893579,5.318906763126857,43.6065263084367,337.58705246456014,342.4866001719345,242.2067134599378,455.63316341042434,25.836542014416057,26.135334054357877,12.434693257155097,41.32815505525507,2.859283980496766,2.423903408776545,1.6823721333381363,3.276902225170046
CAT3_medium,background,483,320385.08787310356,89.80741614070449,120.30007212621847,119.08104925402431,101.91388004946425,135.80733990461937,113.43571253345313,113.93623541490895,98.64493295199217,129.39643117135518,116.73652680520368,116.50864233446663,104.86601451272819,127.3604715119696,16.590028187701236,19.199856262534162,3.8511425846373655,33.990773333534506,342.7401841171047,360.33077602238717,257.4628215267264,555.099894314546,21.880219396358143,23.987312430174455,10.170720676695483,36.14342164480279,2.972737503087875,2.744139433742938,2.0541358408237924,3.4745557515009255
CAT4_loose,signal,86,76.41453368189323,59.45373562534725,116.75367041582155,117.43649297695464,99.71886107478736,131.7427580974526,115.04325308925384,112.70535059101522,93.35293592297452,135.4860015790283,113.39339342574573,115.0709217839849,101.98912541318386,131.55891254638766,16.677243566847487,21.925301099683807,5.181566788787773,35.46973936837865,333.39228200582454,346.66319320692855,255.23538964675538,476.5854125545309,25.610232077949092,27.17936109019553,13.529479421497877,42.87873400141346,3.036581580231986,2.8578372020819645,2.4733463829059312,3.3516192079317078
CAT4_loose,background,1268,810151.6369313165,203.7520546115393,118.25893192614942,113.91250671570864,96.58604913166802,138.23117741482125,114.00488824872708,113.6672477832922,94.0359618025981,132.3561368662583,114.98431955213307,113.78987724950044,102.23856556898306,130.2595484687502,21.798656866979613,23.11583492812622,6.319068862376514,41.10694910559624,327.51713156196047,320.4285006153183,251.9313288911659,516.5927270908602,27.892728129712836,28.658763323366294,13.76630834326278,41.77508100516057,3.04437321788639,2.9194695569238855,2.340786995096861,3.6109872169035055
