category,group,n_test_rows,yield_450fb,neff,mbb1_median,mbb1_weighted_mean,mbb1_p16,mbb1_p84,mbb2_median,mbb2_weighted_mean,mbb2_p16,mbb2_p84,avg_mbb_median,avg_mbb_weighted_mean,avg_mbb_p16,avg_mbb_p84,delta_mbb_median,delta_mbb_weighted_mean,delta_mbb_p16,delta_mbb_p84,mhh_median,mhh_weighted_mean,mhh_p16,mhh_p84,r_hh_median,r_hh_weighted_mean,r_hh_p16,r_hh_p84,h_delta_r_median,h_delta_r_weighted_mean,h_delta_r_p16,h_delta_r_p84
CAT0_high_purity_diagnostic,signal,4,2.8009157237204185,2.233047693484483,125.92236805492186,125.7756230816827,120.48274750343427,128.59883594981756,102.9395552317249,105.8485040213044,91.05742718941588,115.8046789120812,115.02275581613495,115.81206355149357,105.77008734642507,122.15441389712446,22.592247087010456,19.92711906037831,12.699469970086522,29.551252640563156,504.8977370910135,536.8059598313325,404.49107723869383,640.428952153372,22.494863392722,19.41191933856063,9.840454576813293,34.423075590461316,1.9986337071779732,1.7480850516086173,1.5150685914944082,2.20639499144893
CAT0_high_purity_diagnostic,background,7,2650.2433441549006,4.143844668744437,102.87817657691598,97.0797219072644,96.92104453058072,108.65616649215032,109.09137135688218,116.91518343070355,99.52536537544925,130.6720342548683,106.67933256894943,106.99745266898398,103.89411917288456,110.2157871887819,12.92438226697179,24.19828669131285,7.64950751570045,47.10697925032829,309.23355360740385,302.21810285079204,284.78140629112016,427.184448946858,32.05673209495634,33.091230908541675,26.045909555883068,42.460281962534175,1.9439983103752638,1.9697337011815683,1.5402772940237655,2.3791962184043673
CAT1_tight,signal,34,30.03657042927904,23.381847074231526,117.56143089225978,112.33030829325217,91.84139110664472,135.59798311915395,111.64217078280566,106.09399064395645,84.95682518507228,121.57344777701235,110.33762184873918,109.21214946860431,95.44481915126138,125.70047082906461,15.459268136578437,22.34926679673604,4.8864374025504,41.013516264656026,286.87014204142247,295.80909542309996,225.1119764786759,352.21180383467,24.827835368644216,30.70943160121566,13.38328775878489,51.49183863480421,1.5378263737413298,1.4273964946341071,0.6294850003556922,2.2539115794288924
CAT1_tight,background,105,68136.9880828752,29.881376523693024,118.07668013128071,118.63746147065503,91.00431114630392,145.21109775332826,104.85762209511186,97.49752603418736,82.80620789599492,123.75472551560286,108.94269712867127,108.0674937524212,96.02673890286736,126.03009093827971,29.301215531432817,31.77331371921812,10.087652212569365,56.77088565439616,268.7688720902868,273.49178227052806,220.94191856232933,393.7755351368493,37.13063489320317,40.1093588302411,20.536266616640763,55.00854578036702,1.6422746739796128,1.5476572653369154,0.987492915804152,2.3516481841125434
CAT2_medium_tight,signal,28,19.606410066042926,15.631333854391377,116.86106559631298,122.92503962359108,101.54770555730909,134.4725332600579,106.27566262962264,105.34189375302311,91.53705413029063,122.46642294363382,111.7368122237321,114.13346668830708,106.24662641949054,122.4162045371785,16.85438572764189,23.719709782876517,3.872030392892192,38.53564168799906,327.4533222238449,349.60422211185073,256.7680032464657,504.66833617656096,27.519080964448282,26.73275544396646,16.444612902325236,34.994921436790946,2.314358383038881,1.9819548436511791,1.5666040488045168,2.7780094895858762
CAT2_medium_tight,background,111,65602.75055036531,35.80312334001485,114.87546446774347,110.73905663396665,83.06569557941991,141.39499193541286,114.95441125101591,118.6123080838223,87.95832875240234,142.92856389329086,113.9198515999324,114.6756823588945,97.20691044045273,134.71285258638898,30.740735089206524,30.678142140697368,5.367943141750442,60.2999593259459,323.1854739235251,364.43739228275496,230.95114196417802,454.9062866549151,36.711763039404374,40.90577954718579,16.2129341089923,62.343808640834624,2.3048618305647075,2.1416445509230018,1.3052169366797044,2.737684992426252
CAT3_medium,signal,61,34.61654197578426,28.371579980504453,120.41148829074149,118.8267945238456,103.38979937557822,132.7536218262355,117.72788728418216,115.75977509436858,100.35168661681584,131.30557109272638,118.03419980155789,117.29328480910709,105.15502375629016,131.6160746517808,15.25108048752486,28.323954720349736,5.9709055582393775,45.27312233511939,372.86852395290884,363.66083458922463,269.13492682684216,493.01025232093014,21.852166505050928,29.179688950141315,9.737311590199798,42.43796843358146,2.6637949311849773,2.4534202550184254,1.7096436483609867,3.1890960030568274
CAT3_medium,background,429,261739.13616341384,94.5773778210291,117.846740630399,116.34626995295355,92.33000003375109,151.14434029033603,112.03582774881306,113.29220783956873,89.34469391387391,138.70046776283996,114.76890281881452,114.81923889626113,97.98009675685829,138.10852822491688,27.23576248235264,29.028520286467007,8.832883939857275,57.56817871056388,340.7585599008543,340.8136130760355,254.53405584386644,511.3538957663241,35.133488242396076,34.54862066568158,18.728776831849643,58.36132158493446,2.6829875163610906,2.5867950217004387,1.794657740616872,3.133371173986175
CAT4_loose,signal,126,93.21187471931755,73.85369942837401,119.95373555336863,119.35439444590226,104.8152254670645,138.5412628442895,115.1323550041388,112.74889875887368,97.26321880259344,137.3672560995269,117.66240664848843,116.05164660238793,105.56038246845806,132.8776312354346,18.17747031641734,26.379031951709038,4.696788556738028,48.02889146103749,368.9084552313368,354.85895530251776,275.9452500142079,602.7688218964086,23.232735747283456,30.363488314434306,12.754736442080977,47.35014136403781,3.0658190193735995,2.8261518147917437,2.410714093559611,3.3857318656817337
CAT4_loose,background,1771,1065762.3654244156,287.22966088765065,121.29758405958955,119.8982030186299,94.45953397372598,154.2271082943121,116.50567811470037,117.1879571576904,89.15681567893786,146.46870429506203,118.58784851795,118.54308008816015,101.08682834837798,144.279000558935,29.840421294934217,34.23837798609557,8.95037163046501,64.44434793182124,363.17703673033344,345.5262659262967,259.5588456077696,542.8142321844075,35.706642954396386,37.43254075794479,18.566001848893073,60.794357223136394,3.0040688642266895,2.9322194865692968,2.413892059539304,3.5775662303900386
