role,process,analysis_region,n_events
background,QCD_bbbb,A3bCR,91
background,QCD_bbbb,A3bSR,30
background,QCD_bbbb,A4bCR,45
background,QCD_bbbb,A4bSR,16
background,QCD_bbbb,A_outside,969
background,Zbbbb,A3bCR,136
background,Zbbbb,A3bSR,33
background,Zbbbb,A4bCR,47
background,Zbbbb,A4bSR,9
background,Zbbbb,A_outside,1099
background,ttbar,A3bCR,237
background,ttbar,A3bSR,101
background,ttbar,A4bCR,25
background,ttbar,A4bSR,12
background,ttbar,A_outside,777
signal,VBF_HH_4b,A3bCR,107
signal,VBF_HH_4b,A3bSR,143
signal,VBF_HH_4b,A4bCR,69
signal,VBF_HH_4b,A4bSR,105
signal,VBF_HH_4b,A_outside,780
signal,ggF_HH_4b,A3bCR,122
signal,ggF_HH_4b,A3bSR,102
signal,ggF_HH_4b,A4bCR,65
signal,ggF_HH_4b,A4bSR,73
signal,ggF_HH_4b,A_outside,618
validation,ZH_4b,A3bCR,117
validation,ZH_4b,A3bSR,19
validation,ZH_4b,A4bCR,63
validation,ZH_4b,A4bSR,7
validation,ZH_4b,A_outside,226
validation,ZZ_4b,A3bCR,13
validation,ZZ_4b,A3bSR,5
validation,ZZ_4b,A4bCR,6
validation,ZZ_4b,A_outside,111
