qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_sqrtB_10pct_syst,n_signal_test_rows,n_background_test_rows,neff_background_rows
0.5,0.5,107.41921462438958,1198716.806462204,8.96118366283843e-05,0.0981123494350744,0.0008960809903874,75,982,205.2965840589061
0.5,0.525,104.12229319814531,1147576.8525787424,9.073230517343571e-05,0.097196994201529,0.0009072835221919,73,936,191.56332880417597
0.5,0.55,103.77361520095022,1091739.4058298145,9.505346664854832e-05,0.0993178829390901,0.0009504911364376,71,882,175.61069773178735
0.5,0.575,94.05718992081496,1039821.02419911,9.045517231511992e-05,0.0922385999555678,0.0009045082307393,66,826,162.22592833806115
0.5,0.6,84.16642564208213,1011925.2376229616,8.317454937658363e-05,0.083669017715149,0.0008317043996305,60,790,154.56451952849923
0.5,0.625,80.34648722004525,969775.8213410408,8.285057788813424e-05,0.0815889263163962,0.0008284630658289,55,744,144.28874293253168
0.5,0.65,73.92698336615425,926357.2949894489,7.980396307776285e-05,0.0768092849270383,0.0007979965601919,52,693,133.8636572242097
0.5,0.675,70.63006193990998,872374.269617759,8.096302745249165e-05,0.0756202594799311,0.0008095838746766,50,646,122.02064447112552
0.5,0.7,70.63006193990998,804220.2883239684,8.782427273391254e-05,0.0787593411794676,0.0008781881303061,50,597,123.76094823764866
0.5,0.725,64.03621908742141,717080.9861507452,8.93012369929994e-05,0.075620854113541,0.0008929501092511,46,538,124.23530995816172
0.5,0.75,54.31979380728614,675374.6946263437,8.042912214432166e-05,0.066097604578234,0.0008042316839803,41,482,112.98567374042102
0.5,0.775,50.6741943838468,608202.3112380106,8.331799049020094e-05,0.064977473371715,0.0008331114180547,37,436,98.62300000008612
0.5,0.8,47.02859496040747,556018.8037194671,8.45809433886254e-05,0.0630691915914007,0.000845733384717,33,386,85.26394109889424
0.5,0.825,40.78343010511397,500942.9041456693,8.141333027696615e-05,0.057622173379483,0.0008140520548443,31,341,72.74867554119265
0.5,0.85,34.189587252625444,448871.5561741606,7.616786312777636e-05,0.0510308514748984,0.0007615938017336,27,290,59.82390128579366
0.5,0.875,21.69925754203851,403555.31300018105,5.377021895887857e-05,0.0341580712172175,0.0005376355813368,23,249,49.413911230326335
0.5,0.9,21.176240546245904,341887.3632374335,6.193923152269146e-05,0.0362165717037674,0.0006193017508278,20,196,36.56605918943799
0.5,0.925,17.879319120001632,284276.8276610224,6.289404334186994e-05,0.0335336051097478,0.0006288298414728,18,147,26.03905751791173
0.5,0.95,10.762459271720486,169563.58162088515,6.347152595410189e-05,0.0261363676319983,0.0006345281808507,11,89,14.342107509192084
