run,category,n_signal_test_rows,n_background_test_rows,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_10pctB,neff_signal,neff_background
mass_aware,CAT0_high_purity_diagnostic,110,416,67.302,264553.288,0.000254,0.130848,0.002544,55.532432,74.081635
mass_aware,CAT1_tight,23,91,18.915,77248.019,0.000245,0.068055,0.002449,15.074686,17.798289
mass_aware,CAT2_medium_tight,14,171,8.432,106518.464,7.9e-05,0.025837,0.000792,6.972993,37.153721
mass_aware,CAT3_medium,28,238,15.643,120784.968,0.00013,0.04501,0.001295,13.079139,110.081085
mass_aware,CAT4_loose,34,398,22.224,269269.577,8.3e-05,0.042828,0.000825,18.177228,61.255288
topology_only,CAT0_high_purity_diagnostic,62,335,37.867,220782.654,0.000172,0.080589,0.001715,31.252698,48.449383
topology_only,CAT1_tight,35,169,18.637,124689.578,0.000149,0.05278,0.001495,15.700965,36.366369
topology_only,CAT2_medium_tight,20,168,12.57,86717.653,0.000145,0.042685,0.00145,10.333954,68.919413
topology_only,CAT3_medium,16,316,8.59,200731.833,4.3e-05,0.019172,0.000428,7.226893,44.594989
topology_only,CAT4_loose,33,533,28.254,402205.746,7e-05,0.044552,0.000702,22.430157,80.301549
